gene	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
KCNN4	IU_PDA_T6	iCAF	51	3346	0.00130718954248366	0.0018529587567244477	-0.0005457692142407876	0.7205423758378975
KCNN4	IU_PDA_T6	B cells	51	3346	0.0	0.0	0.0	1.0
KCNN4	IU_PDA_T6	DCs	51	3346	0.0	0.0	0.0	1.0
KCNN4	IU_PDA_T6	SPP1-TAM	51	3346	0.0	0.0005578800557880055	-0.0005578800557880055	0.15200339198643206
KCNN4	IU_PDA_T6	PVL	51	3346	0.0	0.0002590157401872883	-0.0002590157401872883	0.27853931960708145
KCNN4	IU_PDA_T6	C1Q-TAM	51	3346	0.0	0.0	0.0	1.0
KCNN4	IU_PDA_T6	CD4+ cells	51	3346	0.0	0.0	0.0	1.0
KCNN4	IU_PDA_T6	FCN1-TAM	51	3346	0.0	0.0	0.0	1.0
KCNQ4	IU_PDA_T6	myCAF	20	3377	0.26333333333333336	0.43310630737340744	-0.16977297404007408	0.6081013338207557
KCNQ4	IU_PDA_T6	Tumor Epithelial cells	20	3377	0.5133333333333334	0.30877504688579727	0.20455828644753615	1.6622687345901692
KCNQ4	IU_PDA_T6	Normal Epithelial cells	20	3377	0.22333333333333333	0.25545355838515676	-0.03212022505182344	0.8743111805807315
KCNQ4	IU_PDA_T6	iCAF	20	3377	0.0	0.0018556904550389897	-0.0018556904550389897	0.05113283635574443
KCNQ4	IU_PDA_T6	B cells	20	3377	0.0	0.0	0.0	1.0
KCNQ4	IU_PDA_T6	DCs	20	3377	0.0	0.0	0.0	1.0
KCNQ4	IU_PDA_T6	SPP1-TAM	20	3377	0.0	0.000552758858947784	-0.000552758858947784	0.1531959292918601
KCNQ4	IU_PDA_T6	PVL	20	3377	0.0	0.00025663804165432827	-0.00025663804165432827	0.28039633555672416
KCNQ4	IU_PDA_T6	C1Q-TAM	20	3377	0.0	0.0	0.0	1.0
KCNQ4	IU_PDA_T6	CD4+ cells	20	3377	0.0	0.0	0.0	1.0
KCNQ4	IU_PDA_T6	FCN1-TAM	20	3377	0.0	0.0	0.0	1.0
KCNS3	IU_PDA_T6	myCAF	52	3345	0.2961538461538462	0.43422022919780695	-0.13806638304396074	0.6821092508194461
KCNS3	IU_PDA_T6	Tumor Epithelial cells	52	3345	0.47948717948717956	0.3073442949676145	0.17214288451956505	1.5599156898900928
KCNS3	IU_PDA_T6	Normal Epithelial cells	52	3345	0.22179487179487173	0.25578475336323087	-0.03398988156835914	0.867167226176582
KCNS3	IU_PDA_T6	iCAF	52	3345	0.0	0.001873442949676134	-0.001873442949676134	0.050672860857929145
KCNS3	IU_PDA_T6	B cells	52	3345	0.0	0.0	0.0	1.0
KCNS3	IU_PDA_T6	DCs	52	3345	0.0	0.0	0.0	1.0
KCNS3	IU_PDA_T6	SPP1-TAM	52	3345	0.002564102564102564	0.0005181863477827603	0.0020459162163198037	4.30954609990638
KCNS3	IU_PDA_T6	PVL	52	3345	0.0	0.00025909317389138014	-0.00025909317389138014	0.278479256278618
KCNS3	IU_PDA_T6	C1Q-TAM	52	3345	0.0	0.0	0.0	1.0
KCNS3	IU_PDA_T6	CD4+ cells	52	3345	0.0	0.0	0.0	1.0
KCNS3	IU_PDA_T6	FCN1-TAM	52	3345	0.0	0.0	0.0	1.0
KCNAB2	IU_PDA_T8	myCAF	31	3748	0.2838709677419355	0.17063322660974783	0.11323774113218765	1.6632437246150098
KCNAB2	IU_PDA_T8	Tumor Epithelial cells	31	3748	0.6602150537634408	0.6810387762362106	-0.020823722472769757	0.9694280766280317
KCNAB2	IU_PDA_T8	Normal Epithelial cells	31	3748	0.0064516129032258064	0.12123799359658233	-0.11478638069335652	0.053994735770959236
KCNAB2	IU_PDA_T8	iCAF	31	3748	0.002150537634408602	0.0025969405905371737	-0.00044640295612857154	0.834478016425398
KCNAB2	IU_PDA_T8	B cells	31	3748	0.002150537634408602	0.008360014229811436	-0.006209476595402834	0.2660205495255726
KCNAB2	IU_PDA_T8	DCs	31	3748	0.0	0.001120597652081111	-0.001120597652081111	0.08192707877940013
KCNAB2	IU_PDA_T8	SPP1-TAM	31	3748	0.04516129032258064	0.012717893987904755	0.032443396334675884	3.5311019396236376
KCNAB2	IU_PDA_T8	PVL	31	3748	0.0	0.0003023834934187122	-0.0003023834934187122	0.248519140659535
KCNAB2	IU_PDA_T8	C1Q-TAM	31	3748	0.0	0.001689790110281038	-0.001689790110281038	0.05587247321659282
KCNAB2	IU_PDA_T8	CD4+ cells	31	3748	0.0	0.0	0.0	1.0
KCNAB2	IU_PDA_T8	FCN1-TAM	31	3748	0.0	0.0003023834934187122	-0.0003023834934187122	0.248519140659535
KCNC4	IU_PDA_T8	myCAF	20	3759	0.24666666666666665	0.17116254322958274	0.0755041234370839	1.4408676994587677
KCNC4	IU_PDA_T8	Tumor Epithelial cells	20	3759	0.7166666666666667	0.6806774851467547	0.03598918151991193	1.0528648233896187
KCNC4	IU_PDA_T8	Normal Epithelial cells	20	3759	0.006666666666666666	0.12090094883390722	-0.11423428216724055	0.05592242649233253
KCNC4	IU_PDA_T8	iCAF	20	3759	0.0	0.002607076350093108	-0.002607076350093108	0.036940221503749086
KCNC4	IU_PDA_T8	B cells	20	3759	0.006666666666666666	0.008317815021725619	-0.0016511483550589526	0.803850720074332
KCNC4	IU_PDA_T8	DCs	20	3759	0.003333333333333333	0.0010995832224882515	0.002233750110845082	2.8621051620009283
KCNC4	IU_PDA_T8	SPP1-TAM	20	3759	0.016666666666666666	0.012964440897401891	0.003702225769264775	1.2833818759133453
KCNC4	IU_PDA_T8	PVL	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCNC4	IU_PDA_T8	C1Q-TAM	20	3759	0.003333333333333333	0.0016671100469983144	0.0016662232863350187	1.9429086146419312
KCNC4	IU_PDA_T8	CD4+ cells	20	3759	0.0	0.0	0.0	1.0
KCNC4	IU_PDA_T8	FCN1-TAM	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCND2	IU_PDA_T8	myCAF	20	3759	0.22666666666666666	0.1712689545091784	0.05539771215748826	1.3232657415466766
KCND2	IU_PDA_T8	Tumor Epithelial cells	20	3759	0.7066666666666668	0.6807306907865524	0.025935975880114426	1.0380946044752346
KCND2	IU_PDA_T8	Normal Epithelial cells	20	3759	0.03666666666666667	0.12074133191451376	-0.0840746652478471	0.3042557218144231
KCND2	IU_PDA_T8	iCAF	20	3759	0.003333333333333333	0.0025893411368271687	0.0007439921965061644	1.2766447834817682
KCND2	IU_PDA_T8	B cells	20	3759	0.016666666666666666	0.0082646093819278	0.008402057284738867	2.004476945796414
KCND2	IU_PDA_T8	DCs	20	3759	0.0	0.001117318435754191	-0.001117318435754191	0.08214777420835238
KCND2	IU_PDA_T8	SPP1-TAM	20	3759	0.01	0.01299991132393377	-0.0029999113239337696	0.7709975854223625
KCND2	IU_PDA_T8	PVL	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCND2	IU_PDA_T8	C1Q-TAM	20	3759	0.0	0.0016848452602642539	-0.0016848452602642539	0.05602726590718267
KCND2	IU_PDA_T8	CD4+ cells	20	3759	0.0	0.0	0.0	1.0
KCND2	IU_PDA_T8	FCN1-TAM	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCND3	IU_PDA_T8	myCAF	20	3759	0.2766666666666667	0.17100292631018935	0.10566374035647738	1.617544904900817
KCND3	IU_PDA_T8	Tumor Epithelial cells	20	3759	0.6233333333333335	0.6811740711182008	-0.05784073778486731	0.9150991645844805
KCND3	IU_PDA_T8	Normal Epithelial cells	20	3759	0.049999999999999996	0.12067039106145003	-0.07067039106145004	0.41483677878055614
KCND3	IU_PDA_T8	iCAF	20	3759	0.0	0.002607076350093108	-0.002607076350093108	0.036940221503749086
KCND3	IU_PDA_T8	B cells	20	3759	0.026666666666666665	0.008211403742129982	0.018455262924536683	3.2204748436161417
KCND3	IU_PDA_T8	DCs	20	3759	0.003333333333333333	0.0010995832224882515	0.002233750110845082	2.8621051620009283
KCND3	IU_PDA_T8	SPP1-TAM	20	3759	0.013333333333333332	0.01298217611066783	0.00035115722266550187	1.0268424167122434
KCND3	IU_PDA_T8	PVL	20	3759	0.003333333333333333	0.0002837634122550324	0.0030495699210783007	8.94648427571227
KCND3	IU_PDA_T8	C1Q-TAM	20	3759	0.003333333333333333	0.0016671100469983144	0.0016662232863350187	1.9429086146419312
KCND3	IU_PDA_T8	CD4+ cells	20	3759	0.0	0.0	0.0	1.0
KCND3	IU_PDA_T8	FCN1-TAM	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCNE4	IU_PDA_T8	myCAF	20	3759	0.46333333333333326	0.1700097543672967	0.29332357896603656	2.7243195727195024
KCNE4	IU_PDA_T8	Tumor Epithelial cells	20	3759	0.45000000000000007	0.6820963022080297	-0.23209630220802968	0.6597807677103855
KCNE4	IU_PDA_T8	Normal Epithelial cells	20	3759	0.01	0.12088321362064128	-0.11088321362064128	0.08348265596308156
KCNE4	IU_PDA_T8	iCAF	20	3759	0.003333333333333333	0.0025893411368271687	0.0007439921965061644	1.2766447834817682
KCNE4	IU_PDA_T8	B cells	20	3759	0.026666666666666665	0.008211403742129982	0.018455262924536683	3.2204748436161417
KCNE4	IU_PDA_T8	DCs	20	3759	0.013333333333333332	0.0010463775826904328	0.012286955750642899	11.71807049977953
KCNE4	IU_PDA_T8	SPP1-TAM	20	3759	0.02333333333333333	0.012928970470870011	0.01040436286246332	1.7985560244936658
KCNE4	IU_PDA_T8	PVL	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCNE4	IU_PDA_T8	C1Q-TAM	20	3759	0.006666666666666666	0.001649374833732375	0.005017291832934291	3.8680484800559634
KCNE4	IU_PDA_T8	CD4+ cells	20	3759	0.0	0.0	0.0	1.0
KCNE4	IU_PDA_T8	FCN1-TAM	20	3759	0.003333333333333333	0.0002837634122550324	0.0030495699210783007	8.94648427571227
KCNJ15	IU_PDA_T8	myCAF	20	3759	0.25666666666666665	0.17110933758978494	0.08555732907688171	1.4997234980365137
