gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global	wilcoxon_fdr_within_gene
KCNK1	SPP1-TAM	10	1	0.001832815363774006	0.00410286625742613	-0.0011290653134624772	0.4395891887560107	8.0	0.048828125	0.40283203125	0.2685546875
KCNK1	iCAF	10	3	0.013793541825578437	0.011007608729493905	-0.0015059005064656345	0.7237351948071655	23.0	0.6953125	0.8776895491803278	0.845703125
KCNK1	Normal Epithelial cells	10	2	0.03140350877192982	0.07517106927983011	-0.027736776413747506	0.5526836882979294	3.0	0.009765625	0.1611328125	0.107421875
KCNK15	iCAF	3	2	0.08333333333333333	0.05291735689306067	0.030415976440272656	1.5736984682511348	1.0	0.5	0.7751677852348994	1.0
KCNK15	PVL	3	2	0.016666666666666666	0.004896005889931893	0.011770660776734772	2.415126418977894	1.0	0.5	0.7751677852348994	1.0
KCNK15	C1Q-TAM	3	2	0.003333333333333333	0.002445777572681124	0.0008875557606522091	1.2115788328889763	0.0	0.5	0.7751677852348994	1.0
KCNK15	B cells	3	1	0.0	0.00047855696668507264	0.0	1.0	1.0	1.0	1.0	1.0
KCNK15	DCs	3	1	0.006666666666666666	0.002742499539849067	0.0	1.0	1.0	1.0	1.0	1.0
KCNK15	FCN1-TAM	3	1	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
KCNK15	CD4+ cells	3	0	0.0	0.0002576845205227314	-0.0002576845205227314	0.8906681380233146	0.0	0.5	0.7751677852348994	1.0
KCNK15	SPP1-TAM	3	1	0.0	0.0033225657591139774	-0.000552758858947784	0.1531959292918601	3.0	1.0	1.0	1.0
KCNK15	Normal Epithelial cells	3	1	0.056666666666666664	0.06880479926165145	-0.00391864531566339	0.9036840293281937	3.0	1.0	1.0	1.0
KCNK15	Tumor Epithelial cells	3	1	0.06999999999999999	0.08014151668973908	-0.010141516689739088	0.8736125997100459	3.0	1.0	1.0	1.0
KCNK15	myCAF	3	0	0.3566666666666667	0.5898169512382719	-0.1496545257131569	0.654447654010333	0.0	0.25	0.595360824742268	1.0
KCNK17	iCAF	4	4	0.09602564102564101	0.030677285224191463	0.03681402132900086	2.074792863011083	0.0	0.125	0.49328125	0.4583333333333333
KCNK17	myCAF	4	3	0.6896153846153847	0.6283161414743506	0.026646166004132693	1.0944828331464458	3.0	0.625	0.8542899408284024	0.7638888888888888
KCNK17	B cells	4	2	0.013333333333333334	0.006469711021188634	0.009124190472475154	0.961804429161923	3.0	0.625	0.8542899408284024	0.7638888888888888
