gene	n_sections_tested	n_sections_fdr_lt_0_05	n_sections_auc_gt_0_60	median_log2fc	max_log2fc	median_auc	max_auc	median_pct_positive_icaf	median_pct_positive_other	min_fdr	top_section	top_section_fdr
ASIC1	8	0	0	-14.825481014551414	1.0150617891487557	0.49732364840542476	0.5109470672301002	0.0	0.009720881277599278	0.39790773168919713	IU_PDA_T12	0.39790773168919713
TLR6	8	0	0	-14.831227992995895	0.764136071555115	0.49657973962103263	0.5093169504643963	0.0	0.007248210374624777	0.2104980802624917	IU_PDA_T3	0.2104980802624917
STOX2	8	0	0	-14.833409839277454	0.5377956516585162	0.4958936932982148	0.5025640946666831	0.0	0.011844492098870056	0.7119535776691155	IU_PDA_T3	0.7119535776691155
TLR7	8	0	0	-14.835952013180982	0.7242558269855758	0.49359386298961083	0.5063498294960318	0.0	0.015594609535413705	0.3048839844137913	IU_PDA_T12	0.3048839844137913
GPLD1	8	0	0	-14.836111663418276	0.48939743184979845	0.4964163413679818	0.502046655742956	0.0	0.009767782075968104	0.6230925736695817	IU_PDA_T9	0.6230925736695817
PLAG1	8	0	0	-14.839853962540861	1.8781030584617977	0.4932100583059277	0.5008714055092142	0.0	0.01357988338814463	0.08966619473340526	IU_PDA_T12	0.08966619473340526
ADGRG5	8	0	0	-14.839874688901315	0.2867871756444024	0.4954926216746768	0.49768528641135806	0.0	0.015040864425993717	0.7236746885447496	IU_PDA_T3	0.7236746885447496
GIN1	8	0	0	-14.846752178824548	3.517702545126415	0.4962399943088505	0.5116055750658473	0.0	0.010184174412076603	0.4098881028966937	IU_PDA_T3	0.4098881028966937
TRPC4	8	0	0	-14.853285143170726	1.373425531856427	0.49619482244628815	0.5093557945566286	0.0	0.012150643839625403	0.7965296479666014	IU_PDA_T3	0.7965296479666014
DHDH	8	0	0	-14.861411187717142	0.35487856055655637	0.49641589844893186	0.4998483553872326	0.0	0.008611370506956206	0.054593646244450206	IU_PDA_T3	0.054593646244450206
NCF1	8	0	0	-14.861508827545808	1.12934451099397	0.4952497175766659	0.5078385639178195	0.0	0.012420346042651256	0.330637819390547	IU_PDA_T9	0.330637819390547
ZGLP1	8	0	0	-14.861523129485946	0.9613248383638334	0.49668805712519104	0.5081411930663184	0.0	0.011423915858748183	0.5477804748921451	IU_PDA_T12	0.5477804748921451
BARX2	8	0	0	-14.863038321211599	0.9328314254321247	0.4972149064745691	0.5009709679803866	0.0	0.008246031054597007	0.23698122606036007	IU_PDA_T3	0.23698122606036007
ZNF480	8	0	0	-14.866296550510349	0.8967495789123	0.4966492102055998	0.5022969052224371	0.0	0.009745203995738194	0.1474667246580998	IU_PDA_T3	0.1474667246580998
POC1A	8	0	0	-14.873398329945104	-0.33062280456832144	0.49088750906182427	0.49856156501726123	0.0	0.02820547316440069	0.07312169431981977	IU_PDA_T3	0.07312169431981977
GNGT2	8	0	0	-14.878065980065607	0.28413964667011943	0.4944198107575507	0.4988237920390427	0.0	0.012633527013213047	0.2489026110311048	IU_PDA_T3	0.2489026110311048
APOM	8	0	0	-14.87910282734977	0.3803357395861541	0.49546328888287194	0.5027458142887062	0.0	0.011242897390038146	0.6580871823646549	IU_PDA_T3	0.6580871823646549
ALPK3	8	0	0	-14.8858445961727	0.6313809803429807	0.49675727676541853	0.49966246132654063	0.0	0.015912167323595093	0.8254052974701842	IU_PDA_T2	0.8254052974701842
TVP23B	8	0	0	-14.886769329518458	2.543629285850002	0.4959923857020955	0.573699990170058	0.0	0.03361223959823413	0.2456610992223192	IU_PDA_T6	0.2456610992223192
TCEANC2	8	0	0	-14.887722107194373	0.5215684101763741	0.49627672685973767	0.5070100654190639	0.0	0.013265680245208526	0.3303213955396889	IU_PDA_T3	0.3303213955396889
RAB9B	8	0	0	-14.891799122743299	0.5304210554663606	0.4931402868972675	0.5024039904856477	0.0	0.01605801845811288	0.5943575267584041	IU_PDA_T12	0.5943575267584041
CCDC138	8	0	0	-14.892780670213023	1.5365756350620503	0.4967094189581437	0.5145437297490422	0.0	0.013670553733593882	0.1894587009617293	IU_PDA_T12	0.1894587009617293
