orig.ident	gene	n_icaf_spots	n_other_spots	mean_normexpr_icaf	mean_normexpr_other	log2fc_icaf_vs_other	pct_positive_icaf	pct_positive_other	delta_pct_positive	auc_icaf_vs_other	mannwhitney_pvalue	mannwhitney_fdr
IU_PDA_T10	KCNMB1	34	2680	0.0	0.10273005194458035	-16.648512797429618	0.0	0.017164179104477612	-0.017164179104477612	0.4914179104477612	0.44141207958072093	1.0
IU_PDA_T10	KCNK17	34	2680	0.0	0.036597310964275986	-15.159489448285784	0.0	0.008582089552238806	-0.008582089552238806	0.4957089552238806	0.5880387338027038	1.0
IU_PDA_T10	KCND2	34	2680	0.0	0.0784807609102144	-16.26006979149311	0.0	0.010447761194029851	-0.010447761194029851	0.49477611940298505	0.5496032326577085	1.0
IU_PDA_T10	KCNMA1	34	2680	1.0448638715334402	0.4526245610815991	1.2069264108130475	0.11764705882352941	0.06343283582089553	0.054214223002633885	0.528544776119403	0.1773531206800556	1.0
IU_PDA_T10	KCNA5	34	2680	0.21754263835711798	0.014998473518111505	3.8583210605784592	0.029411764705882353	0.0018656716417910447	0.02754609306409131	0.5137785338015803	0.0006794239648767767	0.06266460311103178
IU_PDA_T10	KCNJ8	34	2680	1.4286803964593544	0.2864683085532977	2.3182317372101053	0.11764705882352941	0.050746268656716415	0.066900790166813	0.5347124670763828	0.06918356303357666	0.8659338063158714
IU_PDA_T10	KCNMB4	34	2680	0.0	0.06130409707718969	-15.90371940815196	0.0	0.010447761194029851	-0.010447761194029851	0.49477611940298505	0.5496032307021781	1.0
IU_PDA_T10	KCNJ16	34	2680	0.0	0.012927235888778196	-13.658237806426438	0.0	0.0029850746268656717	-0.0029850746268656717	0.49850746268656715	0.7506233672745759	1.0
IU_PDA_T10	KCNK6	34	2680	0.2133333989914421	0.44118627082563716	-1.0482745557359987	0.058823529411764705	0.08208955223880597	-0.023266022827041266	0.487774363476734	0.6058450725117784	1.0
IU_PDA_T10	KCNN4	34	2680	0.0	0.3222980541892358	-18.298040429143605	0.0	0.060820895522388056	-0.060820895522388056	0.469589552238806	0.13840261202487003	0.9878143428404014
IU_PDA_T10	KCNB1	34	2680	0.0	0.008029620847499428	-12.971295811506126	0.0	0.0026119402985074628	-0.0026119402985074628	0.4986940298507463	0.7664057719075676	1.0
IU_PDA_T10	KCNJ15	34	2680	0.46027800791678175	0.07589285880421005	2.6004535914704	0.029411764705882353	0.01082089552238806	0.018590869183494292	0.5094216417910448	0.29673673725583605	1.0
IU_PDA_T10	KCNK15	34	2680	0.0	0.03780023021418864	-15.206145566245233	0.0	0.008582089552238806	-0.008582089552238806	0.4957089552238806	0.5880387338027038	1.0
IU_PDA_T12	KCNAB2	188	3454	0.6001599034942123	0.5325219768467802	0.1725055651201889	0.3617021276595745	0.36479444122756227	-0.003092313567987781	0.5124270041518314	0.5050944471018106	0.8276535778432783
IU_PDA_T12	KCNQ4	188	3454	0.031711458847877426	0.052140992836628236	-0.717395980735518	0.026595744680851064	0.05327156919513607	-0.026675824514285008	0.4869377471694859	0.11604653467639221	0.3753471881714906
IU_PDA_T12	KCNC4	188	3454	0.1730322436105531	0.14938984999826901	0.21195745135357338	0.13297872340425532	0.14678633468442387	-0.013807611280168552	0.49615385799997536	0.7721819231043416	0.9805997977364077
IU_PDA_T12	KCND3	188	3454	0.3957182783186482	0.15642851277582487	1.338964626624144	0.25	0.1447596988998263	0.10524030110017371	0.5600167551651493	7.972715691660584e-06	0.00019251795124275686
IU_PDA_T12	KCNN3	188	3454	0.20842654913646882	0.0776982870104235	1.423572714747148	0.12234042553191489	0.07035321366531558	0.05198721186659931	0.5282658712069879	0.003757550227536612	0.034549766814651904
IU_PDA_T12	KCNT2	188	3454	0.01310786580900865	0.01574189764964175	-0.264158241153953	0.015957446808510637	0.01679212507237985	-0.0008346782638692131	0.49959652083923667	0.9332246224308718	1.0
IU_PDA_T12	KCNK1	188	3454	0.14059158710104644	0.2934172125436519	-1.0614378935102453	0.11170212765957446	0.23306311522872034	-0.12136098756914587	0.44152401163005583	0.00022608120378006126	0.003514570789953637
IU_PDA_T12	KCNS3	188	3454	0.45218769447267515	0.4056195486695335	0.15679418169673467	0.2765957446808511	0.29588882455124493	-0.01929307987039386	0.5021144156020155	0.9034525907471161	1.0
IU_PDA_T12	KCNK3	188	3454	0.11116378661015901	0.07364785276041362	0.5939649040833559	0.0851063829787234	0.06745801968731906	0.017648363291404345	0.5097666596853478	0.3018961458773335	0.6453796580863953
