"gene_symbol","category","mean_CTRL","mean_shSigmaR1","median_CTRL","median_shSigmaR1","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shSigmaR1","rho_shSigmaR1_pvalue","wilcox_padj","rho_padj"
"ACTA2","myCAF",10.7355261811009,10.9350421851439,10.7605668175646,10.9442379032425,0.199516004042977,0.0808555983700523,1,0.161504156094059,0.0926562405296845,0.305782135285416,-0.6,0.241666666666667,6,,,,,0.242566795110157,0.491964285714286
"WNT5A","myCAF",12.148142188953,12.012458628864,12.0357054596285,11.8798654893804,-0.135683560088999,0.382733088885226,-0.555555555555556,-0.063751430917452,0.489046786695543,0.741275087248486,0.6,0.241666666666667,6,,,,,0.597692768944052,0.491964285714286
"KRT7","apCAF",13.2529494369747,13.2431869911104,13.2714454317467,12.9831084771536,-0.00976244586428443,0.662520583540057,-0.333333333333333,0.0100417227734587,0.887691831905388,0.958109828216602,0.542857142857143,0.297222222222222,6,,,,,0.829970840918314,0.555464480874317
"CLCF1","iCAF",10.2746199271858,10.1760354817628,10.1235241020425,10.0265458390277,-0.0985844454230804,0.382733088885226,-0.555555555555556,-0.0415915276052556,0.642589958192926,0.837177863280181,0.542857142857143,0.297222222222222,6,,,,,0.597692768944052,0.555464480874317
"CXCL8","iCAF",9.84643403296308,9.62424343515762,9.46378818423544,9.27660929453378,-0.222190597805454,0.382733088885226,-0.555555555555556,-0.00283444156115209,0.935426341122324,0.975602464043355,0.542857142857143,0.297222222222222,6,,,,,0.597692768944052,0.555464480874317
"IRF9","ifCAF",8.45924452937732,8.53897229771793,8.46934053958226,8.54121084660935,0.0797277683406108,0.662520583540057,0.333333333333333,0.045440260819081,0.576985314780379,0.798693835393464,-0.542857142857143,0.297222222222222,6,,,,,0.829970840918314,0.555464480874317
"TMEM158","myCAF",14.2160536310614,13.8067468791095,14.2592927132229,13.8194685924632,-0.409306751951995,0.382733088885226,-0.555555555555556,-0.261557465913916,0.0307582422355453,0.153508510342244,0.542857142857143,0.297222222222222,6,,,,,0.597692768944052,0.555464480874317
"CXCL2","iCAF",8.10829250529445,8.18268145278241,8.07848009710596,8.18636909961607,0.0743889474879627,0.382733088885226,0.555555555555556,0.038077892324842,0.590519483260705,,-0.485714285714286,0.355555555555556,6,,,,,0.597692768944052,0.633333333333333
"KIF26B","myCAF",10.4769296654521,10.5838175653376,10.5092575668264,10.5618018299315,0.106887899885468,0.382733088885226,0.555555555555556,0.0812760000102759,0.37568455850902,0.654463945490942,-0.485714285714286,0.355555555555556,6,,,,,0.597692768944052,0.633333333333333
"RUNX2","myCAF",10.6447481762143,10.6687134292851,10.6709838020244,10.696592841274,0.0239652530708696,0.662520583540057,0.333333333333333,0.0189475280002147,0.831640714569773,0.935386354976855,-0.485714285714286,0.355555555555556,6,,,,,0.829970840918314,0.633333333333333
