"gene","mean_CTRL","mean_shSigmaR1","delta","signature"
"IFIT2",9.09087848493902,9.03140605994655,-0.0594724249924692,"ifCAF"
"STAT1",13.0537630195858,13.0240682109273,-0.0296948086585065,"ifCAF"
"OAS2",8.48431210891829,8.47876192012,-0.00555018879829383,"ifCAF"
"IFIT3",9.955120119486,9.95415793559989,-0.000962183886109358,"ifCAF"
"ISG15",10.5208970004154,10.5724317122971,0.0515347118816543,"ifCAF"
"MX1",8.63868748918451,8.69563960709885,0.056952117914344,"ifCAF"
"IRF9",8.45924452937732,8.53897229771793,0.0797277683406108,"ifCAF"
"OAS1",7.707538758606,7.90942743838997,0.201888679783968,"ifCAF"
"IRF7",9.33701832917169,9.70269856268241,0.365680233510718,"ifCAF"
"STAT2",12.2687225703215,12.8011466549454,0.532424084623871,"ifCAF"
