"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.296296296296296,0.439431436004823,0.16440575583821,0.327293547317434,1.0877228157797,46,"JUNB;PDLIM1;GPX4;SBNO2;STK25;G6PD;FES;MSRA"
"HALLMARK_TGF_BETA_SIGNALING",0.334640522875817,0.478057889822596,0.0778840111977068,-0.387790197291701,-1.08928305475312,52,"APC;ARID4B;BMPR2;SMURF2;SKIL;TRIM33;WWTR1;PPM1A;MAP3K7;SMAD3;ID1;TGFBR1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.344660194174757,0.478694714131607,0.165656695205483,0.288807725980174,1.035640841312,70,"CBS;CXCL16;TRIB3;TM7SF2;PNRC1;ECH1;ABCA2;NFIL3;PCYT2;NIBAN1;GUSB;ETHE1;S100A11;ACTG1;FBXO6;PLAUR;SEMA3B;ATF3;LGMN;ATXN2"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.36784140969163,0.49708298606977,0.0645031249656493,-0.330643808248477,-1.05520089989413,159,"PLK4;TOP2A;DHRS2;GAL;DYNLT3;JAK2;CAV1;NRIP1;CCND1;CKB;IL6ST;RBBP8;HSPA4L;SLC24A3;TFPI2;FABP5;PERP;SLC26A2;COX6C;ADD3;FKBP4;TPBG;RABEP1;NMU;PKP3;PRSS23;STIL;ATP2B4;KRT19;UGDH;CD44;PDZK1;FDFT1;HPRT1;ELOVL5;TOB1;MEST"
"HALLMARK_FATTY_ACID_METABOLISM",0.382857142857143,0.498575498575499,0.0643583367917361,-0.334332382380229,-1.04944188117313,133,"ACADM;CRYZ;NBN;SUCLA2;HSP90AA1;ACSL4;DLD;HIBCH;HSPH1;HMGCS1;MIX23;SERINC1;IDI1;OSTC;BCKDHB;GPD2;SUCLG2;PTS;SDHD;SMS;BMPR1B;RDH11;HSD17B11;UGDH;DHCR24"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.388888888888889,0.498575498575499,0.151148761385484,0.297735446076892,1.0340669019484,61,"IL6;CSF1;STAT2;INHBE;IRF1;STAT3;TGFB1;BAK1;LTBR;MYD88;PIM1;MAP3K8;OSMR;TNFRSF1A"
"HALLMARK_MTORC1_SIGNALING",0.419181034482759,0.523976293103448,0.0572461135202884,-0.318738730798923,-1.02727360746212,194,"POLR3G;TBK1;TFRC;UCHL5;NAMPT;UFM1;EDEM1;ERO1A;PLOD2;LDLR;ELOVL6;PSMA3;ACSL3;SC5D;PSMC6;HMGCS1;USO1;INSIG1;STARD4;IDI1;SSR1;ATP6V1D;HSPE1;SLC7A11;PSMD14;CCT6A;AK4;CTSC;CACYBP;BUB1;ADD3;EEF1E1;TCEA1;HSPD1;PSMD12;PRDX1;BCAT1;CYP51A1;AURKA;FGL2;EIF2S2;IFRD1;PSMA4;HSPA4;SYTL2;IGFBP5;SKAP2;RDH11;PNP;ACTR3;DHCR24;HMGCR;HPRT1;ELOVL5;ACTR2"
"HALLMARK_BILE_ACID_METABOLISM",0.611866501854141,0.746178660797733,0.0461379160269737,-0.309662873522894,-0.919968451155712,80,"ABCA5;NEDD4;PNPLA8;ABCD3;NUDT12;SCP2;GCLM;IDI1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.688172043010753,0.800200050012503,0.0391956336118146,-0.288284505574848,-0.876039115282773,92,"CDK1;TBK1;EIF4E;ATF1;PLCB1;PTPN11;ITPR2;CAMK4;NCK1;UBE2N;MAP3K7;MAPK8;MAPK9;RPS6KA3;SMAD2;PRKAA2;PPP2R1B;CAB39;ACTR3;PIKFYVE;CAB39L;ACTR2"
"HALLMARK_HEDGEHOG_SIGNALING",0.674927113702624,0.800200050012503,0.0491927521045191,-0.337365425246799,-0.856650834758242,29,"RASA1;L1CAM;SCG2;NF1;ADGRG1;CDK6"
"HALLMARK_COMPLEMENT",0.74390243902439,0.808589607635207,0.0319980480340634,-0.270272782113146,-0.858178879037256,152,"PLA2G4A;ZEB1;USP15;JAK2;USP16;GNG2;GMFB;PIK3CA;GCA;CPM;ADAM9;CFH;USP8;GNAI3;TFPI2;GNB4;VCPIP1;DGKH;CD46;KIF2A;GPD2;CTSC"
"HALLMARK_PEROXISOME",0.73780487804878,0.808589607635207,0.0369160593316849,-0.281618596679843,-0.844003127656852,85,"TOP2A;ACSL4;ABCD3;SEMA3C;SCP2;CRABP2;IDI1;MSH2;PRDX1;IDE;VPS4B;RDH11;HSD17B11;DHCR24;SOD1;ELOVL5;PEX2;CDK7"
"HALLMARK_NOTCH_SIGNALING",0.742446043165468,0.808589607635207,0.0442407423477375,-0.316328266214339,-0.809655151784172,30,"CCND1;SAP30;SKP1;ST3GAL6"
"HALLMARK_GLYCOLYSIS",0.859340659340659,0.902777777777778,0.0241447930798382,-0.251791234546744,-0.806295249087121,176,"HMMR;DEPDC1;CDK1;ZNF292;DLD;SLC35A3;ERO1A;PGM2;PLOD2;RPE;AGL;HS2ST1;SOX9;MET;UGP2;FAM162A;SAP30;VCAN;AK4;KIF2A;DCN;CENPA;AURKA;HOMER1;FKBP4;TPBG;TXN;FUT8;ARPP19"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.866666666666667,0.902777777777778,0.0261139619405561,-0.250081082532545,-0.777820357020141,112,"SKIC3;KIF5B;MTREX;EIF4E;NFYB;EDEM1;ERO1A;SPCS3;SSR1;NPM1;CKS1B;TARS1;EIF4A2;SDAD1;ATP6V0D1;IFIT1;YWHAZ;EXOSC9;PAIP1;DDX10"
"HALLMARK_ADIPOGENESIS",0.958695652173913,0.978260869565217,0.0167582341026205,-0.222007737461987,-0.713405605589684,184,"ACADM;NDUFA5;LIFR;DLD;SCP2;ARL4A;COX8A;CMPK1;HIBCH;ELOVL6;MAP4K3;ANGPT1;DLAT;DNAJC15;SSPN;REEP5;ENPP2;LAMA4;TANK;GPD2;ATL2;CHUK;MRPL15;NKIRAS1"
"HALLMARK_DNA_REPAIR",0.993318485523385,0.993318485523385,0.0159484509317776,-0.20488495205395,-0.648138862335173,147,"RRM2B;UPF3B;RFC3;ARL6IP1;REV3L;SDCBP;POLR2K;NUDT21;NT5C3A;RALA;GTF2H5;TAF9;SMAD5;ZWINT;NUDT9;CETN2;RNMT;ERCC8;RFC4;TAF13;PNP;GTF2A2;SF3A3;HPRT1;ERCC4;SUPT4H1;MRPL40;RBX1;GTF2H3;SNAPC5;CLP1"
