sample	view	Predictor	Target	Importance	Predictor_original
IU_PDA_T4	intra	Monocytes	KCNMA1	3.53772150488562	Monocytes
IU_PDA_T4	intra	B_cells	KCNMA1	0.0185888509314599	B cells
IU_PDA_T4	intra	TAM	KCNMA1	7.13021045689752	TAM
IU_PDA_T4	intra	Hepatocytes	KCNMA1	0.000505000305262403	Hepatocytes
IU_PDA_T4	intra	Endothelial_cells	KCNMA1	0.638172295779876	Endothelial cells
IU_PDA_T4	intra	PVL	KCNMA1	1.54914595343505	PVL
IU_PDA_T4	intra	T_NK_cells	KCNMA1	0.00454011652627918	T-NK cells
IU_PDA_T4	intra	Tumor_Epithelial_cells	KCNMA1	11.4424091960697	Tumor Epithelial cells
IU_PDA_T4	juxta_ct	Fibroblasts	KCNMA1	13.2535822595139	Fibroblasts
IU_PDA_T4	juxta_ct	Monocytes	KCNMA1	7.27464449303382	Monocytes
IU_PDA_T4	juxta_ct	B_cells	KCNMA1	0.287563989415548	B cells
IU_PDA_T4	juxta_ct	TAM	KCNMA1	13.1188550659059	TAM
IU_PDA_T4	juxta_ct	Hepatocytes	KCNMA1	0.0106825834396355	Hepatocytes
IU_PDA_T4	juxta_ct	Endothelial_cells	KCNMA1	1.68764814280637	Endothelial cells
IU_PDA_T4	juxta_ct	PVL	KCNMA1	2.79403465312129	PVL
IU_PDA_T4	juxta_ct	T_NK_cells	KCNMA1	0.181630273699978	T-NK cells
IU_PDA_T4	juxta_ct	Tumor_Epithelial_cells	KCNMA1	14.2923625445803	Tumor Epithelial cells
IU_PDA_T4	para_ct	Fibroblasts	KCNMA1	7.76774518595362	Fibroblasts
IU_PDA_T4	para_ct	Monocytes	KCNMA1	6.94256210747252	Monocytes
IU_PDA_T4	para_ct	B_cells	KCNMA1	7.39933419558926	B cells
IU_PDA_T4	para_ct	TAM	KCNMA1	7.45058542367629	TAM
IU_PDA_T4	para_ct	Hepatocytes	KCNMA1	7.02953019770813	Hepatocytes
IU_PDA_T4	para_ct	Endothelial_cells	KCNMA1	7.11222589292478	Endothelial cells
IU_PDA_T4	para_ct	PVL	KCNMA1	6.63499807125251	PVL
IU_PDA_T4	para_ct	T_NK_cells	KCNMA1	8.44032310155739	T-NK cells
IU_PDA_T4	para_ct	Tumor_Epithelial_cells	KCNMA1	7.20766414393672	Tumor Epithelial cells
IU_PDA_T6	intra	Fibroblasts	KCNMA1	9.28248898331878	Fibroblasts
IU_PDA_T6	intra	Monocytes	KCNMA1	0.120743506978982	Monocytes
IU_PDA_T6	intra	TAM	KCNMA1	5.38758846183742	TAM
IU_PDA_T6	intra	Endothelial_cells	KCNMA1	0.0369685908599961	Endothelial cells
IU_PDA_T6	intra	PVL	KCNMA1	0.00883104545048988	PVL
IU_PDA_T6	intra	Normal_Epithelial_cells	KCNMA1	0.189628497680675	Normal Epithelial cells
IU_PDA_T6	intra	Tumor_Epithelial_cells	KCNMA1	8.51238187917094	Tumor Epithelial cells
IU_PDA_T6	juxta_ct	Fibroblasts	KCNMA1	14.4463339120713	Fibroblasts
IU_PDA_T6	juxta_ct	Monocytes	KCNMA1	0.994171313670311	Monocytes
IU_PDA_T6	juxta_ct	TAM	KCNMA1	9.98815191195449	TAM
IU_PDA_T6	juxta_ct	Endothelial_cells	KCNMA1	0.225126712475027	Endothelial cells
IU_PDA_T6	juxta_ct	PVL	KCNMA1	0.0460037904609392	PVL
IU_PDA_T6	juxta_ct	Normal_Epithelial_cells	KCNMA1	0.317963632558484	Normal Epithelial cells
IU_PDA_T6	juxta_ct	Tumor_Epithelial_cells	KCNMA1	13.4446031926329	Tumor Epithelial cells
IU_PDA_T6	para_ct	Fibroblasts	KCNMA1	26.3356115053907	Fibroblasts
IU_PDA_T6	para_ct	Monocytes	KCNMA1	19.7149443994045	Monocytes
IU_PDA_T6	para_ct	TAM	KCNMA1	21.1519959206663	TAM
IU_PDA_T6	para_ct	Endothelial_cells	KCNMA1	20.4100608404967	Endothelial cells
IU_PDA_T6	para_ct	PVL	KCNMA1	19.2594256551071	PVL
IU_PDA_T6	para_ct	Normal_Epithelial_cells	KCNMA1	22.6751151629756	Normal Epithelial cells
IU_PDA_T6	para_ct	Tumor_Epithelial_cells	KCNMA1	21.119742343211	Tumor Epithelial cells
IU_PDA_T8	intra	Fibroblasts	KCNMA1	7.62569282119482	Fibroblasts
IU_PDA_T8	intra	Monocytes	KCNMA1	0.489906383502117	Monocytes
IU_PDA_T8	intra	B_cells	KCNMA1	5.18511272347736	B cells
IU_PDA_T8	intra	TAM	KCNMA1	6.06325727740751	TAM
IU_PDA_T8	intra	Hepatocytes	KCNMA1	0.000576568868479374	Hepatocytes
IU_PDA_T8	intra	Endothelial_cells	KCNMA1	0.0154425210862627	Endothelial cells
IU_PDA_T8	intra	PVL	KCNMA1	0.00773669339231511	PVL
IU_PDA_T8	intra	Tumor_Epithelial_cells	KCNMA1	8.14636220365401	Tumor Epithelial cells
IU_PDA_T8	juxta_ct	Fibroblasts	KCNMA1	12.6757086493561	Fibroblasts
IU_PDA_T8	juxta_ct	Monocytes	KCNMA1	1.31998449345545	Monocytes
IU_PDA_T8	juxta_ct	B_cells	KCNMA1	9.91975901202446	B cells
IU_PDA_T8	juxta_ct	TAM	KCNMA1	11.6662405452299	TAM
IU_PDA_T8	juxta_ct	Hepatocytes	KCNMA1	0.00412881481171034	Hepatocytes
IU_PDA_T8	juxta_ct	Endothelial_cells	KCNMA1	0.964046984599836	Endothelial cells
IU_PDA_T8	juxta_ct	PVL	KCNMA1	0.272558350547736	PVL
IU_PDA_T8	juxta_ct	Tumor_Epithelial_cells	KCNMA1	13.1237042605832	Tumor Epithelial cells
IU_PDA_T8	para_ct	Fibroblasts	KCNMA1	11.4919961682265	Fibroblasts
IU_PDA_T8	para_ct	Monocytes	KCNMA1	12.2563803857694	Monocytes
IU_PDA_T8	para_ct	B_cells	KCNMA1	12.4409026993972	B cells
IU_PDA_T8	para_ct	TAM	KCNMA1	12.8405732813674	TAM
IU_PDA_T8	para_ct	Hepatocytes	KCNMA1	11.1768736573478	Hepatocytes
IU_PDA_T8	para_ct	Endothelial_cells	KCNMA1	11.666906099179	Endothelial cells
IU_PDA_T8	para_ct	PVL	KCNMA1	12.8912134346112	PVL
IU_PDA_T8	para_ct	Tumor_Epithelial_cells	KCNMA1	12.9766416436587	Tumor Epithelial cells
