module	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
KCNMA1_KCNMB1	IU_PDA_T3	Normal Epithelial cells	93	4261	0.008602150537634409	0.0700618008292257	-0.06145965029159128	0.1240297488773913
KCNMA1_KCNMB1	IU_PDA_T3	iCAF	93	4261	0.3813620071684588	0.12851443323163547	0.25284757393682333	2.965934674543433
KCNMA1_KCNMB1	IU_PDA_T3	B cells	93	4261	0.10322580645161293	0.07200187749354577	0.031223928958067165	1.4330529251594342
KCNMA1_KCNMB1	IU_PDA_T3	DCs	93	4261	0.028673835125448036	0.016975670812798344	0.011698164312649691	1.685077877226459
KCNMA1_KCNMB1	IU_PDA_T3	SPP1-TAM	93	4261	0.0007168458781362007	0.003363842603457712	-0.002646996725321511	0.2358207261844983
KCNMA1_KCNMB1	IU_PDA_T3	PVL	93	4261	0.08530465949820788	0.009434405069232604	0.07587025442897528	8.95752371312685
KCNMA1_KCNMB1	IU_PDA_T3	C1Q-TAM	93	4261	0.004301075268817204	0.002409450050848782	0.0018916252179684225	1.7538007051898126
KCNMA1_KCNMB1	IU_PDA_T3	CD4+ cells	93	4261	0.017921146953405017	0.014910427912070751	0.003010719041334266	1.2005751640773128
KCNMA1_KCNMB1	IU_PDA_T3	FCN1-TAM	93	4261	0.011469534050179211	0.0052256903700226755	0.006243843680156536	2.172400805593576
KCNMA1_KCNMB4	IU_PDA_T3	myCAF	105	4249	0.34984126984127	0.5946497215030999	-0.2448084516618299	0.5883840835719434
KCNMA1_KCNMB4	IU_PDA_T3	Tumor Epithelial cells	105	4249	0.015238095238095236	0.08169765435004217	-0.06645955911194694	0.18751265375481183
KCNMA1_KCNMB4	IU_PDA_T3	Normal Epithelial cells	105	4249	0.008253968253968253	0.07024397897544458	-0.061990010721476335	0.11875882450272573
KCNMA1_KCNMB4	IU_PDA_T3	iCAF	105	4249	0.33968253968253975	0.12883031301482673	0.21085222666771303	2.6353968414197944
KCNMA1_KCNMB4	IU_PDA_T3	B cells	105	4249	0.1219047619047619	0.07145210637797095	0.05045265552679096	1.7051176838914701
KCNMA1_KCNMB4	IU_PDA_T3	DCs	105	4249	0.03619047619047621	0.016756883972699567	0.019433592217776643	2.1528579213839385
KCNMA1_KCNMB4	IU_PDA_T3	SPP1-TAM	105	4249	0.0012698412698412698	0.0033576527810465153	-0.0020878115112052454	0.39617664253339663
KCNMA1_KCNMB4	IU_PDA_T3	PVL	105	4249	0.07238095238095239	0.009539499490076125	0.06284145289087627	7.519161389610697
KCNMA1_KCNMB4	IU_PDA_T3	C1Q-TAM	105	4249	0.0038095238095238095	0.0024162548050521673	0.0013932690044716422	1.5537074391966268
KCNMA1_KCNMB4	IU_PDA_T3	CD4+ cells	105	4249	0.03428571428571429	0.014497528830313043	0.019788185455401244	2.355584611986472
KCNMA1_KCNMB4	IU_PDA_T3	FCN1-TAM	105	4249	0.015873015873015872	0.005099239036636061	0.010773776836379811	3.0721834023139105
KCNMA1_KCNMB1	IU_PDA_T4	myCAF	31	3590	0.5290322580645161	0.45496750232126165	0.0740647557432545	1.1627555370696794
KCNMA1_KCNMB1	IU_PDA_T4	Tumor Epithelial cells	31	3590	0.4021505376344086	0.4143918291550627	-0.012241291520654063	0.9704667482936689
KCNMA1_KCNMB1	IU_PDA_T4	Normal Epithelial cells	31	3590	0.03010752688172043	0.11305478180129792	-0.0829472549195775	0.2669575814724777
KCNMA1_KCNMB1	IU_PDA_T4	iCAF	31	3590	0.0	0.001132776230269268	-0.001132776230269268	0.08111772237704291
KCNMA1_KCNMB1	IU_PDA_T4	B cells	31	3590	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T4	DCs	31	3590	0.004301075268817204	0.0010770659238625827	0.0032240093449546216	3.739021901487831
KCNMA1_KCNMB1	IU_PDA_T4	SPP1-TAM	31	3590	0.004301075268817204	0.010064995357474465	-0.005763920088657261	0.4329638247774537
KCNMA1_KCNMB1	IU_PDA_T4	PVL	31	3590	0.030107526881720432	0.005311049210770653	0.02479647767094978	5.582563696074428
KCNMA1_KCNMB1	IU_PDA_T4	C1Q-TAM	31	3590	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T4	CD4+ cells	31	3590	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T4	FCN1-TAM	31	3590	0.0	0.0	0.0	1.0
KCNMA1_KCNMB4	IU_PDA_T4	myCAF	41	3580	0.4585365853658538	0.4555679702048405	0.002968615161013266	1.0065148646714817
KCNMA1_KCNMB4	IU_PDA_T4	Tumor Epithelial cells	41	3580	0.5138211382113821	0.4131471135940431	0.10067402461733899	1.2436170061582983
KCNMA1_KCNMB4	IU_PDA_T4	Normal Epithelial cells	41	3580	0.016260162601626015	0.11344506517690676	-0.09718490257528076	0.14408519274823936
KCNMA1_KCNMB4	IU_PDA_T4	iCAF	41	3580	0.0	0.0011359404096834278	-0.0011359404096834278	0.08091004972125952
KCNMA1_KCNMB4	IU_PDA_T4	B cells	41	3580	0.0	0.0	0.0	1.0
KCNMA1_KCNMB4	IU_PDA_T4	DCs	41	3580	0.0	0.0011173184357541912	-0.0011173184357541912	0.08214777420835237
KCNMA1_KCNMB4	IU_PDA_T4	SPP1-TAM	41	3580	0.0065040650406504065	0.010055865921787708	-0.003551800881137301	0.6502709952562974
KCNMA1_KCNMB4	IU_PDA_T4	PVL	41	3580	0.004878048780487805	0.005530726256983231	-0.0006526774764954264	0.884086448762098
KCNMA1_KCNMB4	IU_PDA_T4	C1Q-TAM	41	3580	0.0	0.0	0.0	1.0
KCNMA1_KCNMB4	IU_PDA_T4	CD4+ cells	41	3580	0.0	0.0	0.0	1.0
KCNMA1_KCNMB4	IU_PDA_T4	FCN1-TAM	41	3580	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T6	myCAF	49	3348	0.7129251700680271	0.4279968140183187	0.28492835604970845	1.6655699054969284
KCNMA1_KCNMB1	IU_PDA_T6	Tumor Epithelial cells	49	3348	0.19319727891156463	0.3116885702907219	-0.11849129137915726	0.6199626841077847
KCNMA1_KCNMB1	IU_PDA_T6	Normal Epithelial cells	49	3348	0.08979591836734695	0.2576861808044626	-0.16789026243711563	0.3487227984324548
KCNMA1_KCNMB1	IU_PDA_T6	iCAF	49	3348	0.0013605442176870747	0.0018518518518518524	-0.0004913076341647776	0.7482864113387288
KCNMA1_KCNMB1	IU_PDA_T6	B cells	49	3348	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T6	DCs	49	3348	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T6	SPP1-TAM	49	3348	0.0	0.0005575467941059338	-0.0005575467941059338	0.15208043122766643
KCNMA1_KCNMB1	IU_PDA_T6	PVL	49	3348	0.0027210884353741495	0.00021903624054161688	0.0025020521948325328	8.84253284387029
KCNMA1_KCNMB1	IU_PDA_T6	C1Q-TAM	49	3348	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T6	CD4+ cells	49	3348	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T6	FCN1-TAM	49	3348	0.0	0.0	0.0	1.0
KCNMA1_KCNMB4	IU_PDA_T6	myCAF	47	3350	0.7531914893617021	0.4276019900497506	0.3255894993119515	1.7612531783499037
KCNMA1_KCNMB4	IU_PDA_T6	Tumor Epithelial cells	47	3350	0.19574468085106386	0.3115820895522399	-0.11583740870117606	0.6283475612359145
