orig.ident	display_name	gene_symbol	file_stem	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T12	COL1A1	COL1A1	col1a1	3642	15208	3642.0	0.9999999957708601	1.928537895144452	0.026894127709348806	0.06005078464304458	bernoulli	30	
IU_PDA_T9	COL1A1	COL1A1	col1a1	3526	14112	3525.0	0.21593929060165318	1.8969598590835528	0.028916618070308882	0.14042371445567753	bernoulli	30	
IU_PDA_T4	COL1A1	COL1A1	col1a1	3621	14332	3597.0	0.025149028308517958	1.8532510523271597	0.03192319167105087	0.08923799161878312	bernoulli	30	
IU_PDA_T2	COL1A1	COL1A1	col1a1	4118	14705	4113.0	0.05916964476378416	1.839751370336889	0.032902373945440884	0.168054674841163	bernoulli	30	
IU_PDA_T8	DCN	DCN	dcn	3779	14218	2242.0	0.1433310821812813	34.63274123795415	4.063020175134378e-263	5.7768020850060586e-260	bernoulli	30	
IU_PDA_T4	DCN	DCN	dcn	3621	14332	3132.0	0.0693153566918189	15.120056839994755	5.971973469017296e-52	3.962514988794254e-50	bernoulli	30	
IU_PDA_T3	DCN	DCN	dcn	4354	14666	4129.0	0.08131655454446281	14.567732870753762	2.252990787830989e-48	3.671373654925476e-47	bernoulli	30	
IU_PDA_T10	DCN	DCN	dcn	2714	13630	2175.0	0.05827048166491689	11.307711557923437	6.009163281610818e-30	6.500388533996464e-28	bernoulli	30	
IU_PDA_T2	DCN	DCN	dcn	4118	14705	3428.0	0.0377148431024049	9.104882588344497	4.317989783061446e-20	2.197094801381265e-18	bernoulli	30	
IU_PDA_T6	DCN	DCN	dcn	3397	15000	3108.0	0.05532644867232221	7.622548811057376	1.2435751177520126e-14	1.978115245628864e-13	bernoulli	30	
IU_PDA_T9	DCN	DCN	dcn	3526	14112	3460.0	0.06006644024487849	6.718673392168876	9.169321722150763e-12	2.4507096239202947e-10	bernoulli	30	
IU_PDA_T11	DCN	DCN	dcn	2777	14683	2625.0	0.051558971295177884	6.676494639179333	1.2236250678213064e-11	2.85182331282861e-10	bernoulli	30	
IU_PDA_T1	DCN	DCN	dcn	3530	13520	3384.0	0.043221094374078464	5.377713124609394	3.771894458982823e-08	1.217088617791116e-06	bernoulli	30	
IU_PDA_T12	DCN	DCN	dcn	3642	15208	3637.0	0.05620588887399227	1.5778489289656343	0.05730016004351977	0.11013913472470281	bernoulli	30	
IU_PDA_T3	EPCAM	EPCAM	epcam	4354	14666	1481.0	0.19776685771890373	47.66096490301289	0.0	0.0	bernoulli	30	
IU_PDA_T12	EPCAM	EPCAM	epcam	3642	15208	2818.0	0.11788486090995194	25.905601616347617	2.879491953635934e-148	1.981507404112909e-146	bernoulli	30	
IU_PDA_T9	EPCAM	EPCAM	epcam	3526	14112	1333.0	0.09714459824988625	22.001875212809026	1.381579055653403e-107	2.6708004977234006e-105	bernoulli	30	
IU_PDA_T11	EPCAM	EPCAM	epcam	2777	14683	1594.0	0.07220377542892382	15.777433727730042	2.2245637226779017e-56	1.9213687729458607e-54	bernoulli	30	
IU_PDA_T6	EPCAM	EPCAM	epcam	3397	15000	2662.0	0.07236220769263729	14.440757175017021	1.4333770037917192e-47	7.84695440031963e-46	bernoulli	30	
IU_PDA_T2	EPCAM	EPCAM	epcam	4118	14705	2702.0	0.03177923571063386	7.8304281436937035	2.4310568035545014e-15	9.740787546667287e-14	bernoulli	30	
IU_PDA_T1	EPCAM	EPCAM	epcam	3530	13520	785.0	0.033712680383929126	7.202183406553727	2.9627955820597243e-13	1.4513404445451983e-11	bernoulli	30	
IU_PDA_T4	EPCAM	EPCAM	epcam	3621	14332	1181.0	0.024075553802548347	5.3277981307532505	4.9705260712270843e-08	5.38454872659309e-07	bernoulli	30	
IU_PDA_T8	EPCAM	EPCAM	epcam	3779	14218	2327.0	0.017347496483686765	4.080680589332089	2.2452013014239993e-05	0.0003120456706123795	bernoulli	30	
IU_PDA_T10	EPCAM	EPCAM	epcam	2714	13630	1280.0	0.01972671169642075	3.9244042129241747	4.347232235143634e-05	0.0010094169568144419	bernoulli	30	
IU_PDA_T3	FAP	FAP	fap	4354	14666	1185.0	0.0521224638325924	13.215918506222158	3.5507061078859384e-40	5.075502512500504e-39	bernoulli	30	
IU_PDA_T12	FAP	FAP	fap	3642	15208	2544.0	0.0560334433350376	12.839398209295975	4.931911408949031e-38	9.422676973278501e-37	bernoulli	30	
IU_PDA_T6	FAP	FAP	fap	3397	15000	1456.0	0.039461343314115105	8.727804163171118	1.2983238903495892e-18	2.6105708250997104e-17	bernoulli	30	
IU_PDA_T11	FAP	FAP	fap	2777	14683	831.0	0.023539408311435302	4.795604738970755	8.109239985082631e-07	1.1426868589344366e-05	bernoulli	30	
IU_PDA_T9	FAP	FAP	fap	3526	14112	1235.0	0.020775363754737396	4.713749404972563	1.2159986406628546e-06	2.0724846397384302e-05	bernoulli	30	
IU_PDA_T4	FAP	FAP	fap	3621	14332	558.0	0.017808983631134496	3.930342351471271	4.2412497989954395e-05	0.0002995965614634788	bernoulli	30	
IU_PDA_T8	FAP	FAP	fap	3779	14218	301.0	0.012800453173310265	2.9405627934746654	0.0016380829511793756	0.01335450883019975	bernoulli	30	
IU_PDA_T10	FAP	FAP	fap	2714	13630	206.0	0.014137789345012352	2.619195819125852	0.004406866877948816	0.049682047598380775	bernoulli	30	
IU_PDA_T1	FAP	FAP	fap	3530	13520	540.0	0.008749025869432814	1.9521511723666813	0.02546012964234406	0.17358595701688942	bernoulli	30	
IU_PDA_T2	FAP	FAP	fap	4118	14705	750.0	0.006009363264527855	1.48452610530603	0.06883470143325268	0.2610145138153638	bernoulli	30	
IU_PDA_T10	CK20	KRT20	krt20	2714	13630	94.0	0.20161549844756388	29.298781520444884	5.374347992721436e-189	4.308962537693716e-186	bernoulli	30	
IU_PDA_T11	CK20	KRT20	krt20	2777	14683	406.0	0.13003968075410424	24.038983596433855	5.442221299344532e-128	1.2485646146605588e-125	bernoulli	30	
IU_PDA_T2	CK20	KRT20	krt20	4118	14705	79.0	0.025252825231241092	4.608712024631464	2.0258552949095243e-06	3.993324679845114e-05	bernoulli	30	
IU_PDA_T6	CK20	KRT20	krt20	3397	15000	4.0	0.054483528091001876	1.6157122324741284	0.05307827249737972	0.11331825896110102	bernoulli	30	
IU_PDA_T8	CK20	KRT20	krt20	3779	14218	5.0	0.0482106044101605	1.5205289113248222	0.06418904908263717	0.2003780772256997	bernoulli	30	
IU_PDA_T1	CK20	KRT20	krt20	3530	13520						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T12	CK20	KRT20	krt20	3642	15208						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T3	CK20	KRT20	krt20	4354	14666						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T4	CK20	KRT20	krt20	3621	14332						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T9	CK20	KRT20	krt20	3526	14112						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T3	MFAP4	MFAP4	mfap4	4354	14666	937.0	0.11540330931009486	30.352747801562124	1.1556132354325184e-202	5.61199460624282e-201	bernoulli	30	
IU_PDA_T12	MFAP4	MFAP4	mfap4	3642	15208	2668.0	0.11688589079455486	27.14576843938092	1.4203464174008453e-162	1.096478594712287e-160	bernoulli	30	
IU_PDA_T2	MFAP4	MFAP4	mfap4	4118	14705	666.0	0.07094894756281551	17.399352804687922	4.172016201098697e-68	5.381534933083889e-66	bernoulli	30	
IU_PDA_T4	MFAP4	MFAP4	mfap4	3621	14332	341.0	0.06290934738058743	14.072279295124073	2.811375792523899e-45	1.6117055143381007e-43	bernoulli	30	
IU_PDA_T1	MFAP4	MFAP4	mfap4	3530	13520	957.0	0.058863076753926616	13.626684589211465	1.389611461846606e-42	1.7395876818672329e-40	bernoulli	30	
IU_PDA_T8	MFAP4	MFAP4	mfap4	3779	14218	822.0	0.053184170175114114	12.630257502879193	7.1903435157973974e-37	7.864023392892876e-35	bernoulli	30	
IU_PDA_T6	MFAP4	MFAP4	mfap4	3397	15000	834.0	0.04988671313657361	10.893663825063497	6.178348128166178e-28	1.9108293179895396e-26	bernoulli	30	
IU_PDA_T11	MFAP4	MFAP4	mfap4	2777	14683	1167.0	0.0463361259400778	9.53784894302766	7.291276357343902e-22	2.8397297282461673e-20	bernoulli	30	
IU_PDA_T9	MFAP4	MFAP4	mfap4	3526	14112	1465.0	0.03702796975094657	8.568696936846017	5.233128965486263e-18	1.9640935095995252e-16	bernoulli	30	
IU_PDA_T10	MFAP4	MFAP4	mfap4	2714	13630	284.0	0.024278156000582456	4.712060141294615	1.226124895977189e-06	3.7724790817537445e-05	bernoulli	30	
IU_PDA_T3	POSTN	POSTN	postn	4354	14666	2863.0	0.3080917211080575	80.67120242778175	0.0	0.0	bernoulli	30	
IU_PDA_T9	POSTN	POSTN	postn	3526	14112	2455.0	0.13357724705424537	30.133664864981007	8.779853546625009e-200	3.1769562371787725e-197	bernoulli	30	
IU_PDA_T8	POSTN	POSTN	postn	3779	14218	1406.0	0.11415679753949641	27.648047802854855	1.4728869318417024e-168	9.10500278127188e-166	bernoulli	30	
IU_PDA_T1	POSTN	POSTN	postn	3530	13520	1374.0	0.10513641664611238	24.01465626688744	9.77379378765438e-128	2.872645478458418e-125	bernoulli	30	
IU_PDA_T2	POSTN	POSTN	postn	4118	14705	2810.0	0.05861080231364811	14.4047183552275	2.416419582297592e-47	2.4009087809247358e-45	bernoulli	30	
IU_PDA_T10	POSTN	POSTN	postn	2714	13630	302.0	0.058186565083417026	11.604044676941268	1.9652625153903683e-31	2.1956170561287472e-29	bernoulli	30	
IU_PDA_T4	POSTN	POSTN	postn	3621	14332	2288.0	0.05199670390187132	11.406821484926429	1.932996501136493e-30	7.214506732887556e-29	bernoulli	30	
IU_PDA_T12	POSTN	POSTN	postn	3642	15208	3543.0	0.06921379465011569	10.521364619525167	3.443440806601162e-26	4.907951995013164e-25	bernoulli	30	
IU_PDA_T11	POSTN	POSTN	postn	2777	14683	2190.0	0.058374891130577464	10.444979908891387	7.72440487635018e-26	3.3957316407020864e-24	bernoulli	30	
IU_PDA_T6	POSTN	POSTN	postn	3397	15000	3125.0	0.04248739622004507	4.1617867233532015	1.5788359969409368e-05	0.00010740380931570999	bernoulli	30	
IU_PDA_T1	THBS1	THBS1	thbs1	3530	13520	2747.0	0.15268048301538845	36.20722191515844	2.343167862208603e-287	1.7599794165033507e-284	bernoulli	30	
IU_PDA_T6	THBS1	THBS1	thbs1	3397	15000	2741.0	0.11021159975358842	24.11019385471926	9.771470171562325e-129	1.628578361927054e-126	bernoulli	30	
IU_PDA_T2	THBS1	THBS1	thbs1	4118	14705	2473.0	0.08801247549308423	21.769611634133426	2.2521533058567888e-105	4.0886314027930965e-103	bernoulli	30	
IU_PDA_T10	THBS1	THBS1	thbs1	2714	13630	1310.0	0.10587796646130944	21.546823005857878	2.8353471427868973e-103	9.425800379557416e-101	bernoulli	30	
IU_PDA_T3	THBS1	THBS1	thbs1	4354	14666	3781.0	0.07885577261419396	19.79749155455089	1.5644558392102021e-87	3.830435615668919e-86	bernoulli	30	
IU_PDA_T8	THBS1	THBS1	thbs1	3779	14218	1870.0	0.05648456274674592	13.559767650015662	3.46777159883733e-42	4.363254565687536e-40	bernoulli	30	
IU_PDA_T4	THBS1	THBS1	thbs1	3621	14332	1926.0	0.0596897821428948	13.435278509312205	1.8782617458824972e-41	9.54583239077587e-40	bernoulli	30	
IU_PDA_T11	THBS1	THBS1	thbs1	2777	14683	2265.0	0.060561880810667865	11.679174216579838	8.143503660352494e-32	4.1808064421313174e-30	bernoulli	30	
IU_PDA_T9	THBS1	THBS1	thbs1	3526	14112	3442.0	0.04148869480120032	5.540917653443832	1.5044534683119787e-08	3.1782705606015935e-07	bernoulli	30	
IU_PDA_T12	THBS1	THBS1	thbs1	3642	15208	3551.0	0.02790823930367893	4.268280794451535	9.849263516435993e-06	4.6648271428825465e-05	bernoulli	30	
