orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T12	KCNE4	3642	15208	1098.0	0.00917409032517526	2.129736646995801	0.016596680821423664	0.04018505364308408	bernoulli	30	
IU_PDA_T9	KCNE4	3526	14113	383.0	0.008980553390341183	2.004002720209694	0.022534884516092795	0.11827252702700544	bernoulli	30	
IU_PDA_T3	KCNE4	4354	14668	305.0	0.007936624480142972	1.9081141416436929	0.02818823266026529	0.0676825152553368	bernoulli	30	
IU_PDA_T4	KCNE4	3621	14334	117.0	0.005058277234446692	1.0229994998424636	0.15315404114808684	0.2558934637856017	bernoulli	30	
IU_PDA_T10	KCNE4	2714	13635	135.0	0.004599550758179485	0.822222480204044	0.20547514333658734	0.4209215113272789	bernoulli	30	
IU_PDA_T1	KCNE4	3530	13524	335.0	0.0013880500562859772	0.30445923594224794	0.38038902225219495	0.5642524740538072	bernoulli	30	
IU_PDA_T11	KCNE4	2777	14686	185.0	-0.0015754414327651867	-0.3038458839119886	0.6193773460093721	0.6861993908964062	bernoulli	30	
IU_PDA_T2	KCNE4	4118	14706	218.0	-0.004523703192473437	-1.00490767074327	0.8425293447651454	0.8818734646543042	bernoulli	30	
IU_PDA_T12	KCNJ15	3642	15208	871.0	0.07910792711032687	17.801055468538653	3.467473207479002e-71	1.1340501621363582e-69	bernoulli	30	
IU_PDA_T6	KCNJ15	3397	15000	417.0	0.041130046112971136	8.686689077573442	1.86577812609803e-18	3.706843959135159e-17	bernoulli	30	
IU_PDA_T9	KCNJ15	3526	14113	308.0	0.03626425075126283	7.954395767080824	9.000392308947817e-16	3.0461039965510925e-14	bernoulli	30	
IU_PDA_T8	KCNJ15	3779	14218	166.0	0.01662786439178708	3.3122606825831715	0.0004627263378783805	0.0045441900910626765	bernoulli	30	
IU_PDA_T2	KCNJ15	4118	14706	496.0	0.009323710771582448	2.293183360484843	0.010918725354694174	0.07581245281687088	bernoulli	30	
IU_PDA_T1	KCNJ15	3530	13524	55.0	0.009362452841396099	1.400923906231887	0.08061841454172664	0.3123497074245812	bernoulli	30	
IU_PDA_T11	KCNJ15	2777	14686	56.0	0.010259784152961644	1.334066034552202	0.09109110803520337	0.22846042878802486	bernoulli	30	
IU_PDA_T3	KCNJ15	4354	14668	225.0	0.004467721956285904	1.049437334138279	0.1469884414183757	0.24469713525419756	bernoulli	30	
