target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCNT2	IU_PDA_T2	4118	14706	1882	423	0.014240934524054887	1.4700472447276802	0.2652060444660888	
KCNA5	IU_PDA_T3	4354	14668	5788	423	0.00901408970165353	0.7924331243481223	0.31435175508879015	
KCNA7	IU_PDA_T3	4354	14668	5788	423				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T3	4354	14668	5788	423	0.01066131407513153	1.2464117545768008	0.19327041493483102	
KCNAB2	IU_PDA_T3	4354	14668	5788	423	0.011027956764208523	2.825332627047946	0.007648404411886989	
KCNB1	IU_PDA_T3	4354	14668	5788	423	0.03824967395618272	2.1857596800850274	0.03825992953042589	
KCNC4	IU_PDA_T3	4354	14668	5788	423	0.007409072729204311	1.8103865702835062	0.08133740731422535	
KCND2	IU_PDA_T3	4354	14668	5788	423	0.031533421908294154	6.623164229597396	1.1742081919658082e-10	
KCND3	IU_PDA_T3	4354	14668	5788	423	0.011420777034542449	2.791271657003494	0.008401596684671341	
KCNE4	IU_PDA_T3	4354	14668	5788	423	0.007936624480142972	1.9081141416436929	0.0676825152553368	
KCNJ15	IU_PDA_T3	4354	14668	5788	423	0.004467721956285904	1.049437334138279	0.24469713525419756	
KCNJ16	IU_PDA_T3	4354	14668	5788	423	0.03731133264010685	1.4287074711568974	0.15098840895096277	
KCNJ8	IU_PDA_T3	4354	14668	5788	423	0.02603084003135003	6.589448382943994	1.4696752615396844e-10	
KCNK1	IU_PDA_T3	4354	14668	5788	423	0.029637871489227828	7.263000389526876	1.3931907951499574e-12	
KCNK15	IU_PDA_T3	4354	14668	5788	423	-0.00176722938889887	-0.32110881213848436	0.680898082379416	
KCNK17	IU_PDA_T3	4354	14668	5788	423	0.005061036724307429	0.9537560051775759	0.26945113347364025	
KCNK3	IU_PDA_T3	4354	14668	5788	423	0.39665834847758763	104.53618515893486	0.0	
KCNK6	IU_PDA_T3	4354	14668	5788	423	0.003744261371872037	0.9109664465168591	0.28086971728127225	
KCNMA1	IU_PDA_T3	4354	14668	5788	423	0.025347817382486787	6.450649712286872	3.631834952698426e-10	
