CellType2	pathway	n_genes_in_matrix
qPSC	HALLMARK_NOTCH_SIGNALING	32
qPSC	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200
qPSC	HALLMARK_P53_PATHWAY	191
qPSC	HALLMARK_PANCREAS_BETA_CELLS	39
qPSC	HALLMARK_PEROXISOME	103
qPSC	HALLMARK_PI3K_AKT_MTOR_SIGNALING	104
qPSC	HALLMARK_PROTEIN_SECRETION	96
qPSC	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49
qPSC	HALLMARK_SPERMATOGENESIS	112
qPSC	HALLMARK_TGF_BETA_SIGNALING	54
qPSC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199
qPSC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	108
qPSC	HALLMARK_UV_RESPONSE_DN	143
qPSC	HALLMARK_UV_RESPONSE_UP	154
qPSC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	41
qPSC	HALLMARK_XENOBIOTIC_METABOLISM	193
smPSC	HALLMARK_ADIPOGENESIS	194
smPSC	HALLMARK_ALLOGRAFT_REJECTION	187
smPSC	HALLMARK_ANDROGEN_RESPONSE	97
smPSC	HALLMARK_ANGIOGENESIS	35
smPSC	HALLMARK_APICAL_JUNCTION	193
smPSC	HALLMARK_APICAL_SURFACE	41
smPSC	HALLMARK_APOPTOSIS	159
smPSC	HALLMARK_BILE_ACID_METABOLISM	107
smPSC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74
smPSC	HALLMARK_COAGULATION	130
smPSC	HALLMARK_COMPLEMENT	197
smPSC	HALLMARK_DNA_REPAIR	149
smPSC	HALLMARK_E2F_TARGETS	198
smPSC	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	199
smPSC	HALLMARK_ESTROGEN_RESPONSE_EARLY	198
smPSC	HALLMARK_ESTROGEN_RESPONSE_LATE	196
smPSC	HALLMARK_FATTY_ACID_METABOLISM	152
smPSC	HALLMARK_G2M_CHECKPOINT	194
smPSC	HALLMARK_GLYCOLYSIS	196
smPSC	HALLMARK_HEDGEHOG_SIGNALING	35
smPSC	HALLMARK_HEME_METABOLISM	186
smPSC	HALLMARK_HYPOXIA	199
smPSC	HALLMARK_IL2_STAT5_SIGNALING	196
smPSC	HALLMARK_IL6_JAK_STAT3_SIGNALING	86
smPSC	HALLMARK_INFLAMMATORY_RESPONSE	198
smPSC	HALLMARK_INTERFERON_ALPHA_RESPONSE	96
smPSC	HALLMARK_INTERFERON_GAMMA_RESPONSE	196
smPSC	HALLMARK_KRAS_SIGNALING_DN	181
smPSC	HALLMARK_KRAS_SIGNALING_UP	197
smPSC	HALLMARK_MITOTIC_SPINDLE	198
smPSC	HALLMARK_MTORC1_SIGNALING	197
smPSC	HALLMARK_MYC_TARGETS_V1	184
smPSC	HALLMARK_MYC_TARGETS_V2	57
smPSC	HALLMARK_MYOGENESIS	188
smPSC	HALLMARK_NOTCH_SIGNALING	32
smPSC	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200
smPSC	HALLMARK_P53_PATHWAY	191
smPSC	HALLMARK_PANCREAS_BETA_CELLS	39
smPSC	HALLMARK_PEROXISOME	103
smPSC	HALLMARK_PI3K_AKT_MTOR_SIGNALING	104
smPSC	HALLMARK_PROTEIN_SECRETION	96
smPSC	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49
smPSC	HALLMARK_SPERMATOGENESIS	112
smPSC	HALLMARK_TGF_BETA_SIGNALING	54
smPSC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199
smPSC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	108
smPSC	HALLMARK_UV_RESPONSE_DN	143
smPSC	HALLMARK_UV_RESPONSE_UP	154
smPSC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	41
smPSC	HALLMARK_XENOBIOTIC_METABOLISM	193
myCAF	HALLMARK_ADIPOGENESIS	194
myCAF	HALLMARK_ALLOGRAFT_REJECTION	187
myCAF	HALLMARK_ANDROGEN_RESPONSE	97
myCAF	HALLMARK_ANGIOGENESIS	35
myCAF	HALLMARK_APICAL_JUNCTION	193
myCAF	HALLMARK_APICAL_SURFACE	41
myCAF	HALLMARK_APOPTOSIS	159
myCAF	HALLMARK_BILE_ACID_METABOLISM	107
myCAF	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74
myCAF	HALLMARK_COAGULATION	130
