CellType2	gene	row_label	pathway_label	delta_high_minus_low	padj_BH	direction	dot_size
myCAF	KCNE4	myCAF | KCNE4	HYPOXIA	0.00728648149021948	0.00417809173819042	KCN-high	2.37902202846474
myCAF	KCNE4	myCAF | KCNE4	ADIPOGENESIS	0.00549776975874846	0.00417809173819042	KCN-high	2.37902202846474
myCAF	KCNE4	myCAF | KCNE4	UV RESPONSE DN	0.00391928647979308	0.00417809173819042	KCN-high	2.37902202846474
myCAF	KCNE4	myCAF | KCNE4	EPITHELIAL MESENCHYMAL TRANSITION	0.0158284973809621	0.00439476493076161	KCN-high	2.35706434971498
myCAF	KCNE4	myCAF | KCNE4	OXIDATIVE PHOSPHORYLATION	0.0111379554471065	0.00439476493076161	KCN-high	2.35706434971498
myCAF	KCNE4	myCAF | KCNE4	REACTIVE OXYGEN SPECIES PATHWAY	0.00911349275004351	0.00439476493076161	KCN-high	2.35706434971498
myCAF	KCNE4	myCAF | KCNE4	MYOGENESIS	0.00515346989070669	0.00439476493076161	KCN-high	2.35706434971498
myCAF	KCNE4	myCAF | KCNE4	APICAL JUNCTION	0.00500232118009703	0.00439476493076161	KCN-high	2.35706434971498
myCAF	KCNE4	myCAF | KCNE4	CHOLESTEROL HOMEOSTASIS	0.0047092256466064	0.00439476493076161	KCN-high	2.35706434971498
myCAF	KCNE4	myCAF | KCNE4	MTORC1 SIGNALING	0.00447719960205841	0.00493073042808026	KCN-high	2.30708874048194
myCAF	KCNE4	myCAF | KCNE4	ANGIOGENESIS	0.0097040142770996	0.00555373553113168	KCN-high	2.25541480519521
myCAF	KCNE4	myCAF | KCNE4	UNFOLDED PROTEIN RESPONSE	0.0042453874219781	0.00627351109177326	KCN-high	2.20248932982356
myCAF	KCNE4	myCAF | KCNE4	COAGULATION	0.00677189519724777	0.00781145179608383	KCN-high	2.10726824289184
myCAF	KCNE4	myCAF | KCNE4	MYC TARGETS V1	0.00726898848002079	0.0127694099106097	KCN-high	1.89382917152964
myCAF	KCNE4	myCAF | KCNE4	APOPTOSIS	0.00504813001803036	0.0157088015443153	KCN-high	1.8038569468852
myCAF	KCNE4	myCAF | KCNE4	PI3K AKT MTOR SIGNALING	0.00434019033405004	0.0192609655724481	KCN-high	1.71532194502691
myCAF	KCNE4	myCAF | KCNE4	GLYCOLYSIS	0.00322195493439946	0.0301388893798287	KCN-high	1.52087275550841
myCAF	KCNE4	myCAF | KCNE4	FATTY ACID METABOLISM	0.00239222616491082	0.034694057151173	KCN-high	1.45974491043935
myCAF	KCNE4	myCAF | KCNE4	ESTROGEN RESPONSE LATE	0.0015081588305417	0.034694057151173	KCN-high	1.45974491043935
myCAF	KCNE4	myCAF | KCNE4	HEDGEHOG SIGNALING	0.00354233601877577	0.0358320313562673	KCN-high	1.44572857051626
myCAF	KCNE4	myCAF | KCNE4	PROTEIN SECRETION	0.00336832588980228	0.0400351316876173	KCN-high	1.39755873862899
myCAF	KCNJ8	myCAF | KCNJ8	OXIDATIVE PHOSPHORYLATION	0.0147595577352143	0.00328370980881709	KCN-high	2.48363522974932
myCAF	KCNJ8	myCAF | KCNJ8	REACTIVE OXYGEN SPECIES PATHWAY	0.0120478132004415	0.00328370980881709	KCN-high	2.48363522974932
myCAF	KCNJ8	myCAF | KCNJ8	MYC TARGETS V1	0.0103670652345499	0.00328370980881709	KCN-high	2.48363522974932
myCAF	KCNJ8	myCAF | KCNJ8	ADIPOGENESIS	0.00644179259684035	0.00328370980881709	KCN-high	2.48363522974932
myCAF	KCNJ8	myCAF | KCNJ8	MITOTIC SPINDLE	-0.00202562195307297	0.0156181219870471	KCN-low	1.8063711893894
myCAF	KCNJ8	myCAF | KCNJ8	PROTEIN SECRETION	0.00534433487548266	0.016488054882664	KCN-high	1.78283057562001
myCAF	KCNJ8	myCAF | KCNJ8	FATTY ACID METABOLISM	0.00302641982002768	0.0178232916819542	KCN-high	1.74901208552405
myCAF	KCNJ8	myCAF | KCNJ8	MTORC1 SIGNALING	0.0038649654696362	0.0217531516701113	KCN-high	1.66247781209884
myCAF	KCNJ8	myCAF | KCNJ8	MYOGENESIS	0.00370345767281463	0.0217531516701113	KCN-high	1.66247781209884
myCAF	KCNJ8	myCAF | KCNJ8	ANDROGEN RESPONSE	0.00403414785327489	0.0246620640824808	KCN-high	1.60797057810047
myCAF	KCNJ8	myCAF | KCNJ8	PEROXISOME	0.00194331409533272	0.0246620640824808	KCN-high	1.60797057810047
myCAF	KCNJ8	myCAF | KCNJ8	HYPOXIA	0.0052238524444597	0.0279421109080751	KCN-high	1.55374078787468
myCAF	KCNJ8	myCAF | KCNJ8	ANGIOGENESIS	0.0122711726937988	0.0286274255892126	KCN-high	1.5432177055121
myCAF	KCNJ8	myCAF | KCNJ8	APOPTOSIS	0.00360277142347007	0.0361048531931455	KCN-high	1.44243441656145
myCAF	KCNJ8	myCAF | KCNJ8	DNA REPAIR	0.00275531221334104	0.0453162848059173	KCN-high	1.34374570239265
myCAF	KCNK1	myCAF | KCNK1	REACTIVE OXYGEN SPECIES PATHWAY	0.0108254087744866	0.0482161603742817	KCN-high	1.31680737700825
myCAF	KCNK1	myCAF | KCNK1	HYPOXIA	0.00956295156091933	0.0482161603742817	KCN-high	1.31680737700825
myCAF	KCNK1	myCAF | KCNK1	UNFOLDED PROTEIN RESPONSE	0.00869669888470935	0.0482161603742817	KCN-high	1.31680737700825
myCAF	KCNK1	myCAF | KCNK1	GLYCOLYSIS	0.00799750074482499	0.0482161603742817	KCN-high	1.31680737700825
myCAF	KCNK6	myCAF | KCNK6	G2M CHECKPOINT	-0.0019940071913881	0.0353404348190426	KCN-low	1.45172811135588
myCAF	KCNMB1	myCAF | KCNMB1	KRAS SIGNALING DN	0.00268904103343287	0.00304714496601067	KCN-high	2.51610688399824
myCAF	KCNS3	myCAF | KCNS3	OXIDATIVE PHOSPHORYLATION	0.0201469167118111	0.00163072703625354	KCN-high	2.78761872845692
myCAF	KCNS3	myCAF | KCNS3	REACTIVE OXYGEN SPECIES PATHWAY	0.0129134286393309	0.00163072703625354	KCN-high	2.78761872845692
myCAF	KCNS3	myCAF | KCNS3	MYC TARGETS V1	0.0118759339457155	0.00163072703625354	KCN-high	2.78761872845692
myCAF	KCNS3	myCAF | KCNS3	PANCREAS BETA CELLS	0.00609882158583773	0.00502521813448875	KCN-high	2.29884508165899
myCAF	KCNS3	myCAF | KCNS3	UNFOLDED PROTEIN RESPONSE	0.00564982506091712	0.00817839861592986	KCN-high	2.08733172571127
myCAF	KCNS3	myCAF | KCNS3	ADIPOGENESIS	0.00435361243700929	0.00817839861592986	KCN-high	2.08733172571127
myCAF	KCNS3	myCAF | KCNS3	DNA REPAIR	0.00407616472173506	0.00817839861592986	KCN-high	2.08733172571127
myCAF	KCNS3	myCAF | KCNS3	KRAS SIGNALING DN	-0.00109057645669536	0.00817839861592986	KCN-low	2.08733172571127
myCAF	KCNS3	myCAF | KCNS3	APOPTOSIS	0.00653858680191821	0.0140752742293527	KCN-high	1.85154313501058
myCAF	KCNS3	myCAF | KCNS3	COAGULATION	0.00702622973170453	0.0156651943659601	KCN-high	1.80506421223837
