pathway	n_patients	mean_low	mean_high	delta_high_minus_low	median_delta	p_value	padj_BH	CellType2	gene	n_deg_methods	pathway_label	direction	significant
HALLMARK_ADIPOGENESIS	4	0.0710138605970608	0.0750238627711774	0.00401000217411657	0.00453471946545905	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	ADIPOGENESIS	KCN-high	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	4	0.0390838131483282	0.04265743660757	0.00357362345924182	0.00384653212547812	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	INFLAMMATORY RESPONSE	KCN-high	FALSE
HALLMARK_APICAL_JUNCTION	4	0.0667601544477205	0.0702023055491526	0.00344215110143219	0.00461327255205325	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	APICAL JUNCTION	KCN-high	FALSE
HALLMARK_E2F_TARGETS	4	0.0286004427721744	0.0257954683287481	-0.00280497444342635	-0.00248169906406977	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	E2F TARGETS	KCN-low	FALSE
HALLMARK_GLYCOLYSIS	4	0.0654890468498779	0.0676003374064786	0.0021112905566006	0.0028791416788446	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	GLYCOLYSIS	KCN-high	FALSE
HALLMARK_IL2_STAT5_SIGNALING	4	0.0424671314756891	0.0409492890639388	-0.00151784241175028	-0.00127278999252044	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	IL2 STAT5 SIGNALING	KCN-low	FALSE
HALLMARK_MYC_TARGETS_V1	4	0.112662855000371	0.119773205669442	0.00711035066907052	0.00332914148600433	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	MYC TARGETS V1	KCN-high	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	4	0.114248757980477	0.120934634886611	0.00668587690613435	0.00808287177181836	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	4	0.0800246378362911	0.0855367380009451	0.00551210016465398	0.0042950764414145	0.361310428526179	0.748567206115853	csCAF	KCNAB2	0	UNFOLDED PROTEIN RESPONSE	KCN-high	FALSE
HALLMARK_P53_PATHWAY	4	0.0687388406693367	0.0739259446428154	0.00518710397347868	0.00719197313581694	0.361310428526179	0.748567206115853	csCAF	KCNAB2	0	P53 PATHWAY	KCN-high	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	4	0.0639161915967213	0.0689150017939297	0.00499881019720841	0.00493107146815619	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	CHOLESTEROL HOMEOSTASIS	KCN-high	FALSE
HALLMARK_UV_RESPONSE_DN	4	0.0849722928551155	0.0898984461484462	0.00492615329333061	0.00449305964743813	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	UV RESPONSE DN	KCN-high	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4	0.0830897429583227	0.087998445163065	0.00490870220474228	0.00380680600564851	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	TNFA SIGNALING VIA NFKB	KCN-high	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	4	0.0556756886474526	0.0604359819402192	0.00476029329276665	0.00301942683056142	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	PI3K AKT MTOR SIGNALING	KCN-high	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	4	0.0455734177146354	0.0490710892799976	0.00349767156536224	0.00322108764660726	0.361310428526179	0.748567206115853	csCAF	KCNAB2	0	ESTROGEN RESPONSE LATE	KCN-high	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	4	0.0203099446950784	0.0168803624795141	-0.00342958221556424	-0.00514975660994776	0.361310428526179	0.748567206115853	csCAF	KCNAB2	0	WNT BETA CATENIN SIGNALING	KCN-low	FALSE
HALLMARK_NOTCH_SIGNALING	4	0.0425674291645909	0.0456157649126399	0.003048335748049	0.00556660681718465	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	NOTCH SIGNALING	KCN-high	FALSE
HALLMARK_UV_RESPONSE_UP	4	0.0557360884881681	0.0577245678966058	0.00198847940843776	0.0015850979873735	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	UV RESPONSE UP	KCN-high	FALSE
HALLMARK_FATTY_ACID_METABOLISM	4	0.0560105168690557	0.0578914318839907	0.0018809150149349	0.00172388371204252	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	FATTY ACID METABOLISM	KCN-high	FALSE
HALLMARK_MYC_TARGETS_V2	4	0.0344912291724553	0.0331139256817209	-0.00137730349073433	-0.0011665673844491	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	MYC TARGETS V2	KCN-low	FALSE
HALLMARK_G2M_CHECKPOINT	4	0.0295146376068939	0.0281489777396161	-0.00136565986727784	-0.00179022706827935	0.361310428526179	0.748567206115853	csCAF	KCNAB2	0	G2M CHECKPOINT	KCN-low	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	4	0.0475994776291892	0.048840797283551	0.0012413196543618	0.00226035454438757	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	XENOBIOTIC METABOLISM	KCN-high	FALSE
