Patient	Dataset	CellType2	n_cells	fraction
peng_T4	Peng	iCAF	2	0.00888888888888889
peng_T4	Peng	Myocyte	1	0.00444444444444444
peng_T4	Peng	Schwann	2	0.00888888888888889
peng_T5	Peng	qPSC	137	0.328537170263789
peng_T5	Peng	smPSC	167	0.400479616306954
peng_T5	Peng	myCAF	38	0.0911270983213429
peng_T5	Peng	csCAF	63	0.151079136690647
peng_T5	Peng	iCAF	6	0.0143884892086331
peng_T5	Peng	Myocyte	4	0.00959232613908873
peng_T5	Peng	Schwann	2	0.00479616306954436
peng_T6	Peng	qPSC	137	0.375342465753425
peng_T6	Peng	smPSC	158	0.432876712328767
peng_T6	Peng	myCAF	37	0.101369863013699
peng_T6	Peng	csCAF	30	0.0821917808219178
peng_T6	Peng	iCAF	1	0.00273972602739726
peng_T6	Peng	Myocyte	1	0.00273972602739726
peng_T6	Peng	Schwann	1	0.00273972602739726
peng_T7	Peng	qPSC	172	0.390909090909091
peng_T7	Peng	smPSC	112	0.254545454545455
peng_T7	Peng	myCAF	62	0.140909090909091
peng_T7	Peng	csCAF	76	0.172727272727273
peng_T7	Peng	iCAF	2	0.00454545454545455
peng_T7	Peng	Myocyte	3	0.00681818181818182
peng_T7	Peng	Schwann	13	0.0295454545454545
peng_T8	Peng	qPSC	51	0.411290322580645
peng_T8	Peng	smPSC	18	0.145161290322581
peng_T8	Peng	myCAF	39	0.314516129032258
peng_T8	Peng	csCAF	10	0.0806451612903226
peng_T8	Peng	Myocyte	6	0.0483870967741935
peng_T9	Peng	qPSC	111	0.14176245210728
peng_T9	Peng	smPSC	75	0.0957854406130268
peng_T9	Peng	myCAF	380	0.485312899106003
peng_T9	Peng	csCAF	157	0.200510855683269
peng_T9	Peng	iCAF	3	0.00383141762452107
peng_T9	Peng	Myocyte	56	0.0715197956577267
peng_T9	Peng	Schwann	1	0.00127713920817369
