gene	Origin	first_type	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNJ15	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCNJ15	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCNJ15	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	Normal Epithelial cells	9707	5163	53.1884207273102	0.922221077572886	1.73387565368972	1	1.73387565368972
KCNJ16	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	Hepatocytes	108	97	89.8148148148148	2.59259259259259	2.88659793814433	2	2.88659793814433
KCNJ16	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNJ16	Pancreas	myCAF	21770	94	0.43178686265503	0.00445567294441892	1.03191489361702	1	1.03191489361702
KCNJ16	Pancreas	Normal Epithelial cells	3002	167	5.56295802798135	0.0666222518321119	1.19760479041916	1	1.19760479041916
KCNJ16	Pancreas	Tumor Epithelial cells	8260	167	2.02179176755448	0.0209443099273608	1.03592814371257	1	1.03592814371257
KCNJ16	Pancreas	iCAF	1113	3	0.269541778975741	0.00269541778975741	1	1	1
KCNJ16	Pancreas	B cells	474	1	0.210970464135021	0.00210970464135021	1	1	1
KCNJ16	Pancreas	DCs	226	1	0.442477876106195	0.00442477876106195	1	1	1
KCNJ16	Pancreas	SPP1-TAM	196	0	0	0	NA	NA	0
