gene	Origin	cc_ischia_10	n_positive	n_spots	pct_detected
KCNK6	Normal Pancreas	CC3	2	36	5.55555555555556
KCNK6	Normal Pancreas	CC4	0	3	0
KCNK6	Normal Pancreas	CC5	0	0	0
KCNK6	Normal Pancreas	CC6	0	0	0
KCNK6	Normal Pancreas	CC7	0	21	0
KCNK6	Normal Pancreas	CC8	0	0	0
KCNK6	Normal Pancreas	CC9	0	0	0
KCNK6	Normal Pancreas	CC10	943	9707	9.71463892036675
KCNK6	Pancreas	CC1	923	8639	10.6841069568237
KCNK6	Pancreas	CC2	672	5063	13.2727631838831
KCNK6	Pancreas	CC3	608	3317	18.3298160988845
KCNK6	Pancreas	CC4	847	7976	10.6193580742227
KCNK6	Pancreas	CC5	849	7164	11.8509212730318
KCNK6	Pancreas	CC6	0	0	0
KCNK6	Pancreas	CC7	211	2572	8.20373250388803
KCNK6	Pancreas	CC8	0	0	0
KCNK6	Pancreas	CC9	43	726	5.9228650137741
KCNK6	Pancreas	CC10	0	1	0
KCNMA1	Normal Pancreas	CC1	0	0	0
KCNMA1	Normal Pancreas	CC2	14	53	26.4150943396226
KCNMA1	Normal Pancreas	CC3	10	36	27.7777777777778
KCNMA1	Normal Pancreas	CC4	1	3	33.3333333333333
KCNMA1	Normal Pancreas	CC5	0	0	0
KCNMA1	Normal Pancreas	CC6	0	0	0
KCNMA1	Normal Pancreas	CC7	2	21	9.52380952380952
KCNMA1	Normal Pancreas	CC8	0	0	0
KCNMA1	Normal Pancreas	CC9	0	0	0
KCNMA1	Normal Pancreas	CC10	1340	9707	13.8044710003091
KCNMA1	Pancreas	CC1	2122	8639	24.5630281282556
KCNMA1	Pancreas	CC2	473	5063	9.34228718151294
KCNMA1	Pancreas	CC3	278	3317	8.38106722942418
KCNMA1	Pancreas	CC4	981	7976	12.2993981945838
KCNMA1	Pancreas	CC5	1721	7164	24.0228922389726
KCNMA1	Pancreas	CC6	0	0	0
KCNMA1	Pancreas	CC7	524	2572	20.3732503888025
KCNMA1	Pancreas	CC8	0	0	0
KCNMA1	Pancreas	CC9	75	726	10.3305785123967
KCNMA1	Pancreas	CC10	0	1	0
KCNMB1	Normal Pancreas	CC1	0	0	0
KCNMB1	Normal Pancreas	CC2	1	53	1.88679245283019
KCNMB1	Normal Pancreas	CC3	0	36	0
KCNMB1	Normal Pancreas	CC4	0	3	0
KCNMB1	Normal Pancreas	CC5	0	0	0
KCNMB1	Normal Pancreas	CC6	0	0	0
KCNMB1	Normal Pancreas	CC7	0	21	0
KCNMB1	Normal Pancreas	CC8	0	0	0
KCNMB1	Normal Pancreas	CC9	0	0	0
KCNMB1	Normal Pancreas	CC10	91	9707	0.937467806737406
KCNMB1	Pancreas	CC1	807	8639	9.34135895358259
KCNMB1	Pancreas	CC2	234	5063	4.62176575153071
KCNMB1	Pancreas	CC3	107	3317	3.2258064516129
KCNMB1	Pancreas	CC4	413	7976	5.17803410230692
KCNMB1	Pancreas	CC5	759	7164	10.5946398659966
KCNMB1	Pancreas	CC6	0	0	0
