target_gene	gene	n_sections	mean_delta	median_delta
SIGMAR1	RTEL1	10	0.0246483128989072	0.0214044180213455
SIGMAR1	IFITM3	10	0.0246460423247166	0.0326178499788584
SIGMAR1	STBD1	10	0.0246376179471311	0.0255181545749281
SIGMAR1	NEGR1	10	0.0245386845352518	0.0156275659597556
SIGMAR1	NPC2	10	0.0244496556468829	0.0447513747080726
SIGMAR1	SH3YL1	10	0.0244399301955832	0.0128698306906935
SIGMAR1	GPR153	10	0.0244302438722538	0.00260245059583855
SIGMAR1	MST1R	10	0.0243204022709326	0.0175711298979112
SIGMAR1	NPNT	10	0.0242810811500372	0.0197154976187303
SIGMAR1	APP	10	0.0242542208045867	0.0162544357640967
SIGMAR1	GLIS2	10	0.0242176818671636	0.0221263893457012
SIGMAR1	RRM2B	10	0.0241664786891936	0.026561762147975
SIGMAR1	CAVIN1	10	0.0241580334693151	0.0420684920522276
SIGMAR1	PDIA4	10	0.0241441572729421	0.0262290388651802
SIGMAR1	COX4I1	10	0.024136502902665	0.0298523717052963
SIGMAR1	CST3	10	0.0241315966204288	0.00143921817990206
SIGMAR1	ERCC6	10	0.0240255187078011	0.0180250302576151
SIGMAR1	MTOR	10	0.0240152464737771	0.00156946983258256
SIGMAR1	SYT8	10	0.0240013744061865	-0.00839178911503535
SIGMAR1	MFHAS1	10	0.0239637221347026	0.0143723811584791
SIGMAR1	SF3B4	10	0.0239296074904766	0.0149551015679412
SIGMAR1	ARPC1B	10	0.023914750441702	0.0366722456374651
SIGMAR1	PIBF1	10	0.0239066265618254	-0.00243531388120931
SIGMAR1	SERINC1	10	0.0238173294303235	0.0311197101491982
SIGMAR1	LPCAT2	10	0.0238124828932809	0.041032731626603
SIGMAR1	ABHD2	10	0.0238079972392795	0.012531999787496
SIGMAR1	MOGS	10	0.0237718479316244	-0.0121591989263565
SIGMAR1	NSD2	10	0.0237218598215948	0.0186901938880936
SIGMAR1	SULT2B1	10	0.0237123876559937	0.0167984052585771
SIGMAR1	RAB21	10	0.0237053645481756	0.0146060053586753
SIGMAR1	DVL1	10	0.0237011683562574	0.0416181046101176
SIGMAR1	RENBP	10	0.0236157465606365	0.0232649767190242
SIGMAR1	ZDHHC1	10	0.0236152248953493	0.00623114425695062
SIGMAR1	TXNIP	10	0.0235938754019486	0.00939960698247622
SIGMAR1	ACADVL	10	0.0235873231591429	0.00734655316051464
SIGMAR1	CRISPLD2	10	0.0235542995321356	0.0215123757158733
SIGMAR1	NDUFA13	10	0.0235244441970794	0.0441762601851277
SIGMAR1	YIF1A	10	0.0234685802000172	0.00831084680154948
SIGMAR1	STK17B	10	0.0234133078642133	0.0240504931949167
SIGMAR1	CDKN1B	10	0.0232611498024677	0.0155830491141179
SIGMAR1	PIK3C2B	10	0.0232550876195519	-0.00764661537981754
SIGMAR1	FANCG	10	0.0232428272053048	0.0199241833739999
SIGMAR1	TUT7	10	0.023240804429804	0.0526587363539571
SIGMAR1	CIR1	10	0.0232217805645567	0.0212094231515766
SIGMAR1	GLUL	10	0.0231391768757835	-0.00115881362199444
SIGMAR1	REV1	10	0.023135589280023	0.0101140446534703
SIGMAR1	ISG15	10	0.0230006348208739	0.00865645535814114
SIGMAR1	CXCL5	10	0.0229914447025682	0.00471106563684128
SIGMAR1	HNRNPUL1	10	0.0229307400610818	-0.00096648115432324
SIGMAR1	PRSS45P	10	0.0228289581299523	0.00138836372604567
SIGMAR1	FOXM1	10	0.02282588308655	0.019616230672039
SIGMAR1	DLST	10	0.0228180371911772	0.0209665716031606
SIGMAR1	KCTD1	10	0.0227094864772921	0.0263352478634041
SIGMAR1	CALR	10	0.0225619497455923	-0.0274991753646505
SIGMAR1	FOXK1	10	0.0225104097450746	0.0111820930272609
SIGMAR1	EML2	10	0.0224651958665884	0.0263582742966784
SIGMAR1	SLMAP	10	0.022464744226335	0.00314238394157827
SIGMAR1	CNTLN	10	0.0223870043791875	0.00328907047897858
SIGMAR1	CTSC	10	0.0223691906326985	0.0454941290528369
SIGMAR1	MOV10	10	0.0223297602767274	0.0257371589978935
SIGMAR1	LYZ	10	0.0222864828100476	0.0147444985934225
SIGMAR1	BANP	10	0.0222799461800409	0.0192946841103479
SIGMAR1	MAT2A	10	0.022173010868802	0.0315940903871013
SIGMAR1	DCAF1	10	0.0221612985663233	0.0151588291641415
SIGMAR1	DENND4B	10	0.0221437352951095	0.0374248579769229
SIGMAR1	TAPBPL	10	0.0221057815870251	0.0120428408389373
SIGMAR1	PMS2	10	0.0220981301674072	0.0170385817386891
SIGMAR1	CD163	10	0.0219612811533265	0.0253606369659224
SIGMAR1	RALGDS	10	0.0219608588739523	0.0185431539980187
SIGMAR1	TRAF3	10	0.0219606452681447	0.0233868309262498
SIGMAR1	USH1C	10	0.0219196824217547	-0.000650229184496407
SIGMAR1	TPM2	10	0.021916825409099	0.0638047370598507
SIGMAR1	LPCAT1	10	0.0219000612699992	0.00283228593717569
SIGMAR1	MPST	10	0.0218857354022939	0.034256256867473
SIGMAR1	TUBD1	10	0.021832972990101	0.0239114651616344
SIGMAR1	PLEKHJ1	10	0.0217969875238743	-0.00385650767646292
SIGMAR1	MVP	10	0.021729240188888	0.0179465837362008
SIGMAR1	ABHD14B	10	0.0217267270158328	0.000442463242340985
SIGMAR1	XRCC1	10	0.0217185875302093	0.00881586481764758
SIGMAR1	NUB1	10	0.0215676977690123	0.00900091309176519
SIGMAR1	COL14A1	10	0.0215442758682064	0.00604282543685251
SIGMAR1	LY6D	10	0.021526616035823	0.00531547404732106
SIGMAR1	ARPC2	10	0.0215146232052414	0.0194619286276101
SIGMAR1	HOXB2	10	0.0214859540314664	0.0107741520749886
SIGMAR1	BCOR	10	0.0214242876027965	0.0112649528817796
SIGMAR1	TCEAL4	10	0.0214175706600226	0.0231626569449718
SIGMAR1	NECAB3	10	0.0214172613781304	0.0342618419988605
SIGMAR1	FABP5	10	0.0214153744759289	0.00464140609467708
SIGMAR1	CHCHD4	10	0.0214015125009463	0.0152861808061677
SIGMAR1	EIF4A1	10	0.0213755834145724	0.00205752827590988
SIGMAR1	RNF115	10	0.0213291979391733	0.00281051705634473
SIGMAR1	UBR3	10	0.0213212981215218	0.0181771596158291
SIGMAR1	CLN3	10	0.0213197723703352	0.00163122371093337
SIGMAR1	ARF3	10	0.0213048989285613	0.0312561144352628
SIGMAR1	GNB1	10	0.0212504674033406	0.0158374482140027
SIGMAR1	TMEM134	10	0.0212502920393642	0.0138082765228857
SIGMAR1	SURF4	10	0.021248327107338	0.0253787909492149
SIGMAR1	SLC30A7	10	0.0212461683504369	0.0240393603935684
SIGMAR1	MARVELD2	10	0.0211949122679315	0.0157724754862574
SIGMAR1	ZNF354A	10	0.0211835282608199	0.0125828547230367
SIGMAR1	SMARCAL1	10	0.021159286958138	0.0210693799734343
SIGMAR1	EMC9	10	0.0211295279369191	0.00356536638258369
SIGMAR1	SLC7A2	10	0.021108008886673	0.00692905180151332
SIGMAR1	ADIRF	10	0.021084801341004	0.00908811873209298
SIGMAR1	RALGPS2	10	0.0210763516716511	0.011112719574978
SIGMAR1	SYS1	10	0.0210748291308604	0.0117468287691221
SIGMAR1	PQBP1	10	0.0210483664061165	-0.0115550373799304
SIGMAR1	PIGN	10	0.021012784888664	0.0177857725886529
SIGMAR1	UNC45A	10	0.0209823509751946	0.0175848323726082
SIGMAR1	RBM39	10	0.0209821731146298	0.019774224070264
SIGMAR1	EEF1AKMT1	10	0.0209819016635744	0.0116674576448378
SIGMAR1	JKAMP	10	0.0209738082676999	0.0165012535192653
SIGMAR1	EMILIN2	10	0.0209650801047643	0.0173650489358521
SIGMAR1	PLCB3	10	0.0209472349745857	0.0165306529578012
SIGMAR1	ADSL	10	0.0209285076462039	0.0092419686643874
SIGMAR1	MAPK1	10	0.0208862967349999	0.0343179406942084
SIGMAR1	SHFL	10	0.0208841031857917	0.0277145404256474
SIGMAR1	MCL1	10	0.0208740708140242	0.00225891679299811
SIGMAR1	LRRC8A	10	0.0208268023402826	0.0206460981475686
SIGMAR1	SERPINB5	10	0.0208266346284275	0.0444935340687786
SIGMAR1	CRELD2	10	0.02082517041859	-0.00471797744554461
SIGMAR1	TSR3	10	0.0207656557091883	0.00190759696083418
SIGMAR1	CAPZA2	10	0.0207441914716139	0.01597896709226
SIGMAR1	ATXN7L3B	10	0.0207239492646972	0.0430992623653283
SIGMAR1	STXBP6	10	0.0207211297652855	0.011964171702021
SIGMAR1	ADAM23	10	0.0207022474749665	0.0143951629612511
SIGMAR1	HCAR1	10	0.0206832313750082	0.00136194782347024
SIGMAR1	ELOVL1	10	0.0206438081013298	0.0341418481393681
SIGMAR1	NUS1	10	0.0206223648656353	0.0206694824964224
SIGMAR1	TAF12	10	0.0205996056793983	0.0189623162907538
SIGMAR1	MYH9	10	0.0205978195488231	0.0171056549643759
SIGMAR1	GTF3C5	10	0.0205763948678153	0.0138198919124865
SIGMAR1	C7	10	0.0205763307093691	0.0015067341755923
SIGMAR1	CCDC174	10	0.020569997554115	0.0322290289859267
SIGMAR1	ARID1B	10	0.0205528149555317	0.0186840409276935
SIGMAR1	POLD2	10	0.0205328207587902	0.0507854179197926
SIGMAR1	DOCK6	10	0.0205287450288346	0.0188354802125278
SIGMAR1	CDK1	10	0.0204916564213435	0.00163514571047251
SIGMAR1	RERG	10	0.020470151578574	0.0149106217475675
SIGMAR1	COPS7A	10	0.0204335233783191	0.0136199616945441
