target_gene	orig.ident	n_spots	n_positive	n_high	min_expression_in_high	mean_expression_in_high	mean_expression_in_rest	used_for_gsea
KCNMA1	IU_PDA_T6	3397	320	32	1.09861228866811	1.16649914920996	0.0601677990365591	TRUE
KCNMA1	IU_PDA_T8	3779	208	21	1.09861228866811	1.12601058128257	0.0349229332616132	TRUE
KCNMA1	IU_PDA_T9	3526	904	91	1.09861228866811	1.21146314662293	0.176567091486085	TRUE
KCNMB1	IU_PDA_T1	3530	91	20	0.693147180559945	0.941694271207735	0.0140209258745744	TRUE
KCNMB1	IU_PDA_T10	2714	39	20	0.693147180559945	0.713420435965354	0.00488856586141016	TRUE
KCNMB1	IU_PDA_T11	2777	462	47	1.09861228866811	1.28561371853471	0.116210634734166	TRUE
KCNMB1	IU_PDA_T12	3642	718	72	1.09861228866811	1.18456554623818	0.129515356451994	TRUE
KCNMB1	IU_PDA_T2	4118	72	20	0.693147180559945	0.75396694677617	0.00879542542438193	TRUE
KCNMB1	IU_PDA_T3	4354	292	30	0.693147180559945	1.11171370827176	0.0419992047425314	TRUE
KCNMB1	IU_PDA_T4	3621	133	20	0.693147180559945	1.00574096348084	0.0217510778681682	TRUE
KCNMB1	IU_PDA_T6	3397	157	20	1.09861228866811	1.15292177710159	0.028119977416853	TRUE
KCNMB1	IU_PDA_T8	3779	96	20	0.693147180559945	1.01751926704648	0.0140141489019835	TRUE
KCNMB1	IU_PDA_T9	3526	305	31	1.09861228866811	1.12645248922796	0.0546891910723175	TRUE
KCNMB4	IU_PDA_T1	3530	105	20	0.693147180559945	0.855333223803211	0.0167856154836454	TRUE
KCNMB4	IU_PDA_T10	2714	24	0	NA	NA	0.00627892315458616	FALSE
KCNMB4	IU_PDA_T11	2777	172	20	0.693147180559945	1.09148088488543	0.0382148608796198	TRUE
KCNMB4	IU_PDA_T12	3642	547	55	1.09861228866811	1.16020585863691	0.0966559588371919	TRUE
KCNMB4	IU_PDA_T2	4118	176	20	0.693147180559945	0.916152990019436	0.0263862762731458	TRUE
KCNMB4	IU_PDA_T3	4354	424	43	1.09861228866811	1.13480283280567	0.0619177294247498	TRUE
KCNMB4	IU_PDA_T4	3621	179	20	0.693147180559945	1.03779252245189	0.0306054989472456	TRUE
KCNMB4	IU_PDA_T6	3397	146	20	0.693147180559945	1.06593960369714	0.0258621690111203	TRUE
KCNMB4	IU_PDA_T8	3779	55	20	0.693147180559945	0.814786712992395	0.00645388436275554	TRUE
KCNMB4	IU_PDA_T9	3526	163	20	0.693147180559945	0.8697173274258	0.0282715478665351	TRUE
KCNN3	IU_PDA_T1	3530	33	20	0.693147180559945	0.814786712992395	0.00256721177985165	TRUE
KCNN3	IU_PDA_T10	2714	44	20	0.693147180559945	0.774240202181578	0.00617503056178125	TRUE
KCNN3	IU_PDA_T11	2777	79	20	0.693147180559945	0.75396694677617	0.0148333999466945	TRUE
KCNN3	IU_PDA_T12	3642	258	26	0.693147180559945	1.03170292451084	0.0444718323810584	TRUE
KCNN3	IU_PDA_T2	4118	51	20	0.693147180559945	0.713420435965354	0.00524342669530461	TRUE
KCNN3	IU_PDA_T3	4354	90	20	0.693147180559945	0.849444072020392	0.0111952705674195	TRUE
KCNN3	IU_PDA_T4	3621	31	20	0.693147180559945	0.733693691370762	0.00211736156238806	TRUE
KCNN3	IU_PDA_T6	3397	109	20	0.693147180559945	0.788624305804167	0.0182677225554738	TRUE
KCNN3	IU_PDA_T8	3779	46	20	0.693147180559945	0.733693691370762	0.00479431409804697	TRUE
KCNN3	IU_PDA_T9	3526	112	20	0.693147180559945	0.829170816614984	0.0181886881379107	TRUE
KCNN4	IU_PDA_T1	3530	97	20	0.693147180559945	0.814786712992395	0.0152057928498905	TRUE
KCNN4	IU_PDA_T10	2714	130	20	0.693147180559945	0.8697173274258	0.0283022234081641	TRUE
KCNN4	IU_PDA_T11	2777	250	25	1.09861228866811	1.17236730748279	0.0566708268989781	TRUE
KCNN4	IU_PDA_T12	3642	742	75	1.09861228866811	1.22120605282595	0.136546829556513	TRUE
KCNN4	IU_PDA_T2	4118	618	62	1.09861228866811	1.12645248922796	0.0966166849410898	TRUE
KCNN4	IU_PDA_T3	4354	322	33	0.693147180559945	1.01775299412381	0.046359531400561	TRUE
KCNN4	IU_PDA_T4	3621	388	39	1.09861228866811	1.12646330837759	0.0688927826110326	TRUE
KCNN4	IU_PDA_T6	3397	430	43	1.09861228866811	1.15487367506975	0.0814292010059621	TRUE
KCNN4	IU_PDA_T8	3779	588	59	1.09861228866811	1.11811615798687	0.100530438296279	TRUE
KCNN4	IU_PDA_T9	3526	245	25	0.693147180559945	1.00130066272215	0.0435568065476115	TRUE
KCNQ4	IU_PDA_T1	3530	23	0	NA	NA	0.00486084432781961	FALSE
KCNQ4	IU_PDA_T10	2714	14	0	NA	NA	0.00387435178483993	FALSE
KCNQ4	IU_PDA_T11	2777	50	20	0.693147180559945	0.713420435965354	0.00754240675255653	TRUE
KCNQ4	IU_PDA_T12	3642	176	20	0.693147180559945	0.950810349047433	0.029853937097557	TRUE
KCNQ4	IU_PDA_T2	4118	44	20	0.693147180559945	0.713420435965354	0.00405942711894551	TRUE
KCNQ4	IU_PDA_T3	4354	72	20	0.693147180559945	0.774240202181578	0.00831648670722592	TRUE
KCNQ4	IU_PDA_T4	3621	180	20	1.09861228866811	1.09861228866811	0.0311357801204987	TRUE
KCNQ4	IU_PDA_T6	3397	123	20	0.693147180559945	0.950810349047433	0.0211412968900427	TRUE
KCNQ4	IU_PDA_T8	3779	62	20	0.693147180559945	0.75396694677617	0.00774466123530665	TRUE
KCNQ4	IU_PDA_T9	3526	30	20	0.693147180559945	0.727804539587943	0.00197703131933812	TRUE
KCNS3	IU_PDA_T1	3530	297	30	1.09861228866811	1.12738049591329	0.0531089221216348	TRUE
KCNS3	IU_PDA_T10	2714	112	20	0.693147180559945	0.794513457586986	0.0236709504868281	TRUE
KCNS3	IU_PDA_T11	2777	324	33	1.09861228866811	1.16639768437952	0.0764632404173132	TRUE
KCNS3	IU_PDA_T12	3642	970	97	1.09861228866811	1.22427348528679	0.184421241636618	TRUE
KCNS3	IU_PDA_T2	4118	419	42	0.693147180559945	1.09019921469265	0.0641110125297103	TRUE
KCNS3	IU_PDA_T3	4354	542	55	1.09861228866811	1.1235917766885	0.0786155250153062	TRUE
KCNS3	IU_PDA_T4	3621	506	51	1.09861228866811	1.12117558846825	0.0924310114976664	TRUE
KCNS3	IU_PDA_T6	3397	452	46	1.09861228866811	1.13869653802392	0.0844642243329664	TRUE
KCNS3	IU_PDA_T8	3779	151	20	0.693147180559945	0.956699500830252	0.0241559671863136	TRUE
KCNS3	IU_PDA_T9	3526	331	34	0.693147180559945	1.00320873381913	0.0589532395837067	TRUE
KCNT2	IU_PDA_T1	3530	10	0	NA	NA	0.00207845238348658	FALSE
KCNT2	IU_PDA_T10	2714	7	0	NA	NA	0.00178777828442138	FALSE
KCNT2	IU_PDA_T11	2777	20	0	NA	NA	0.00557609076112048	FALSE
KCNT2	IU_PDA_T12	3642	57	20	0.693147180559945	0.733693691370762	0.00708074149108724	TRUE
KCNT2	IU_PDA_T2	4118	19	0	NA	NA	0.00319810500986862	FALSE
KCNT2	IU_PDA_T3	4354	17	0	NA	NA	0.00279948717906	FALSE
KCNT2	IU_PDA_T4	3621	27	0	NA	NA	0.00550438254610412	FALSE
KCNT2	IU_PDA_T6	3397	23	0	NA	NA	0.00517051680462508	FALSE
KCNT2	IU_PDA_T8	3779	17	0	NA	NA	0.0031181534981527	FALSE
KCNT2	IU_PDA_T9	3526	62	20	0.693147180559945	0.75396694677617	0.00830353154122011	TRUE
