target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNK3	REG1A	6	2	4	0.35092234291464	-0.0037506552583262	1	1
KCNK3	PEG10	6	5	1	0.342685319999974	0.0444574342345391	0.142213241936393	0.642094259529582
KCNK3	FAM166B	6	5	1	0.340741138454235	0.0255981242221271	0.0591720678258594	0.517970845604588
KCNK3	GRAMD1B	6	5	1	0.332395336967836	0.0407972658580421	0.0591720678258594	0.517970845604588
KCNK3	RHOB	6	4	2	0.331256795542977	0.144826265557072	0.29450739368011	0.74764507545414
KCNK3	MT2A	6	3	3	0.319339598568052	-0.0226020074419345	1	1
KCNK3	DHCR24	6	3	3	0.309144710265417	-0.000805532674443218	0.833935414088552	1
KCNK3	PEBP1	6	3	3	0.305216503525628	0.00361662881052667	0.674986713970489	0.939584952679259
KCNK3	CHGB	6	4	2	0.303914940941078	0.0875866463074495	0.142213241936393	0.642094259529582
KCNK3	MOB4	6	5	1	0.299708188156122	0.118996914493715	0.0934924836898357	0.605560535379151
KCNK3	CEL	6	2	4	0.285830658906378	-0.0115262889388364	1	1
KCNK3	LDLR	6	5	1	0.285818800732572	0.0772953154331039	0.142213241936393	0.642094259529582
KCNK3	RASD1	6	5	1	0.278384354142646	0.086748623967467	0.0591720678258594	0.517970845604588
KCNK3	SLC30A8	6	3	1	0.274927321682553	0.00973406597020003	0.201242620957724	0.698016850273307
KCNK6	KCNK6	10	10	0	0.997043060475754	0.990166448877861	0.00592153702414871	0.281295417124286
KCNK6	ARGLU1	10	9	1	0.0863477382922202	0.0446650774570356	0.0323129112432441	0.349796248294835
KCNK6	SERPINE1	10	8	2	0.0798314732374783	0.0544546766765089	0.102917539402853	0.401977856422391
KCNK6	KRT18	10	7	3	0.0761904107176627	0.0749183035705152	0.126278928554698	0.435065710150457
KCNK6	DES	10	5	4	0.0753387352409267	0.00509664705558938	0.286320596793059	0.630758382058469
KCNK6	CLIC1	10	8	2	0.0739127726679098	0.0992230863575057	0.185143724157873	0.491936459725383
KCNK6	SPINT2	10	7	3	0.0668979063396272	0.0909952915854749	0.126278928554698	0.435065710150457
KCNK6	DDIT4	10	8	2	0.0653222357158756	0.0724802104225213	0.0831311427008039	0.392172846239749
KCNK6	VPS13A	10	9	1	0.0607772304244228	0.0712470509912598	0.0323129112432441	0.349796248294835
KCNK6	LCN2	10	7	3	0.0588314602808544	0.0504789078902187	0.126278928554698	0.435065710150457
KCNK6	GTPBP1	10	8	2	0.0586208076199216	0.0483911379614922	0.0249324556028631	0.315750968134088
KCNK6	S100A10	10	6	4	0.0581784986448721	0.114294184241639	0.153576396549984	0.478954756311086
KCNK6	TPM2	10	7	3	0.0564455885049774	0.0639220182039945	0.185143724157873	0.491936459725383
KCNK6	CD9	10	9	1	0.0518587297418057	0.0483916994768425	0.0665457213437161	0.388616354673914
KCNK6	ZFP36	10	6	4	0.0516976528865791	0.0329322781694749	0.185143724157873	0.491936459725383
KCNK6	SEMA3B	10	10	0	0.0516066558231243	0.0499439989859034	0.00592153702414871	0.281295417124286
KCNK6	DDX5	10	8	2	0.0508636898799403	0.061777762046106	0.0831311427008039	0.392172846239749
KCNK6	DLD	10	9	1	0.0504851793149587	0.0501721309598265	0.0190588916017305	0.315750968134088
KCNK6	FXYD3	10	8	2	0.048170387325725	0.0114761180327966	0.126278928554698	0.435065710150457
KCNK6	CCNL1	10	8	2	0.0480979455682488	0.0318031955497189	0.153576396549984	0.478954756311086
KCNK6	FBXO32	10	7	3	0.04785493230084	0.0284669285335445	0.22127181567247	0.542851039795285
KCNK6	DENR	10	8	2	0.047822128288821	0.0326145268753866	0.0249324556028631	0.315750968134088
KCNK6	LMNA	10	6	4	0.0476742914727149	0.0440475428640593	0.185143724157873	0.491936459725383
KCNK6	NUCKS1	10	6	4	0.047395434564072	0.0316857304705424	0.308063229907199	0.630758382058469
KCNK6	LAMB3	10	7	3	0.0456783044964561	0.0413639070405587	0.308063229907199	0.630758382058469
KCNK6	PSCA	10	5	5	0.0446932399903061	0.00222545826876398	0.918812683274642	1
KCNK6	LAMA5	10	5	5	0.0431273875780979	0.0186808429603101	0.358951435852626	0.672695614022398
KCNK6	GOLPH3	10	7	3	0.0429668214089576	0.0402005977470428	0.0323129112432441	0.349796248294835
KCNK6	CLDN7	10	5	5	0.0428643199210927	0.0330460352901102	0.22127181567247	0.542851039795285
KCNK6	S100A6	10	7	3	0.0420620101164941	0.0766044175226375	0.22127181567247	0.542851039795285
KCNMA1	KCNMA1	10	10	0	1.07675170176984	1.08099518679672	0.00592153702414871	0.172307833954713
KCNMA1	TAGLN	10	9	1	0.208251281390103	0.187916845503973	0.00804523748656169	0.172307833954713
KCNMA1	ACTA2	10	7	3	0.188509609794646	0.188429991476766	0.0323129112432441	0.229801126606769
KCNMA1	MYL9	10	7	3	0.179021145110935	0.209203494481571	0.0414910873877316	0.246998983489822
KCNMA1	THBS1	10	9	1	0.171114767209175	0.0792938170723993	0.0190588916017305	0.197963632530259
KCNMA1	GREM1	10	7	3	0.161869497745424	0.145843930469533	0.0414910873877316	0.246998983489822
KCNMA1	NR4A1	10	8	2	0.159244344776434	0.0470848536375366	0.0323129112432441	0.229801126606769
KCNMA1	CCN2	10	6	4	0.15099463313033	0.108619370886204	0.126278928554698	0.364467976181451
KCNMA1	CCN1	10	8	2	0.14954948491163	0.111551637986686	0.0665457213437161	0.288716711690064
KCNMA1	DES	10	7	2	0.148846447021247	0.0216926727593499	0.0243902414330541	0.205349570805322
KCNMA1	ACTG2	10	5	5	0.146815369371859	0.0227735390990608	0.22127181567247	0.477462620872835
KCNMA1	FLNA	10	6	4	0.132781506366161	0.156748543825309	0.0831311427008039	0.307148249852115
KCNMA1	MXRA7	10	9	1	0.130027953736205	0.114294226806935	0.0108269212771313	0.172307833954713
KCNMA1	TPM2	10	8	2	0.1294942707573	0.108111008757453	0.0414910873877316	0.246998983489822
KCNMA1	AEBP1	10	7	3	0.122898191915994	0.0208401709263154	0.262192602406773	0.527641132266683
KCNMA1	MYLK	10	8	2	0.116385810983834	0.0824940838276265	0.0665457213437161	0.288716711690064
KCNMA1	MT2A	10	8	2	0.109771289391031	0.101139611347001	0.0665457213437161	0.288716711690064
KCNMA1	INS	10	5	4	0.103989662987171	0.00354315992396261	0.286320596793059	0.569258557886189
KCNMA1	SPARC	10	6	4	0.100412793424976	0.0978206093412851	0.185143724157873	0.431131647180827
KCNMA1	COL6A3	10	7	3	0.0979816378626813	0.0326700343538286	0.126278928554698	0.364467976181451
KCNMA1	MMP2	10	5	5	0.0965910833234285	-0.00855467560932927	0.838463781922464	0.963039316918687
KCNMA1	CNN1	10	8	2	0.0937638252895425	0.077260558770649	0.0665457213437161	0.288716711690064
KCNMA1	DUSP1	10	6	4	0.0924433141572609	0.0194597518428993	0.262192602406773	0.527641132266683
KCNMA1	C11orf96	10	7	3	0.0912654095872343	0.0729347611374884	0.0414910873877316	0.246998983489822
KCNMA1	COL1A1	10	5	5	0.0906055075057663	0.0748349492001186	0.358951435852626	0.625228740218161
KCNMA1	CCDC80	10	8	2	0.0898120810128581	0.0782064318036972	0.0190588916017305	0.197963632530259
KCNMA1	CPE	10	8	2	0.0875877739071355	0.0757834878388766	0.0831311427008039	0.307148249852115
KCNMA1	FN1	10	5	5	0.0871913428191759	-0.00992417217961572	0.610298655976554	0.801669699557314
KCNMA1	SYNPO2	10	6	4	0.086455109716385	0.0421664849059168	0.185143724157873	0.431131647180827
KCNMA1	COL3A1	10	5	5	0.0857866441929116	0.0392637588377633	0.414823067184775	0.649394751508759
KCNMB1	KCNMB1	10	10	0	0.985960461550239	1.02927765396534	0.00592153702414871	0.26431164735822
KCNMB1	TAGLN	10	9	1	0.318073745685971	0.284860467057029	0.00804523748656169	0.26431164735822
KCNMB1	MYL9	10	9	1	0.309442790636069	0.228518388221355	0.00804523748656169	0.26431164735822
KCNMB1	ACTA2	10	10	0	0.285804289607058	0.235613345736296	0.00592153702414871	0.26431164735822
KCNMB1	FLNA	10	10	0	0.261853449128646	0.269607802028958	0.00592153702414871	0.26431164735822
KCNMB1	DES	10	8	1	0.254521084493243	0.0780545436816704	0.0128512401874965	0.265061159053105
KCNMB1	ACTG2	10	7	3	0.254221794936094	0.126252236693572	0.0414910873877316	0.360206850922658
KCNMB1	TPM2	10	9	1	0.238657769585371	0.147645941519757	0.00804523748656169	0.26431164735822
KCNMB1	IGFBP4	10	10	0	0.199244714401177	0.173548076376889	0.00592153702414871	0.26431164735822
KCNMB1	CALD1	10	10	0	0.193304995056635	0.202123701301625	0.00592153702414871	0.26431164735822
KCNMB1	MYLK	10	9	1	0.185625601778293	0.175731406200928	0.0144328239388418	0.265061159053105
KCNMB1	NR4A1	10	8	2	0.169310101827328	0.11392550957167	0.0249324556028631	0.311691312829507
KCNMB1	C11orf96	10	10	0	0.166442592185519	0.110874196716979	0.00592153702414871	0.26431164735822
KCNMB1	MCAM	10	7	3	0.162392351397567	0.137448828243472	0.0323129112432441	0.352896794735044
KCNMB1	GREM1	10	7	3	0.154215059377207	0.134076782643346	0.0665457213437161	0.39995989524647
KCNMB1	SYNPO2	10	9	1	0.154092784219753	0.102924855566318	0.0108269212771313	0.265061159053105
KCNMB1	SORBS1	10	9	1	0.152665184725261	0.0906479516147566	0.0249324556028631	0.311691312829507
KCNMB1	A2M	10	7	3	0.14994928558523	0.111602090516124	0.0527870006322246	0.39995989524647
KCNMB1	ADAMTS1	10	7	3	0.146216887274058	0.0955462029575421	0.0323129112432441	0.352896794735044
KCNMB1	SOD3	10	7	3	0.144098770031308	0.136321536133797	0.0414910873877316	0.360206850922658
KCNMB1	SPARCL1	10	8	2	0.142648401789856	0.149763238343015	0.0414910873877316	0.360206850922658
KCNMB1	CNN1	10	9	1	0.142081715613264	0.103317950707275	0.0108269212771313	0.265061159053105
KCNMB1	SERPINE1	10	8	2	0.139370150574307	0.139911856457972	0.0831311427008039	0.407894942402431
KCNMB1	HSPB6	10	8	2	0.137478171202743	0.124617211635131	0.0527870006322246	0.39995989524647
KCNMB1	HSPB1	10	9	1	0.137257045015135	0.141638650956051	0.0108269212771313	0.265061159053105
KCNMB1	TPM1	10	9	1	0.134401421670325	0.124357453880517	0.0144328239388418	0.265061159053105
KCNMB1	CLU	10	6	4	0.12935876062368	0.219000671416864	0.102917539402853	0.422633217885672
KCNMB1	TNC	10	8	2	0.128040953241357	0.0420147329256442	0.0665457213437161	0.39995989524647
KCNMB1	LMOD1	10	6	4	0.127948828339706	0.0359232976310962	0.185143724157873	0.522137521787157
KCNMB1	CD81	10	8	2	0.12495700405077	0.127389468503573	0.0414910873877316	0.360206850922658
KCNMB4	KCNMB4	9	9	0	0.957228712847985	1.00718702350464	0.00915168885265007	0.242885991876191
KCNMB4	DCN	9	7	2	0.0971795031665235	0.11700346908321	0.0755605675259413	0.395472802882484
KCNMB4	TPM2	9	6	3	0.0967280058088483	0.0696584244447296	0.0972010883062347	0.417767604563038
KCNMB4	MT2A	9	6	3	0.0962337644546921	0.145091291177777	0.123534253752569	0.419580149267897
KCNMB4	DES	9	4	4	0.0947758356654298	0	0.362726506485098	0.684031190456688
KCNMB4	THBS4	9	5	4	0.0860304357962207	0.0295404890066749	0.343252562436031	0.665294169186646
KCNMB4	PCBP1	9	7	2	0.0763730785232304	0.090911128389084	0.0972010883062347	0.417767604563038
KCNMB4	MYLK	9	8	1	0.0756295317518949	0.0637512973338842	0.0329693812442201	0.307923130952892
KCNMB4	ARF1	9	5	4	0.0751136020195591	0.0521369562017874	0.155131568727114	0.471046619684586
KCNMB4	CHCHD2	9	7	2	0.0720504104436945	0.114620000842023	0.0755605675259413	0.395472802882484
KCNMB4	CD81	9	8	1	0.0706874235496461	0.0571679145249413	0.0178171887595787	0.266526869803544
KCNMB4	GABARAP	9	7	2	0.0704657888221397	0.0465584078450989	0.0440109840129515	0.328197802383756
KCNMB4	MARVELD1	9	7	2	0.0681477874986842	0.046678293719612	0.192517572436471	0.484184876100463
KCNMB4	EIF3G	9	7	2	0.0680452056050717	0.0801016484123237	0.0329693812442201	0.307923130952892
KCNMB4	IGLC1	9	6	3	0.0673699000298157	0.0832197959287576	0.155131568727114	0.471046619684586
KCNMB4	COL4A2	9	7	2	0.0673629706120785	0.0591466008517998	0.0972010883062347	0.417767604563038
