gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
CDC20B	10	1	5	-0.000315838703808866	-0.000655283554748432	0.401678166469773	0.801438715296161
GABRA1	10	0	3	-0.000315884080008655	0	0.18144920772142	0.639760209321045
CSRP3	10	0	2	-0.000316190690444597	0	0.371093369522698	0.801438715296161
TEX13A	10	0	2	-0.00031645248068945	0	0.371093369522698	0.801438715296161
NOX3	10	0	1	-0.000316977880626	0	1	1
XPO7	10	4	6	-0.000317238456361884	-0.00580312816833862	0.838463781922464	1
UMODL1	10	0	2	-0.000317601328788764	0	0.371093369522698	0.801438715296161
FOXL2NB	10	0	2	-0.000317984973787845	0	0.371093369522698	0.801438715296161
TPRG1L	10	4	6	-0.000318207945077752	-0.00741752393482316	0.759765825978067	0.972318037896177
TRBV6-4	10	0	2	-0.00031828644892972	0	0.371093369522698	0.801438715296161
DNAH14	10	4	6	-0.00031848641619458	-0.0119587637538345	0.918812683274642	1
IGKV6D-41	10	0	2	-0.000318821574227583	0	0.371093369522698	0.801438715296161
DEFB129	10	0	2	-0.000319561166182648	0	0.371093369522698	0.801438715296161
DIRAS2	10	1	8	-0.000319808995922906	-0.00134804451297778	0.123534253752569	0.5991146130562
TAS2R39	10	0	2	-0.000319848251219561	0	0.371093369522698	0.801438715296161
TMEM211	10	0	2	-0.000320494072608723	0	0.371093369522698	0.801438715296161
CYB561A3	10	4	6	-0.000321156822506292	-0.00555425106602123	0.918812683274642	1
MAJIN	10	1	6	-0.000321554175322627	-0.0011431042077776	0.271898710819648	0.759459182375596
GDF5OS	10	0	3	-0.000321636679681856	0	0.18144920772142	0.639760209321045
PCDHB6	10	2	7	-0.000322019229105123	-0.00337821637518427	0.406941216918031	0.801438715296161
LINC02693	10	3	7	-0.000322425098581989	-0.00424599224659996	0.683480902201426	0.943844307269161
MAGEB17	10	0	3	-0.00032243153677621	0	0.18144920772142	0.639760209321045
OR12D2	10	0	3	-0.00032243153677621	0	0.18144920772142	0.639760209321045
AAR2	10	4	6	-0.000322829630834303	-0.00285390079687954	1	1
SOHLH1	10	0	2	-0.000323437520404392	0	0.371093369522698	0.801438715296161
TGFBR3L	10	0	2	-0.000323439600746452	0	0.371093369522698	0.801438715296161
CREG2	10	3	7	-0.000323743224712756	-0.00195240904230952	0.540817904242618	0.885858208708872
C9orf57	10	0	2	-0.000324083341793554	0	0.371093369522698	0.801438715296161
OR56A3	10	0	2	-0.000324083341793554	0	0.371093369522698	0.801438715296161
PRDM13	10	0	3	-0.000324249725041872	0	0.18144920772142	0.639760209321045
FAM47C	10	0	3	-0.000324464832504668	0	0.18144920772142	0.639760209321045
MKRN3	10	0	2	-0.00032484691031167	0	0.371093369522698	0.801438715296161
UNC13C	10	1	5	-0.000324931835158218	-0.000427235688214956	0.401678166469773	0.801438715296161
FAM71F2	10	3	7	-0.000325142963390879	-0.00569574203400909	0.22127181567247	0.690320734028443
OR4C11	10	0	2	-0.000325279788119204	0	0.371093369522698	0.801438715296161
TEDDM1	10	0	2	-0.000325422222205591	0	0.371093369522698	0.801438715296161
OR2G3	10	0	2	-0.000325582806036705	0	0.371093369522698	0.801438715296161
DACH2	10	1	5	-0.000326126128795188	-0.000427235688214956	0.401678166469773	0.801438715296161
OR7A17	10	0	3	-0.000326865341623791	0	0.18144920772142	0.639760209321045
SPINT4	10	0	3	-0.000326865341623791	0	0.18144920772142	0.639760209321045
CENPJ	10	6	4	-0.000327476599960773	0.00675419353730703	0.918812683274642	1
KDM1B	10	5	5	-0.000327681533319396	0.00255935724573983	0.918812683274642	1
SDHAF1	10	0	2	-0.000327962430812647	0	0.371093369522698	0.801438715296161
OR1L1	10	0	2	-0.000328541482123802	0	0.371093369522698	0.801438715296161
ARL13A	10	0	3	-0.000328783328682458	0	0.18144920772142	0.639760209321045
OR5T3	10	0	1	-0.000328964323548829	0	1	1
MESP2	10	1	6	-0.000329306159137245	-0.00127169767911863	0.271898710819648	0.759459182375596
AC132217.2	10	0	2	-0.000329510788694929	0	0.371093369522698	0.801438715296161
OR2H1	10	0	2	-0.000329718703266836	0	0.371093369522698	0.801438715296161
MYH8	10	0	2	-0.000330014729861855	0	0.371093369522698	0.801438715296161
SLC7A3	10	0	1	-0.000330347689080994	0	1	1
DCC	10	0	2	-0.000330629314412477	0	0.371093369522698	0.801438715296161
ZAR1	10	0	3	-0.000330650916127823	0	0.18144920772142	0.639760209321045
