gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
RAB5C	43.5029488220709	-0.721377934862879	0.0969259834924701	-7.44256502611522	9.87488227041295e-14	1.32575547077246e-12
DDR2	43.4494919832239	0.518429234176979	0.0697241946680868	7.43542806976683	1.04229872597649e-13	1.39785440189408e-12
AHNAK	83.2372202403529	0.730955941638712	0.0983137472597387	7.43493114658292	1.04622443778587e-13	1.40162976697002e-12
LAMA3	4.93550771013109	-1.55371165042134	0.209072937761977	-7.43143358032397	1.07426942358775e-13	1.43767551703896e-12
SESN3	13.374010778811	1.43562238863583	0.193221719498543	7.42992243502242	1.08661379285159e-13	1.45265530357913e-12
WBP1L	16.5622507917969	0.877020963640871	0.118081236284393	7.42726779662614	1.10863765518305e-13	1.48052986332382e-12
MRPL24	24.7966050760827	-0.755418931094942	0.101757116322371	-7.42374546760681	1.13853862439702e-13	1.51885385199687e-12
NCKAP5	5.04496122032917	-2.37287319056953	0.319844814833251	-7.41882650749432	1.18162572522174e-13	1.57466912907057e-12
LINGO1	3.17497014629364	-3.27670733002157	0.441796030729465	-7.41678761715285	1.19995132755074e-13	1.59740356051586e-12
MIF4GD	6.61317401674469	-1.24351247972135	0.167697567312325	-7.41520881698537	1.2143332331009e-13	1.61484566930805e-12
CA12	5.97060895998351	1.93636959806496	0.261713377154298	7.39881781787309	1.37402203839711e-13	1.82527980258648e-12
PRRX2	3.56587886570698	2.77916131321837	0.375655282297298	7.3981691305459	1.38074923496836e-13	1.83228762831763e-12
RFXANK	14.9324263988388	-0.884015773427113	0.119498474957641	-7.39771594357564	1.38546819255282e-13	1.83661854937149e-12
WIPF1	15.2084790088257	1.14013566285152	0.154123385470309	7.39755137984017	1.38718568558191e-13	1.83696572424384e-12
ACE2	4.37714935683172	-3.28945098255864	0.444733823953818	-7.39644885409081	1.39874643737562e-13	1.85033333749269e-12
GADD45A	36.3015899173028	1.02639204215691	0.138930685491984	7.38779945209536	1.49278665180275e-13	1.97266675871735e-12
