gene	orig.ident	Origin	n_spots	n_detected	pct_detected	mean_expression	median_expression	q99_expression
KCNT2	IU_PDA_T1	Pancreas	3530	12	0.34	0.00339943342776204	0	0
KCNT2	IU_PDA_T10	Pancreas	2714	7	0.26	0.0025792188651437	0	0
KCNT2	IU_PDA_T11	Pancreas	2777	20	0.72	0.0072020165646381	0	0
KCNT2	IU_PDA_T12	Pancreas	3642	61	1.67	0.0170236133992312	0	1
KCNT2	IU_PDA_T2	Pancreas	4118	19	0.46	0.0046138902379796	0	0
KCNT2	IU_PDA_T3	Pancreas	4354	17	0.39	0.00390445567294442	0	0
KCNT2	IU_PDA_T4	Pancreas	3621	27	0.75	0.00745650372825186	0	0
KCNT2	IU_PDA_T6	Pancreas	3397	23	0.68	0.0067706800117751	0	0
KCNT2	IU_PDA_T8	Pancreas	3779	18	0.48	0.00476316485842816	0	0
KCNT2	IU_PDA_T9	Pancreas	3526	63	1.79	0.0181508791832104	0	1
