orig.ident	gene	positive_spots	combinedPval	adjustedPval	best_kernel	best_kernel_stat	best_kernel_pval	available_in_section	n_spots	n_genes_tested
IU_PDA_T2	KCND3	81	0.3732731886335987	1	cos4	6.349073642703393	0.03927393606146956	TRUE	4118	17893
IU_PDA_T3	KCND3	162	1.712905262074571e-8	4.5561323859751105e-7	projection	39.134582779621304	1.5571865540895144e-9	TRUE	4354	17893
IU_PDA_T4	KCND3	34	0.03376316505059318	0.4794937221918646	projection	11.374422921973856	0.0032138920543626215	TRUE	3621	17893
IU_PDA_T6	KCND3	148	1.2476677966333227e-6	2.0550025525443146e-5	projection	30.688211775962465	1.1343373627084776e-7	TRUE	3397	17893
IU_PDA_T8	KCND3	80	5.198654670703906e-4	0.008063491902565549	projection	19.627455198288782	4.7278801876604604e-5	TRUE	3779	17893
IU_PDA_T9	KCND3	360	2.3059124609758896e-9	1.8655894066756918e-7	projection	40.443766039297145	2.0962881803410117e-10	TRUE	3526	17893
IU_PDA_T1	KCNE4	335	1.856959030988037e-12	7.223503889597333e-11	gaus2	53.401059058510896	2.022288038605804e-13	TRUE	3530	17893
IU_PDA_T10	KCNE4	135	0.05627145909007358	0.8138718844906319	cos4	7.190637858663001	0.022976098920300392	TRUE	2714	17893
IU_PDA_T11	KCNE4	185	1.2863567653287333e-6	2.87667105884721e-5	gaus4	27.918650605455422	3.4952174890316414e-7	TRUE	2777	17893
IU_PDA_T12	KCNE4	1098	5.46784813472178e-17	9.319747804087435e-16	gaus4	58.05903145394321	1.2538833307989696e-17	TRUE	3642	17893
IU_PDA_T2	KCNE4	218	0.013743412608263172	0.2170624629918536	projection	12.73881097977437	0.0012137052892727818	TRUE	4118	17893
IU_PDA_T3	KCNE4	305	0.1418882600029956	1	projection	7.27236708655463	0.020251551507957877	TRUE	4354	17893
IU_PDA_T4	KCNE4	117	1.6619962293074053e-6	3.0039018294781707e-5	projection	30.41933935414553	1.510943993615126e-7	TRUE	3621	17893
IU_PDA_T6	KCNE4	389	1.872939811242702e-6	3.06845910219487e-5	gaus5	27.4020007264855	2.3076447516626676e-7	TRUE	3397	17893
IU_PDA_T8	KCNE4	132	4.6127244190952155e-7	8.131581935950885e-6	projection	32.819556266868226	4.193459932298596e-8	TRUE	3779	17893
IU_PDA_T9	KCNE4	383	1.0593514954138072e-10	1.0675040214652101e-8	gaus3	43.61495351345082	2.94047877245235e-11	TRUE	3526	17893
IU_PDA_T1	KCNJ15	55	0.06036240308065666	0.775386732423376	cos4	8.567853517786494	0.012905954909870565	TRUE	3530	17893
IU_PDA_T10	KCNJ15	30	0.23643583628314746	1	projection	5.402263124748934	0.06534848747321054	TRUE	2714	17893
IU_PDA_T11	KCNJ15	56	2.1069725793465555e-4	0.003921792987666161	cos5	19.966238493767733	3.865386653356673e-5	TRUE	2777	17893
IU_PDA_T12	KCNJ15	871	4.160033887237057e-35	1.0397163355204345e-33	gaus4	134.20461910466497	7.631810769175029e-36	TRUE	3642	17893
IU_PDA_T2	KCNJ15	496	5.1407988976848173e-11	2.188283233939196e-9	projection	46.484945841009996	4.6734458190672664e-12	TRUE	4118	17893
IU_PDA_T3	KCNJ15	225	8.64863736182997e-14	3.3147770516286096e-12	projection	61.83424884428873	7.843914520246828e-15	TRUE	4354	17893
IU_PDA_T4	KCNJ15	67	0.00868643571314398	0.12959969756573447	projection	14.04755182609699	7.864224816763743e-4	TRUE	3621	17893
IU_PDA_T6	KCNJ15	417	4.3491955186799216e-49	2.1228014719373213e-47	projection	204.17618665942535	3.953814107890838e-50	TRUE	3397	17893
IU_PDA_T8	KCNJ15	166	5.408501973300882e-17	1.4520097968324374e-15	projection	76.42017646122264	4.916819975729718e-18	TRUE	3779	17893
IU_PDA_T9	KCNJ15	308	3.19547033258619e-26	1.5877538114797593e-23	gaus2	112.23725290362002	2.9381540519227535e-27	TRUE	3526	17893
IU_PDA_T1	KCNJ16	20	0.09198616222720135	1	projection	8.852827763278581	0.01168603076521424	TRUE	3530	17893
IU_PDA_T10	KCNJ16	8	0.05268042571873144	0.7661607283934534	cos4	10.409614960743758	0.005410005107483018	TRUE	2714	17893
IU_PDA_T11	KCNJ16	6	0.23254267535616813	1	projection	4.6080251740261335	0.09937482181116986	TRUE	2777	17893
IU_PDA_T12	KCNJ16	18	0.6336888958390461	1	cos4	2.393655168442251	0.3003720785504762	TRUE	3642	17893
IU_PDA_T2	KCNJ16	72	1.4659432334696021e-8	4.790351575324034e-7	projection	40.15753457900035	1.3326771142419085e-9	TRUE	4118	17893
IU_PDA_T3	KCNJ16	5	0.3900868839067012	1	cos2	4.341318410736739	0.11383246724245433	TRUE	4354	17893
IU_PDA_T4	KCNJ16	6	0.6774625838012183	1	gaus3	5.183414895736483	0.07458419628471247	TRUE	3621	17893
IU_PDA_T6	KCNJ16	144	4.048399539705785e-34	1.317683975058431e-32	projection	153.40347607876123	3.68036321791435e-35	TRUE	3397	17893
IU_PDA_T8	KCNJ16	147	1.5667155530206367e-17	4.3242112675240897e-16	projection	79.10027170395311	1.4242868663827277e-18	TRUE	3779	17893
IU_PDA_T9	KCNJ16	7	0.05141758004627561	0.8113774075489937	projection	10.59496163254691	0.0049549294399042765	TRUE	3526	17893
IU_PDA_T1	KCNJ8	189	2.6166408516603568e-6	5.495308950933667e-5	gaus2	28.309509787460428	3.369304930085467e-7	TRUE	3530	17893
IU_PDA_T10	KCNJ8	140	1.0081476091561292e-4	0.0024584509341709125	gaus4	20.02415473480784	3.326016523541586e-5	TRUE	2714	17893
IU_PDA_T11	KCNJ8	219	1.1939941778615903e-6	2.6762166142615198e-5	projection	29.90656077127687	1.1083126448204023e-7	TRUE	2777	17893
IU_PDA_T12	KCNJ8	749	1.4721557306529576e-13	2.3345968009168004e-12	projection	52.92873679633993	1.3369848997157259e-14	TRUE	3642	17893
IU_PDA_T2	KCNJ8	294	8.188996454894237e-5	0.0017701476562967603	gaus3	20.100350709300635	2.7627722491319062e-5	TRUE	4118	17893
IU_PDA_T3	KCNJ8	451	1.995426174183912e-5	4.2068174787737023e-4	gaus5	23.869608779618662	9.759028661848745e-6	TRUE	4354	17893
