target_gene	orig.ident	view	value	p_value	abs_fraction
KCNAB2	IU_PDA_T6	para_ct	0.163952670743784	0.000133141122907743	0.403983811776089
KCNAB2	IU_PDA_T8	intra	0.299274990598306	0.000644775513982676	0.80121654003652
KCNAB2	IU_PDA_T8	juxta_ct	-0.0149894467758711	0.815046645470596	0.0401296234570594
KCNAB2	IU_PDA_T8	para_ct	0.0592612896217546	0.143647328476249	0.158653836506421
KCNAB2	IU_PDA_T9	intra	-0.119036218255447	0.174838675317281	0.288135923501107
KCNAB2	IU_PDA_T9	juxta_ct	0.176524438582012	0.0022320932659794	0.427290390074325
KCNAB2	IU_PDA_T9	para_ct	0.117564568261347	0.00926599846203113	0.284573686424569
KCNB1	IU_PDA_T10	intra	0.0001592997787883	0.146784183419004	0.757062663456396
KCNB1	IU_PDA_T10	juxta_ct	1.51561359697446e-05	0.875942002874705	0.0720286289927031
KCNB1	IU_PDA_T10	para_ct	-3.59623061868523e-05	0.640470205957489	0.170908707550901
KCNB1	IU_PDA_T11	intra	0.00368496610842867	0.927504017015773	0.0816148165747678
KCNB1	IU_PDA_T11	juxta_ct	-0.00202569014784412	0.946346607498344	0.0448650883044647
KCNB1	IU_PDA_T11	para_ct	0.0394400438626554	0.155681927557824	0.873520095120767
KCNB1	IU_PDA_T12	intra	0.0278247207509035	0.115993096636352	0.574332599673084
KCNB1	IU_PDA_T12	juxta_ct	-0.0113921617497247	0.555585725679695	0.235146650066675
KCNB1	IU_PDA_T12	para_ct	0.00923016850560342	0.587443580491955	0.190520750260241
KCNB1	IU_PDA_T2	intra	-0.00845101845262593	0.66033422900196	0.264583931986566
KCNB1	IU_PDA_T2	juxta_ct	-0.0183617226586721	0.440664077007731	0.574867609899577
KCNB1	IU_PDA_T2	para_ct	-0.00512804376242219	0.812024704050427	0.160548458113857
KCNB1	IU_PDA_T3	intra	-0.0358278245793941	0.494031797473122	0.0433850592586048
KCNB1	IU_PDA_T3	juxta_ct	0.650394014619448	0	0.787582924639401
KCNB1	IU_PDA_T3	para_ct	-0.139588363475669	0.027149827800238	0.169032016101994
KCNB1	IU_PDA_T4	intra	-0.000524644791563469	0.827686455316424	0.228576943528684
KCNB1	IU_PDA_T4	juxta_ct	-0.000270065868091413	0.933832175921667	0.117662143363312
KCNB1	IU_PDA_T4	para_ct	-0.00150055492340963	0.720824378502307	0.653760913108004
KCNB1	IU_PDA_T9	intra	-0.013984257304004	0.645314049410964	0.0937184527657399
KCNB1	IU_PDA_T9	juxta_ct	0.101653936383984	0.0422201341698654	0.681255316485502
KCNB1	IU_PDA_T9	para_ct	0.033577429183628	0.461824304403897	0.225026230748759
KCNC4	IU_PDA_T1	intra	0.0284240022021827	0.215185436971453	0.292074625314952
KCNC4	IU_PDA_T1	juxta_ct	0.0418420839071611	0.0440854936159352	0.429953913338861
KCNC4	IU_PDA_T1	para_ct	-0.0270515161011609	0.14582435815809	0.277971461346187
KCNC4	IU_PDA_T10	intra	-0.0428693196632652	0.218457453769469	0.829973224821842
KCNC4	IU_PDA_T10	juxta_ct	-0.00173865630236289	0.954261461678826	0.0336613267825076
KCNC4	IU_PDA_T10	para_ct	-0.00704347299824338	0.752105060732589	0.13636544839565
KCNC4	IU_PDA_T11	intra	0.307531495792263	1.60528260115811e-05	0.72451551534581
KCNC4	IU_PDA_T11	juxta_ct	0.0201715614396796	0.758229137092006	0.0475223170041461
KCNC4	IU_PDA_T11	para_ct	0.0967619670201311	0.0440783756190575	0.227962167650044
KCNC4	IU_PDA_T12	intra	0.20107500860819	0.000106973648667852	0.343699182602069
KCNC4	IU_PDA_T12	juxta_ct	0.239890572299936	2.88717510943393e-06	0.410046948072453
KCNC4	IU_PDA_T12	para_ct	0.144066385376741	0.000996657005279955	0.246253869325478
KCNC4	IU_PDA_T2	intra	0.0463774938231358	0.474523297810026	0.244559938469069
KCNC4	IU_PDA_T2	juxta_ct	0.0448421146054354	0.396734951355614	0.236463505996037
KCNC4	IU_PDA_T2	para_ct	0.09841690404954	0.00771230610290652	0.518976555534894
KCNC4	IU_PDA_T3	intra	0.0375012994734933	0.46282693461725	0.19807092891581
KCNC4	IU_PDA_T3	juxta_ct	0.0887481452966718	0.066764290331699	0.468741825623719
KCNC4	IU_PDA_T3	para_ct	0.0630832335727187	0.0885612162005314	0.33318724546047
KCNC4	IU_PDA_T4	intra	0.149924930794368	0.0212455802692075	0.366717682616863
KCNC4	IU_PDA_T4	juxta_ct	0.0779678652031912	0.173202515150444	0.190710075331729
KCNC4	IU_PDA_T4	para_ct	0.180936496673898	5.25257225438835e-05	0.442572242051408
KCNC4	IU_PDA_T6	intra	0.293182397379152	0.0356263171600371	0.415024696733743
KCNC4	IU_PDA_T6	juxta_ct	0.246795074987404	0.0375321144427598	0.349359484292532
KCNC4	IU_PDA_T6	para_ct	0.166444096485867	0.000145072591771322	0.235615818973725
KCNC4	IU_PDA_T8	intra	0.00881265892566581	0.632598200309241	0.553820691685119
KCNC4	IU_PDA_T8	juxta_ct	0.00562900945797449	0.610553675197519	0.35374816361476
KCNC4	IU_PDA_T8	para_ct	-0.00147080844861997	0.840408668343119	0.0924311447001209
KCNC4	IU_PDA_T9	intra	0.0569746753841563	0.278244529196475	0.338678701401881
KCNC4	IU_PDA_T9	juxta_ct	0.0747418798954806	0.0875359868387717	0.444293585749432
KCNC4	IU_PDA_T9	para_ct	0.0365097758959672	0.332961578398866	0.217027712848687
KCND2	IU_PDA_T1	intra	0.0387318487110317	0.334613216827524	0.263265193360021
KCND2	IU_PDA_T1	juxta_ct	0.053575470408647	0.185607988721551	0.364159136366482
KCND2	IU_PDA_T1	para_ct	0.0548137196196317	0.155296731812357	0.372575670273497
KCND2	IU_PDA_T10	intra	-0.00300813268401087	0.839076891307097	0.0862684307994968
KCND2	IU_PDA_T10	juxta_ct	0.0203482041219341	0.109781384236402	0.583553926499861
KCND2	IU_PDA_T10	para_ct	-0.011513112610636	0.299508746546443	0.330177642700643
KCND2	IU_PDA_T11	intra	0.199361264793544	0.0111244143777427	0.643525487859266
KCND2	IU_PDA_T11	juxta_ct	0.0407456033928379	0.508479691703984	0.131524217247769
KCND2	IU_PDA_T11	para_ct	0.0696885766789546	0.18118033227153	0.224950294892965
KCND2	IU_PDA_T12	intra	0.15242827091639	0.00701827325294269	0.364251103472881
KCND2	IU_PDA_T12	juxta_ct	0.0664890426157156	0.221700911383424	0.15888592710544
