target_gene	measure	mean	sd	cv
KCNK15	intra.RMSE	0.0528918135145388	0.0231080134339732	0.436892061332352
KCNK15	multi.R2	0.087027860161559	0.274585169603384	3.15514099845317
KCNK15	multi.RMSE	0.0529878297255208	0.023012263724871	0.434293381028729
KCNK15	p.R2	0.691059920712315	0.377686079261934	0.546531592908226
KCNK15	p.RMSE	0.502810528546934	0.00814686645116581	0.016202656843144
KCNK17	gain.R2	0.4487723420914	1.19787514634304	2.66922676375424
KCNK17	gain.RMSE	-0.00053136195803362	0.00158573341227537	-2.98428103160339
KCNK17	intra.R2	0.164230548248024	0.474817021658384	2.89116139916496
KCNK17	intra.RMSE	0.0811541094410174	0.0601166443865924	0.740771413803573
KCNK17	multi.R2	0.613002890339424	1.66850496477209	2.72185497175752
KCNK17	multi.RMSE	0.0806227474829838	0.0586878986459198	0.727932258303482
KCNK17	p.R2	0.429351060852265	0.41106172937312	0.957402384326614
KCNK17	p.RMSE	0.474089332748506	0.0732397860696827	0.154485201438892
KCNK3	gain.R2	4.02241386666686	9.17932052728449	2.28204278116485
KCNK3	gain.RMSE	-0.00752230721104837	0.0217491019955665	-2.89128074477238
KCNK3	intra.R2	2.85751331290284	7.55477831457602	2.64382961243369
KCNK3	intra.RMSE	0.104029571430305	0.0877054176078201	0.843081600759821
KCNK3	multi.R2	6.8799271795697	16.7045129872755	2.42800723776269
KCNK3	multi.RMSE	0.0965072642192571	0.0695354418688411	0.720520288616429
KCNK3	p.R2	0.24242591814161	0.290233030813947	1.19720297664052
KCNK3	p.RMSE	0.420976120550373	0.164856594303486	0.391605571565334
KCNK6	gain.R2	0.419582866277834	0.554073319446393	1.32053371092494
KCNK6	gain.RMSE	-0.0006239408055419	0.000872911222480242	-1.39902890583043
KCNK6	intra.R2	0.428444869697445	0.67941496716074	1.585769874291
KCNK6	intra.RMSE	0.214305201880774	0.0584869765503571	0.272914404489797
KCNK6	multi.R2	0.84802773597528	1.18775319381488	1.40060654083312
KCNK6	multi.RMSE	0.213681261075232	0.0577146237742249	0.270096795029233
KCNK6	p.R2	0.215885654313494	0.23258233025104	1.07734036793987
KCNK6	p.RMSE	0.456999501491335	0.0806959720277304	0.176577811932822
KCNMA1	gain.R2	1.0960121674913	1.43870068287827	1.31266853193005
KCNMA1	gain.RMSE	-0.0021939571725618	0.00352215435425826	-1.60538883726047
KCNMA1	intra.R2	1.39746620003698	1.83203161725469	1.31096667469039
KCNMA1	intra.RMSE	0.270592410479147	0.11365877998844	0.420036836166916
KCNMA1	multi.R2	2.49347836752827	3.2338523009271	1.29692414541889
KCNMA1	multi.RMSE	0.268398453306585	0.110785107417141	0.412763583591124
KCNMA1	p.R2	0.20012063951678	0.208057570620973	1.03966073226309
KCNMA1	p.RMSE	0.377977290425343	0.148196419828393	0.39207757604068
KCNMB1	gain.R2	0.778653315828506	1.23135564533121	1.58139138471532
KCNMB1	gain.RMSE	-0.00103557109701081	0.00183061767893501	-1.76773732312452
KCNMB1	intra.R2	1.53188364304826	2.38638932662562	1.55781370044333
KCNMB1	intra.RMSE	0.173292260915693	0.0824043283096127	0.475522264376841
KCNMB1	multi.R2	2.31053695887676	2.98103779058878	1.29019264510617
KCNMB1	multi.RMSE	0.172256689818682	0.081112518346066	0.470881673341367
KCNMB1	p.R2	0.246782355698672	0.247020673948225	1.00096570214219
KCNMB1	p.RMSE	0.443289550266074	0.102431183370475	0.231070602293677
KCNMB4	gain.R2	0.27086089826372	0.465900523078072	1.72007301926783
KCNMB4	gain.RMSE	-0.000368223651361674	0.000631283640832568	-1.71440275087738
KCNMB4	intra.R2	0.0477090034713781	0.0618623336086715	1.29665952142103
KCNMB4	intra.RMSE	0.157125101275567	0.0608485650819998	0.387261898881983
KCNMB4	multi.R2	0.318569901735098	0.476641519006018	1.49619131126318
KCNMB4	multi.RMSE	0.156756877624205	0.0603081624955634	0.384724188243535
KCNMB4	p.R2	0.307714846156125	0.332684780591984	1.08114634294632
KCNMB4	p.RMSE	0.481598723334667	0.0312471857977267	0.0648822023060322
KCNN3	gain.R2	0.119877770411205	0.323515382986473	2.69871037705115
KCNN3	gain.RMSE	-7.91967526505302e-05	0.000149560070393433	-1.88846215770226
KCNN3	intra.R2	0.290270322525708	0.391316247300169	1.34810973404115
KCNN3	intra.RMSE	0.104949020801221	0.0364870317285392	0.347664336932191
KCNN3	multi.R2	0.410148092936912	0.664407047780367	1.61991987582535
KCNN3	multi.RMSE	0.10486982404857	0.0364410330930406	0.347488263889553
KCNN3	p.R2	0.56628296839871	0.308973781470823	0.545617295085731
KCNN3	p.RMSE	0.497240520581871	0.00531841387902711	0.0106958577567321
KCNN4	gain.R2	0.85249252708798	0.690409455868873	0.80987156359861
KCNN4	gain.RMSE	-0.00109370938605769	0.00103552009068709	-0.946796382921843
KCNN4	intra.R2	2.6108058761873	4.37901625919971	1.67726612657798
KCNN4	intra.RMSE	0.219601805539047	0.0580886759387162	0.264518207380529
KCNN4	multi.R2	3.46329840327528	4.7494523606818	1.37136677457252
KCNN4	multi.RMSE	0.218508096152989	0.0574195919517325	0.262780157635578
KCNN4	p.R2	0.155313529899667	0.12086730490626	0.778214911375335
KCNN4	p.RMSE	0.436215607503935	0.0709054926008054	0.162546895115773
KCNQ4	gain.R2	0.080845428660711	0.141442249691353	1.74953923845159
KCNQ4	gain.RMSE	-6.23855634842269e-05	0.00011203795969283	-1.79589561166914
KCNQ4	intra.R2	0.133975635331254	0.26379580401733	1.96898341526874
KCNQ4	intra.RMSE	0.0979343700374234	0.0409468526861958	0.418105029629014
KCNQ4	multi.R2	0.214821063991965	0.276496901869034	1.28710330696144
KCNQ4	multi.RMSE	0.0978719844739392	0.0408574867271248	0.417458447856486
KCNQ4	p.R2	0.408244405426226	0.373893973428579	0.915858168437646
KCNQ4	p.RMSE	0.496656128819815	0.00657093904663679	0.013230359327793
KCNS3	gain.R2	0.56841384802732	0.773867347563927	1.36145055270844
KCNS3	gain.RMSE	-0.00085736414920029	0.00106317172443897	-1.24004686390334
KCNS3	intra.R2	0.69282890370341	1.53225510437938	2.21159235157331
KCNS3	intra.RMSE	0.232055350729361	0.0645307676327549	0.278083515117973
KCNS3	multi.R2	1.26124275173073	2.25071970648252	1.78452538450191
KCNS3	multi.RMSE	0.231197986580161	0.0638958672541297	0.276368614620161
KCNS3	p.R2	0.204192662575173	0.289134747092209	1.41598989623716
KCNS3	p.RMSE	0.446520975635825	0.0757107261491479	0.169556930760844
KCNT2	gain.R2	0.0245998703738175	0.0486275784455374	1.97674124727476
KCNT2	gain.RMSE	2.25785903912513e-05	0.000105219860525326	4.66016074086257
KCNT2	intra.R2	0.00140234698339103	0.00267341791764821	1.90638832565075
KCNT2	intra.RMSE	0.0572390723921305	0.020515148768329	0.358411621833857
