target_gene	view	Predictor	Predictor_original	Importance	nsamples	importance_rank	normalized_importance
KCNN3	intra	Fibroblasts	Fibroblasts	5.94370601971325	10	1	1
KCNN3	intra	TAM	TAM	3.80438188579915	10	3	0.640068986114271
KCNN3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	4.27094334728144	10	2	0.718565711883491
KCNN3	juxta_ct	Fibroblasts	Fibroblasts	7.07642232818018	10	1	1
KCNN3	juxta_ct	TAM	TAM	5.66267487279651	10	3	0.800217201600058
KCNN3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	6.0621590076994	10	2	0.856670041237969
KCNN3	para_ct	Fibroblasts	Fibroblasts	4.72642679365385	10	3	0.649874490980162
KCNN3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	7.27283015298123	3	1	1
KCNN3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	4.82997149403572	10	2	0.664111685882813
KCNN4	intra	Fibroblasts	Fibroblasts	19.2839981821343	10	2	0.968289001388968
KCNN4	intra	TAM	TAM	10.8464782413971	10	3	0.544623863047218
KCNN4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	19.9155398382841	10	1	1
KCNN4	juxta_ct	Fibroblasts	Fibroblasts	25.7304490902829	10	2	0.879825818164188
KCNN4	juxta_ct	TAM	TAM	20.137788082872	10	3	0.688590619381028
KCNN4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	29.2449352577208	10	1	1
KCNN4	para_ct	Hepatocytes	Hepatocytes	21.5486498502242	4	3	0.675253712236757
KCNN4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	31.9119309671692	3	1	1
KCNN4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	21.9401979174599	10	2	0.687523357330892
KCNQ4	intra	Fibroblasts	Fibroblasts	5.28303418016123	10	1	1
KCNQ4	intra	TAM	TAM	3.0531731491259	10	3	0.577920385332946
KCNQ4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	4.62717280498616	10	2	0.875855170947418
KCNQ4	juxta_ct	Fibroblasts	Fibroblasts	6.1064846152575	10	2	0.996496507554215
KCNQ4	juxta_ct	TAM	TAM	4.89257273333966	10	3	0.798402345851543
KCNQ4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	6.12795385529766	10	1	1
KCNQ4	para_ct	Fibroblasts	Fibroblasts	4.37576472538052	10	2	0.704967258404456
KCNQ4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	6.20704674325462	3	1	1
KCNQ4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	4.31424960083203	10	3	0.695056728148608
KCNS3	intra	Fibroblasts	Fibroblasts	19.5579883109742	10	1	1
KCNS3	intra	TAM	TAM	13.0901476474561	10	3	0.669299287806155
KCNS3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	15.8483259476619	10	2	0.8103249524272
KCNS3	juxta_ct	Fibroblasts	Fibroblasts	29.4582777043417	10	1	1
KCNS3	juxta_ct	TAM	TAM	25.1445972866605	10	3	0.853566441970047
KCNS3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	27.4697505066469	10	2	0.932496827626765
KCNS3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	32.5192274725752	3	1	1
KCNS3	para_ct	T_NK_cells	T-NK cells	22.5899204767278	7	3	0.694663503177582
KCNS3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	23.1795234694443	10	2	0.712794407216241
KCNT2	intra	Fibroblasts	Fibroblasts	2.31437682769767	10	1	1
KCNT2	intra	TAM	TAM	1.32266319361481	10	3	0.571498633146353
KCNT2	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.71307547130771	10	2	0.740188655022038
KCNT2	juxta_ct	Fibroblasts	Fibroblasts	2.59918154110565	10	1	1
KCNT2	juxta_ct	TAM	TAM	1.85936690100393	10	3	0.715366307277246
KCNT2	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.16197422600271	10	2	0.831790389325032
KCNT2	para_ct	Monocytes	Monocytes	1.50147284033955	10	3	0.780908410243114
KCNT2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.92272591848781	3	1	1
KCNT2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.6121219776048	10	2	0.838456465429403
