target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNK17	intra	Fibroblasts	Fibroblasts	5.68439355390559	10
KCNK17	intra	B_cells	B cells	4.80588170464479	9
KCNK17	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	4.00216095137013	10
KCNK17	intra	TAM	TAM	3.97099401379411	10
KCNK17	intra	Endothelial_cells	Endothelial cells	0.986641187458218	10
KCNK17	juxta_ct	B_cells	B cells	6.04614013574184	9
KCNK17	juxta_ct	Fibroblasts	Fibroblasts	5.99655243942296	10
KCNK17	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	5.48934341710622	10
KCNK17	juxta_ct	TAM	TAM	5.36580040737531	10
KCNK17	juxta_ct	Monocytes	Monocytes	2.06919182428586	10
KCNK17	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	9.36125400200742	3
KCNK17	para_ct	T_NK_cells	T-NK cells	4.72508258010328	7
KCNK17	para_ct	B_cells	B cells	4.35290796304374	9
KCNK17	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	4.03877571584624	10
KCNK17	para_ct	Fibroblasts	Fibroblasts	3.78764388886071	10
KCNK3	intra	TAM	TAM	13.6113558369772	10
KCNK3	intra	Fibroblasts	Fibroblasts	9.68081303219897	10
KCNK3	intra	B_cells	B cells	7.04140133066222	9
KCNK3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	6.47373926358566	10
KCNK3	intra	Endothelial_cells	Endothelial cells	3.2683857901659	10
KCNK3	juxta_ct	TAM	TAM	17.8231819239103	10
KCNK3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	11.303653973681	10
KCNK3	juxta_ct	B_cells	B cells	10.6800470232841	9
KCNK3	juxta_ct	Fibroblasts	Fibroblasts	9.40811893790667	10
KCNK3	juxta_ct	Endothelial_cells	Endothelial cells	8.87660263220415	10
KCNK3	para_ct	Endothelial_cells	Endothelial cells	17.4092681612879	10
KCNK3	para_ct	TAM	TAM	11.9887345546225	10
KCNK3	para_ct	B_cells	B cells	9.89957480276944	9
