target_gene	orig.ident	view	value	p_value
KCNC4	IU_PDA_T6	intra	0.293182397379152	0.0356263171600371
KCNC4	IU_PDA_T6	juxta_ct	0.246795074987404	0.0375321144427598
KCNC4	IU_PDA_T6	para_ct	0.166444096485867	0.000145072591771322
KCNC4	IU_PDA_T8	intercept	0.0305545433754397	NA
KCNC4	IU_PDA_T8	intra	0.00881265892566581	0.632598200309241
KCNC4	IU_PDA_T8	juxta_ct	0.00562900945797449	0.610553675197519
KCNC4	IU_PDA_T8	para_ct	-0.00147080844861997	0.840408668343119
KCNC4	IU_PDA_T9	intercept	0.0159449830273035	NA
KCNC4	IU_PDA_T9	intra	0.0569746753841563	0.278244529196475
KCNC4	IU_PDA_T9	juxta_ct	0.0747418798954806	0.0875359868387717
KCNC4	IU_PDA_T9	para_ct	0.0365097758959672	0.332961578398866
KCND2	IU_PDA_T1	intercept	0.0180875488642914	NA
KCND2	IU_PDA_T1	intra	0.0387318487110317	0.334613216827524
KCND2	IU_PDA_T1	juxta_ct	0.053575470408647	0.185607988721551
KCND2	IU_PDA_T1	para_ct	0.0548137196196317	0.155296731812357
KCND2	IU_PDA_T10	intercept	0.0063997348729169	NA
KCND2	IU_PDA_T10	intra	-0.00300813268401087	0.839076891307097
KCND2	IU_PDA_T10	juxta_ct	0.0203482041219341	0.109781384236402
KCND2	IU_PDA_T10	para_ct	-0.011513112610636	0.299508746546443
KCND2	IU_PDA_T11	intercept	0.0131038517702275	NA
KCND2	IU_PDA_T11	intra	0.199361264793544	0.0111244143777427
KCND2	IU_PDA_T11	juxta_ct	0.0407456033928379	0.508479691703984
KCND2	IU_PDA_T11	para_ct	0.0696885766789546	0.18118033227153
KCND2	IU_PDA_T12	intercept	0.0576226640749609	NA
KCND2	IU_PDA_T12	intra	0.15242827091639	0.00701827325294269
KCND2	IU_PDA_T12	juxta_ct	0.0664890426157156	0.221700911383424
KCND2	IU_PDA_T12	para_ct	0.199552992976488	2.50304802484891e-06
KCND2	IU_PDA_T2	intercept	0.0155744249331187	NA
KCND2	IU_PDA_T2	intra	-0.0155265600328856	0.603730194809586
KCND2	IU_PDA_T2	juxta_ct	-0.0131512410094889	0.596617099714159
KCND2	IU_PDA_T2	para_ct	-0.00510429358341882	0.762806456933438
KCND2	IU_PDA_T3	intercept	0.00684745541726944	NA
KCND2	IU_PDA_T3	intra	-0.109765714858171	0.0970593436813589
KCND2	IU_PDA_T3	juxta_ct	0.309871145063085	1.84631945288061e-08
KCND2	IU_PDA_T3	para_ct	0.313597513878353	5.45785638905727e-13
KCND2	IU_PDA_T4	intercept	0.0063096830346129	NA
KCND2	IU_PDA_T4	intra	0.0346132318578949	0.323645381387395
KCND2	IU_PDA_T4	juxta_ct	-0.0029482176983925	0.932193626307863
KCND2	IU_PDA_T4	para_ct	0.0438741026434823	0.169460107982268
KCND2	IU_PDA_T6	intercept	0.0341155122461715	NA
KCND2	IU_PDA_T6	intra	0.12810269448501	0.3298192001344
KCND2	IU_PDA_T6	juxta_ct	0.0435051964748377	0.668489060099752
KCND2	IU_PDA_T6	para_ct	0.182476094902461	3.57230459757663e-05
KCND2	IU_PDA_T8	intercept	0.00985746344846245	NA
KCND2	IU_PDA_T8	intra	-0.00729218573011846	0.365523371054868
KCND2	IU_PDA_T8	juxta_ct	-0.00332106815680609	0.676365008094756
KCND2	IU_PDA_T8	para_ct	0.00595187171671346	0.192880553268281
KCND2	IU_PDA_T9	intercept	0.0133202385099414	NA
KCND2	IU_PDA_T9	intra	-6.54604234962486e-05	0.747635213845659
KCND2	IU_PDA_T9	juxta_ct	-1.5162707783175e-05	0.926268489340667
KCND2	IU_PDA_T9	para_ct	1.45413431213022e-05	0.911026374833365
KCND3	IU_PDA_T1	intercept	0.0116366150449839	NA
KCND3	IU_PDA_T1	intra	0.0663466273212121	0.111581815474932
KCND3	IU_PDA_T1	juxta_ct	0.0483480069823001	0.267905586380323
KCND3	IU_PDA_T1	para_ct	0.0628713939299814	0.107241538739707
KCND3	IU_PDA_T10	intercept	0.0118885565609797	NA
KCND3	IU_PDA_T10	intra	-0.0509459914732712	0.474466692601135
KCND3	IU_PDA_T10	juxta_ct	-0.0842645988296821	0.198151818351515
KCND3	IU_PDA_T10	para_ct	-0.0637302952286334	0.240508552066926
KCND3	IU_PDA_T11	intercept	0.0173744713122419	NA
KCND3	IU_PDA_T11	intra	0.0846580409167364	0.0987460471546642
KCND3	IU_PDA_T11	juxta_ct	-0.0240347238000999	0.627853790292215
KCND3	IU_PDA_T11	para_ct	0.125807053418465	0.00186966272499123
KCND3	IU_PDA_T12	intercept	0.0339286751581335	NA
KCND3	IU_PDA_T12	intra	0.196223531155037	0.000160977736908263
KCND3	IU_PDA_T12	juxta_ct	0.144891260633323	0.00541281329222265
KCND3	IU_PDA_T12	para_ct	0.289233959126095	3.31445981771594e-12
KCND3	IU_PDA_T2	intercept	0.00753379892809653	NA
KCND3	IU_PDA_T2	intra	0.169953679552523	0.00107612001684676
KCND3	IU_PDA_T2	juxta_ct	0.123939993659426	0.0199868855036103
KCND3	IU_PDA_T2	para_ct	0.0970809992208853	0.0196067814948495
KCND3	IU_PDA_T3	intercept	0.0177750079238641	NA
KCND3	IU_PDA_T3	intra	0.0489248926574054	0.342300834238388
KCND3	IU_PDA_T3	juxta_ct	0.202860997413141	2.40329062337619e-05
KCND3	IU_PDA_T3	para_ct	0.0963293399875377	0.0238396662934506
KCND3	IU_PDA_T4	intercept	0.00425010058602446	NA
KCND3	IU_PDA_T4	intra	-0.00833250021997838	0.877555712758591
KCND3	IU_PDA_T4	juxta_ct	-0.110130326588511	0.0755535068266531
KCND3	IU_PDA_T4	para_ct	0.438052701577654	0
KCND3	IU_PDA_T6	intercept	0.0181513035431145	NA
KCND3	IU_PDA_T6	intra	0.252805144443258	0.00599814593277626
KCND3	IU_PDA_T6	juxta_ct	0.0794456151042907	0.326702685623545
KCND3	IU_PDA_T6	para_ct	0.0699067402604587	0.103632345829697
KCND3	IU_PDA_T8	intercept	0.0129087692056696	NA
KCND3	IU_PDA_T8	intra	-0.0209525210411969	0.174119622363611
KCND3	IU_PDA_T8	juxta_ct	0.012874040795188	0.222130487307269
KCND3	IU_PDA_T8	para_ct	-0.0114251065756577	0.17917696758272
KCND3	IU_PDA_T9	intercept	0.0284578840481858	NA
KCND3	IU_PDA_T9	intra	0.225215352109452	0.00107098004852468
KCND3	IU_PDA_T9	juxta_ct	0.233692182597659	3.06386245259027e-05
KCND3	IU_PDA_T9	para_ct	0.123400935339965	0.00644258885083349
KCNE4	IU_PDA_T1	intercept	0.0390637360326587	NA
KCNE4	IU_PDA_T1	intra	0.107732929339525	0.116373484801229
KCNE4	IU_PDA_T1	juxta_ct	0.155057735150812	0.00155309892145361
KCNE4	IU_PDA_T1	para_ct	0.0934861298297206	0.038487440616928
KCNE4	IU_PDA_T10	intercept	0.0306446579227572	NA
KCNE4	IU_PDA_T10	intra	-0.00111100669264977	0.592948489982854
KCNE4	IU_PDA_T10	juxta_ct	-0.0015031734604733	0.38420023941486
KCNE4	IU_PDA_T10	para_ct	0.00141770791587003	0.295135589004784
KCNE4	IU_PDA_T11	intercept	0.036350978683274	NA
KCNE4	IU_PDA_T11	intra	0.0812867801559415	0.306905086877135
KCNE4	IU_PDA_T11	juxta_ct	-0.0067736007233288	0.903010557353329
KCNE4	IU_PDA_T11	para_ct	0.150294399917254	0.000980435922819378
KCNE4	IU_PDA_T12	intercept	0.120756033623076	NA
KCNE4	IU_PDA_T12	intra	0.23658133167997	1.91383134540146e-06
KCNE4	IU_PDA_T12	juxta_ct	-0.0103414592881998	0.845779036869296
KCNE4	IU_PDA_T12	para_ct	0.208736366723973	1.12262204199354e-06
KCNE4	IU_PDA_T2	intercept	0.0240222503611227	NA
KCNE4	IU_PDA_T2	intra	0.20216563170798	0.00202356619169453
KCNE4	IU_PDA_T2	juxta_ct	0.0611987246931455	0.286854953218578
KCNE4	IU_PDA_T2	para_ct	0.0184609070776333	0.640096454614149
KCNE4	IU_PDA_T3	intercept	0.029170045754003	NA
KCNE4	IU_PDA_T3	intra	0.326853037475399	6.89948791432471e-08
KCNE4	IU_PDA_T3	juxta_ct	0.067490790521709	0.246533199929941
KCNE4	IU_PDA_T3	para_ct	0.0264268371132263	0.532031069479095
KCNE4	IU_PDA_T4	intercept	0.0142581040965617	NA
KCNE4	IU_PDA_T4	intra	0.107790556275254	0.0314964943945435
KCNE4	IU_PDA_T4	juxta_ct	0.0576232395676629	0.233485725743612
KCNE4	IU_PDA_T4	para_ct	0.0688616577783038	0.0731381543163563
KCNE4	IU_PDA_T6	intercept	0.0150011115943939	NA
KCNE4	IU_PDA_T6	intra	0.408661142311499	0.000342134334144983
KCNE4	IU_PDA_T6	juxta_ct	0.178072226957873	0.062410020968982
KCNE4	IU_PDA_T6	para_ct	0.21862001001088	3.16900010233212e-07
KCNE4	IU_PDA_T8	intercept	0.0129689123441376	NA
KCNE4	IU_PDA_T8	intra	0.112594630608113	0.164858287572735
KCNE4	IU_PDA_T8	juxta_ct	0.0930905829257328	0.13612813375565
KCNE4	IU_PDA_T8	para_ct	0.184726517697931	0.00013071873065873
KCNE4	IU_PDA_T9	intercept	0.0412174962921486	NA
KCNE4	IU_PDA_T9	intra	0.17510253007577	0.0183605713904738
KCNE4	IU_PDA_T9	juxta_ct	0.163143561273034	0.00533965193647723
KCNE4	IU_PDA_T9	para_ct	0.105060162031135	0.0267617410492924
KCNJ15	IU_PDA_T1	intercept	0.00868689743868386	NA
KCNJ15	IU_PDA_T1	intra	-0.00304719072549104	0.943561074049303
KCNJ15	IU_PDA_T1	juxta_ct	-0.00256338079454485	0.94739258385538
