target_gene	orig.ident	intra.RMSE	intra.R2	multi.RMSE	multi.R2	p.RMSE	p.R2	gain.RMSE	gain.R2
KCNJ16	IU_PDA_T1	0.0517868867800216	0.0027579206880568	0.0517675442002175	0	0.499315414870125	0.813049516849971	-1.93425798040991e-05	-0.0027579206880568
KCNJ16	IU_PDA_T10	0.0335506483678931	0	0.0335336525828963	0.282153614230869	0.499450931532348	0.0893448307199445	-1.69957849968025e-05	0.282153614230869
KCNJ16	IU_PDA_T11	0.0287426552776161	0	0.0287422252989369	0	0.499983773124152	1	-4.29978679199888e-07	0
KCNJ16	IU_PDA_T12	0.0466690043381837	1.36431869236475	0.0467477904367313	1.13237417703263	0.503198557087071	0.581689035396379	7.8786098547598e-05	-0.23194451533212
KCNJ16	IU_PDA_T2	0.0857081691725932	0.00292973907799032	0.0844127093898219	2.72097336863142	0.448673937283891	0.000841450360785101	-0.0012954597827713	2.71804362955343
KCNJ16	IU_PDA_T3	0.0183714639946282	0.00038949021373913	0.0183691581605854	0.000177512169878824	0.499913757159039	0.68035918221362	-2.30583404280116e-06	-0.000211978043860306
KCNJ16	IU_PDA_T4	0.0246761859111092	0.043432651916564	0.0246575983611425	0.00469057615454238	0.499257739900017	0.787901349990044	-1.85875499666976e-05	-0.0387420757620216
KCNJ16	IU_PDA_T6	0.132388638354307	15.8154929379277	0.131229832552039	17.0732869795561	0.463542945255919	0.415163542788832	-0.00115880580226801	1.2577940416284
KCNJ16	IU_PDA_T8	0.122002191385446	0.0273500740452093	0.121106295572429	1.41011380092835	0.469272967656942	0.0328946198619579	-0.000895895813017009	1.38276372688314
KCNJ16	IU_PDA_T9	0.0249844699109192	0	0.0251926676122624	0.242770653941258	0.508303057770292	0.117517271379099	0.000208197701343199	0.242770653941258
KCNJ8	IU_PDA_T1	0.158576426450449	0.452428947176482	0.15840096610005	0.482985821133353	0.479280520500039	0.459006205562769	-0.000175460350399004	0.030556873956871
KCNJ8	IU_PDA_T10	0.146458222914143	0.0684427623872397	0.146442084864896	0.114827088164782	0.499392905455254	0.30331681796886	-1.6138049247022e-05	0.0463843257775423
KCNJ8	IU_PDA_T11	0.194644067491444	0.982473143683731	0.193940332859813	1.5792720422117	0.469233497774116	0.0677889084061987	-0.000703734631631009	0.596798898527969
KCNJ8	IU_PDA_T12	0.317155856378506	0.845219403942585	0.314054536256472	2.71063407734696	0.327689484794371	0.031552459291659	-0.00310132012203401	1.86541467340438
KCNJ8	IU_PDA_T2	0.1776213330644	0.195483247005677	0.17746172084089	0.24838637229482	0.489958963263356	0.390283073488942	-0.000159612223509992	0.052903125289143
KCNJ8	IU_PDA_T3	0.231074592527949	0.188012054261006	0.230198624299519	0.89081706366599	0.444712867335531	0.0244432317866756	-0.000875968228430002	0.702805009404984
KCNJ8	IU_PDA_T4	0.114428934259058	0.339707139895555	0.114483604265342	0.267770326549752	0.503151255174916	0.634965016129072	5.46700062840078e-05	-0.071936813345803
KCNJ8	IU_PDA_T6	0.266803803379207	1.26278827299551	0.266586907123352	1.46737711224362	0.493593685573056	0.377021606385539	-0.000216896255855026	0.20458883924811
KCNJ8	IU_PDA_T8	0.152365296235002	0.175624038983007	0.152341681683731	0.163871502336004	0.499111270709197	0.529352037136885	-2.36145512710062e-05	-0.011752536647003
KCNJ8	IU_PDA_T9	0.213832680454564	0.0965362409258153	0.213729046110197	0.0911439855449236	0.495598158732341	0.520364478188887	-0.000103634344366998	-0.00539225538089169
KCNK1	IU_PDA_T1	0.134749874285564	0.586604855476045	0.134743463580764	0.584330796269517	0.499626618719056	0.502620388431506	-6.41070480000838e-06	-0.00227405920652801
KCNK1	IU_PDA_T10	0.251070654748374	1.75874823282681	0.250136683527684	2.46762275439524	0.431344561707217	0.113809718678358	-0.00093397122069	0.70887452156843
KCNK1	IU_PDA_T11	0.268959235712234	5.82010564356358	0.267668288851256	6.71131616207218	0.438305904173618	0.233916196551654	-0.00129094686097803	0.8912105185086
KCNK1	IU_PDA_T12	0.314800091210711	8.37323379020843	0.312691838478043	9.55474450079118	0.409106108008156	0.237570781738605	-0.00210825273266801	1.18151071058275
KCNK1	IU_PDA_T2	0.236821703542892	1.65530211460512	0.236436121058574	1.97707290585007	0.470674179766518	0.244207173417737	-0.000385582484317998	0.32177079124495
KCNK1	IU_PDA_T3	0.236195735196223	3.62752448486437	0.235299461189663	4.34755026734554	0.46948265384464	0.116451519039404	-0.000896274006560005	0.72002578248117
KCNK1	IU_PDA_T4	0.300605099178956	2.61318015809733	0.299916829164645	3.06368719807467	0.46083455478088	0.328136295425594	-0.000688270014310988	0.45050703997734
KCNK1	IU_PDA_T6	0.463384480910536	5.52269961722668	0.458942668073427	7.32724292672063	0.122374738671142	0.0124778450125528	-0.00444181283710904	1.80454330949395
KCNK1	IU_PDA_T8	0.290524366569929	2.74412063216742	0.289611664974049	3.35478615963174	0.459701516847217	0.194567289610542	-0.000912701595880028	0.61066552746432
KCNK1	IU_PDA_T9	0.201341980555934	0.824086101613295	0.201317461092506	0.743878618870912	0.498693006664125	0.55679189956029	-2.45194634279911e-05	-0.080207482742383
