target_gene	view	Predictor	Predictor_original	Importance	nsamples	importance_rank	normalized_importance
KCNJ15	juxta_ct	B_cells	B cells	12.1692526361667	9	4	0.612694705322084
KCNJ15	juxta_ct	Endothelial_cells	Endothelial cells	2.61889032860141	10	7	0.131855282006763
KCNJ15	juxta_ct	Fibroblasts	Fibroblasts	17.5490639988325	10	2	0.883556198306522
KCNJ15	juxta_ct	Hepatocytes	Hepatocytes	0.0111635934808886	4	10	0.00056206201174431
KCNJ15	juxta_ct	Monocytes	Monocytes	5.92251560859402	10	5	0.298185440311147
KCNJ15	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	2.99103730830419	3	6	0.150592051706805
KCNJ15	juxta_ct	PVL	PVL	0.716882704939088	10	9	0.0360934439266856
KCNJ15	juxta_ct	TAM	TAM	14.760499039142	10	3	0.743158177381942
KCNJ15	juxta_ct	T_NK_cells	T-NK cells	0.919013912453233	7	8	0.0462702990160616
KCNJ15	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.8618537592381	10	1	1
KCNJ15	para_ct	B_cells	B cells	12.5877263349904	9	9	0.41847307750383
KCNJ15	para_ct	Endothelial_cells	Endothelial cells	12.7711451447619	10	7	0.424570750090168
KCNJ15	para_ct	Fibroblasts	Fibroblasts	13.1251995107778	10	6	0.436341121975237
KCNJ15	para_ct	Hepatocytes	Hepatocytes	7.84803067451863	4	10	0.260904110981595
KCNJ15	para_ct	Monocytes	Monocytes	12.6373391100005	10	8	0.420122431016091
KCNJ15	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	30.0801342109641	3	1	1
KCNJ15	para_ct	PVL	PVL	13.414171211333	10	4	0.445947851071875
KCNJ15	para_ct	TAM	TAM	13.2963780402623	10	5	0.442031872165512
KCNJ15	para_ct	T_NK_cells	T-NK cells	14.0642452812465	7	3	0.467559259629902
KCNJ15	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6424755803049	10	2	0.486782255611338
KCNJ16	intra	B_cells	B cells	0.848061197295167	9	5	0.348500071725268
KCNJ16	intra	Endothelial_cells	Endothelial cells	0.0700585605641751	10	7	0.0287896834089985
KCNJ16	intra	Fibroblasts	Fibroblasts	2.08705284992758	10	2	0.857648092158894
KCNJ16	intra	Hepatocytes	Hepatocytes	0.000404451053375047	4	10	0.000166204068244271
KCNJ16	intra	Monocytes	Monocytes	0.188534692150344	10	6	0.0774759580401225
KCNJ16	intra	Normal_Epithelial_cells	Normal Epithelial cells	2.43346061048652	3	1	1
KCNJ16	intra	PVL	PVL	0.000525081160411318	10	9	0.000215775491967523
KCNJ16	intra	TAM	TAM	1.12579265932793	10	4	0.462630319338868
KCNJ16	intra	T_NK_cells	T-NK cells	0.0220701756942864	7	8	0.00906946083251947
KCNJ16	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.80078868659798	10	3	0.740011438376211
KCNJ16	juxta_ct	B_cells	B cells	1.47130194684332	9	5	0.424927943699442
KCNJ16	juxta_ct	Endothelial_cells	Endothelial cells	0.159150663757952	10	7	0.0459644360793263
KCNJ16	juxta_ct	Fibroblasts	Fibroblasts	2.58239660668432	10	2	0.74582412009249
KCNJ16	juxta_ct	Hepatocytes	Hepatocytes	0.000486032477231199	4	10	0.00014037144555141
KCNJ16	juxta_ct	Monocytes	Monocytes	0.29972110307888	10	6	0.0865627020258404
KCNJ16	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	3.46247397625605	3	1	1
KCNJ16	juxta_ct	PVL	PVL	0.0409515754910192	10	8	0.0118272587091903
