target_gene	orig.ident	view	Predictor	Importance	Predictor_original
KCNAB1	IU_PDA_T12	juxta_ct	T_NK_cells	0.799190467406621	T-NK cells
KCNAB1	IU_PDA_T12	juxta_ct	Tumor_Epithelial_cells	13.1281248203101	Tumor Epithelial cells
KCNAB1	IU_PDA_T12	para_ct	Fibroblasts	8.17424277102411	Fibroblasts
KCNAB1	IU_PDA_T12	para_ct	Monocytes	8.02765267198873	Monocytes
KCNAB1	IU_PDA_T12	para_ct	B_cells	8.35774504862401	B cells
KCNAB1	IU_PDA_T12	para_ct	TAM	8.72453382431666	TAM
KCNAB1	IU_PDA_T12	para_ct	Endothelial_cells	8.56031753311415	Endothelial cells
KCNAB1	IU_PDA_T12	para_ct	PVL	10.1540221614519	PVL
KCNAB1	IU_PDA_T12	para_ct	Normal_Epithelial_cells	9.75138464262601	Normal Epithelial cells
KCNAB1	IU_PDA_T12	para_ct	T_NK_cells	9.41617862228255	T-NK cells
KCNAB1	IU_PDA_T12	para_ct	Tumor_Epithelial_cells	9.27170722109555	Tumor Epithelial cells
KCNAB1	IU_PDA_T2	intra	Fibroblasts	2.27644011402635	Fibroblasts
KCNAB1	IU_PDA_T2	intra	Monocytes	0.00097713441267943	Monocytes
KCNAB1	IU_PDA_T2	intra	B_cells	0.599609863834075	B cells
KCNAB1	IU_PDA_T2	intra	TAM	1.20471218268262	TAM
KCNAB1	IU_PDA_T2	intra	Hepatocytes	4.92145489248238e-05	Hepatocytes
KCNAB1	IU_PDA_T2	intra	Endothelial_cells	2.31176338542911e-05	Endothelial cells
KCNAB1	IU_PDA_T2	intra	PVL	0.000139581327964481	PVL
KCNAB1	IU_PDA_T2	intra	Normal_Epithelial_cells	0.000326236284674288	Normal Epithelial cells
KCNAB1	IU_PDA_T2	intra	T_NK_cells	1.47285962993716e-05	T-NK cells
KCNAB1	IU_PDA_T2	intra	Tumor_Epithelial_cells	2.45326857924234	Tumor Epithelial cells
KCNAB1	IU_PDA_T2	juxta_ct	Fibroblasts	2.60333555972533	Fibroblasts
KCNAB1	IU_PDA_T2	juxta_ct	Monocytes	0.328491258851389	Monocytes
KCNAB1	IU_PDA_T2	juxta_ct	B_cells	1.12950146713024	B cells
KCNAB1	IU_PDA_T2	juxta_ct	TAM	2.29157574433354	TAM
KCNAB1	IU_PDA_T2	juxta_ct	Hepatocytes	0.000555717346428912	Hepatocytes
KCNAB1	IU_PDA_T2	juxta_ct	Endothelial_cells	0.00138724973491991	Endothelial cells
KCNAB1	IU_PDA_T2	juxta_ct	PVL	0.000422044404117957	PVL
KCNAB1	IU_PDA_T2	juxta_ct	Normal_Epithelial_cells	0.211482470323342	Normal Epithelial cells
KCNAB1	IU_PDA_T2	juxta_ct	T_NK_cells	0.21176512909556	T-NK cells
KCNAB1	IU_PDA_T2	juxta_ct	Tumor_Epithelial_cells	2.27912189843726	Tumor Epithelial cells
KCNAB1	IU_PDA_T2	para_ct	Fibroblasts	1.02424665752029	Fibroblasts
KCNAB1	IU_PDA_T2	para_ct	Monocytes	1.05070348309913	Monocytes
KCNAB1	IU_PDA_T2	para_ct	B_cells	0.984165110042911	B cells
KCNAB1	IU_PDA_T2	para_ct	TAM	1.16855330584588	TAM
KCNAB1	IU_PDA_T2	para_ct	Hepatocytes	1.16179248960014	Hepatocytes
KCNAB1	IU_PDA_T2	para_ct	Endothelial_cells	1.0666473797552	Endothelial cells
KCNAB1	IU_PDA_T2	para_ct	PVL	1.06574453336304	PVL
KCNAB1	IU_PDA_T2	para_ct	Normal_Epithelial_cells	0.975296653148633	Normal Epithelial cells
KCNAB1	IU_PDA_T2	para_ct	T_NK_cells	1.03476344912822	T-NK cells
KCNAB1	IU_PDA_T2	para_ct	Tumor_Epithelial_cells	1.31893761183564	Tumor Epithelial cells
KCNAB1	IU_PDA_T3	intra	Fibroblasts	1.80453977906524	Fibroblasts
KCNAB1	IU_PDA_T3	intra	Monocytes	0.769774421236666	Monocytes
KCNAB1	IU_PDA_T3	intra	B_cells	1.72471942384761	B cells
KCNAB1	IU_PDA_T3	intra	TAM	0.916764222258901	TAM
KCNAB1	IU_PDA_T3	intra	Endothelial_cells	0.391690999487057	Endothelial cells
KCNAB1	IU_PDA_T3	intra	PVL	0.883216067773296	PVL
KCNAB1	IU_PDA_T3	intra	T_NK_cells	0.00461162256898006	T-NK cells
KCNAB1	IU_PDA_T3	intra	Tumor_Epithelial_cells	0.57387478021099	Tumor Epithelial cells
KCNAB1	IU_PDA_T3	juxta_ct	Fibroblasts	1.83916297416145	Fibroblasts
KCNAB1	IU_PDA_T3	juxta_ct	Monocytes	1.07680700407076	Monocytes
KCNAB1	IU_PDA_T3	juxta_ct	B_cells	1.48330608444493	B cells
