target_gene	orig.ident	measure	value
KCND2	IU_PDA_T10	intra.RMSE	0.0675985448968088
KCND2	IU_PDA_T10	intra.R2	0
KCND2	IU_PDA_T10	multi.RMSE	0.0676043944937085
KCND2	IU_PDA_T10	multi.R2	0.00701912815620487
KCND2	IU_PDA_T10	p.RMSE	0.500241283472215
KCND2	IU_PDA_T10	p.R2	0.186950483150029
KCND2	IU_PDA_T10	gain.RMSE	5.84959689969855e-06
KCND2	IU_PDA_T10	gain.R2	0.00701912815620487
KCND2	IU_PDA_T11	intra.RMSE	0.11844905089954
KCND2	IU_PDA_T11	intra.R2	0.214684116648289
KCND2	IU_PDA_T11	multi.RMSE	0.118463609046265
KCND2	IU_PDA_T11	multi.R2	0.193351759392912
KCND2	IU_PDA_T11	p.RMSE	0.500647144409831
KCND2	IU_PDA_T11	p.R2	0.543765397082331
KCND2	IU_PDA_T11	gain.RMSE	1.4558146725005e-05
KCND2	IU_PDA_T11	gain.R2	-0.021332357255377
KCND2	IU_PDA_T12	intra.RMSE	0.258959436377195
KCND2	IU_PDA_T12	intra.R2	0.280022618758851
KCND2	IU_PDA_T12	multi.RMSE	0.258250106302963
KCND2	IU_PDA_T12	multi.R2	0.837392047379328
KCND2	IU_PDA_T12	p.RMSE	0.415415676011684
KCND2	IU_PDA_T12	p.R2	0.0684694406027745
KCND2	IU_PDA_T12	gain.RMSE	-0.000709330074231962
KCND2	IU_PDA_T12	gain.R2	0.557369428620477
KCND2	IU_PDA_T2	intra.RMSE	0.103722645560053
KCND2	IU_PDA_T2	intra.R2	0
KCND2	IU_PDA_T2	multi.RMSE	0.103727730754403
KCND2	IU_PDA_T2	multi.R2	0
KCND2	IU_PDA_T2	p.RMSE	0.500257769617369
KCND2	IU_PDA_T2	p.R2	1
KCND2	IU_PDA_T2	gain.RMSE	5.08519434999632e-06
KCND2	IU_PDA_T2	gain.R2	0
KCND2	IU_PDA_T3	intra.RMSE	0.101929994716423
KCND2	IU_PDA_T3	intra.R2	0
KCND2	IU_PDA_T3	multi.RMSE	0.101163327140592
KCND2	IU_PDA_T3	multi.R2	1.88183912724955
KCND2	IU_PDA_T3	p.RMSE	0.459102458676367
KCND2	IU_PDA_T3	p.R2	0.0391631717026274
KCND2	IU_PDA_T3	gain.RMSE	-0.000766667575831007
KCND2	IU_PDA_T3	gain.R2	1.88183912724955
KCND2	IU_PDA_T4	intra.RMSE	0.0689994421169495
KCND2	IU_PDA_T4	intra.R2	0.0126488446769479
KCND2	IU_PDA_T4	multi.RMSE	0.0690061350650775
KCND2	IU_PDA_T4	multi.R2	0.0295038537731496
KCND2	IU_PDA_T4	p.RMSE	0.500592554843554
KCND2	IU_PDA_T4	p.R2	0.170823220569987
KCND2	IU_PDA_T4	gain.RMSE	6.69294812799537e-06
KCND2	IU_PDA_T4	gain.R2	0.0168550090962017
KCND2	IU_PDA_T6	intra.RMSE	0.197157622804715
KCND2	IU_PDA_T6	intra.R2	0.0472767405891616
KCND2	IU_PDA_T6	multi.RMSE	0.196777071718556
KCND2	IU_PDA_T6	multi.R2	0.251478513984098
KCND2	IU_PDA_T6	p.RMSE	0.48467883220373
KCND2	IU_PDA_T6	p.R2	0.180476296604622
KCND2	IU_PDA_T6	gain.RMSE	-0.000380551086159003
KCND2	IU_PDA_T6	gain.R2	0.204201773394936
KCND2	IU_PDA_T8	intra.RMSE	0.0853045796767128
KCND2	IU_PDA_T8	intra.R2	0.00736800421187622
KCND2	IU_PDA_T8	multi.RMSE	0.0853121448393712
KCND2	IU_PDA_T8	multi.R2	0
KCND2	IU_PDA_T8	p.RMSE	0.500346886535115
KCND2	IU_PDA_T8	p.R2	0.813049516849971
KCND2	IU_PDA_T8	gain.RMSE	7.56516265840168e-06
KCND2	IU_PDA_T8	gain.R2	-0.00736800421187622
KCND2	IU_PDA_T9	intra.RMSE	0.0967225869361442
KCND2	IU_PDA_T9	intra.R2	0
KCND2	IU_PDA_T9	multi.RMSE	0.0967675425419232
KCND2	IU_PDA_T9	multi.R2	0
KCND2	IU_PDA_T9	p.RMSE	0.5026541573537
KCND2	IU_PDA_T9	p.R2	1
