target_gene	orig.ident	n_spots	n_positive_spots	mean_target	sd_target	n_predictors_used	predictors_removed
KCNMB1	IU_PDA_T8	3779	96	0.0193251048064264	0.122113165944135	8	Normal Epithelial cells; T-NK cells
KCNMB1	IU_PDA_T9	3526	305	0.0641119540453251	0.212309524167971	8	Hepatocytes; Normal Epithelial cells
KCNMB4	IU_PDA_T1	3530	105	0.0215365934344645	0.124411032181091	9	Normal Epithelial cells
KCNMB4	IU_PDA_T10	2714	24	0.00627892315458616	0.0669221430319079	8	Hepatocytes; Normal Epithelial cells
KCNMB4	IU_PDA_T11	2777	172	0.0458005002314801	0.182661002588799	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNMB4	IU_PDA_T12	3642	547	0.112717256060966	0.274922638464849	9	Hepatocytes
KCNMB4	IU_PDA_T2	4118	176	0.0307076299096018	0.146755107587552	10	
KCNMB4	IU_PDA_T3	4354	424	0.0725135170787185	0.225469197353713	8	Hepatocytes; Normal Epithelial cells
KCNMB4	IU_PDA_T4	3621	179	0.0361685313885858	0.160811704504596	9	Normal Epithelial cells
KCNMB4	IU_PDA_T6	3397	146	0.0319856746613176	0.154531184028534	7	B cells; Hepatocytes; T-NK cells
KCNMB4	IU_PDA_T8	3779	55	0.0107319093885806	0.0896269684716048	8	Normal Epithelial cells; T-NK cells
KCNMB4	IU_PDA_T9	3526	163	0.0330443543302859	0.151578483324606	8	Hepatocytes; Normal Epithelial cells
KCNN3	IU_PDA_T1	3530	33	0.00716902198502186	0.0753428006550223	9	Normal Epithelial cells
KCNN3	IU_PDA_T10	2714	44	0.0118350539340716	0.0933975378089317	8	Hepatocytes; Normal Epithelial cells
KCNN3	IU_PDA_T11	2777	79	0.0201566519944401	0.11853908827942	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNN3	IU_PDA_T12	3642	258	0.0515196106334951	0.189146090819913	9	Hepatocytes
KCNN3	IU_PDA_T2	4118	51	0.00868284878986532	0.0777993657291402	10	
KCNN3	IU_PDA_T3	4354	90	0.0150457473770335	0.105069601974989	8	Hepatocytes; Normal Epithelial cells
KCNN3	IU_PDA_T4	3621	31	0.00615810351106728	0.0669165368208873	9	Normal Epithelial cells
KCNN3	IU_PDA_T6	3397	109	0.0228032337903793	0.126360473898353	7	B cells; Hepatocytes; T-NK cells
KCNN3	IU_PDA_T8	3779	46	0.00865194509710871	0.0784830860317348	8	Normal Epithelial cells; T-NK cells
KCNN3	IU_PDA_T9	3526	112	0.0227887002109514	0.127221744080435	8	Hepatocytes; Normal Epithelial cells
KCNN4	IU_PDA_T1	3530	97	0.0197359963634458	0.118539269105191	9	Normal Epithelial cells
KCNN4	IU_PDA_T10	2714	130	0.0345027768644473	0.155682230374768	8	Hepatocytes; Normal Epithelial cells
KCNN4	IU_PDA_T11	2777	250	0.0667149075668194	0.217049300237131	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNN4	IU_PDA_T12	3642	742	0.158883304500282	0.325901812843647	9	Hepatocytes
KCNN4	IU_PDA_T2	4118	618	0.112121740760853	0.272675671748071	10	
KCNN4	IU_PDA_T3	4354	322	0.0537219531437552	0.192754193256424	8	Hepatocytes; Normal Epithelial cells
KCNN4	IU_PDA_T4	3621	388	0.0802833516540858	0.236772308847017	9	Normal Epithelial cells
KCNN4	IU_PDA_T6	3397	430	0.0950171057409468	0.255778758493925	7	B cells; Hepatocytes; T-NK cells
KCNN4	IU_PDA_T8	3779	588	0.116417592956704	0.277098812215101	8	Normal Epithelial cells; T-NK cells
KCNN4	IU_PDA_T9	3526	245	0.0503473897592858	0.186476470673936	8	Hepatocytes; Normal Epithelial cells
KCNQ4	IU_PDA_T1	3530	23	0.00486084432781961	0.0610350437503947	9	Normal Epithelial cells
KCNQ4	IU_PDA_T10	2714	14	0.00387435178483993	0.0547708940501118	8	Hepatocytes; Normal Epithelial cells
KCNQ4	IU_PDA_T11	2777	50	0.0126261520115612	0.0935730810867808	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNQ4	IU_PDA_T12	3642	176	0.034911358360324	0.15683079414584	9	Hepatocytes
KCNQ4	IU_PDA_T2	4118	44	0.0075045995757032	0.0724908290437748	10	
KCNQ4	IU_PDA_T3	4354	72	0.0118347398789042	0.0920561446603343	8	Hepatocytes; Normal Epithelial cells
KCNQ4	IU_PDA_T4	3621	180	0.0370318116507257	0.164724173069656	9	Normal Epithelial cells
KCNQ4	IU_PDA_T6	3397	123	0.0266147679065714	0.139537225473712	7	B cells; Hepatocytes; T-NK cells
KCNQ4	IU_PDA_T8	3779	62	0.0116939720876002	0.0912399153526622	8	Normal Epithelial cells; T-NK cells
KCNQ4	IU_PDA_T9	3526	30	0.00609403363509878	0.0667885485791078	8	Hepatocytes; Normal Epithelial cells
KCNS3	IU_PDA_T1	3530	297	0.0622387088677395	0.209178042941762	9	Normal Epithelial cells
KCNS3	IU_PDA_T10	2714	112	0.029351440590735	0.142518403852377	8	Hepatocytes; Normal Epithelial cells
KCNS3	IU_PDA_T11	2777	324	0.0894152881849592	0.252965983920822	7	Hepatocytes; Normal Epithelial cells; T-NK cells
