target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNJ16	juxta_ct	Hepatocytes	Hepatocytes	0.000486032477231199	4
KCNJ16	juxta_ct	Monocytes	Monocytes	0.29972110307888	10
KCNJ16	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	3.46247397625605	3
KCNJ16	juxta_ct	PVL	PVL	0.0409515754910192	10
KCNJ16	juxta_ct	TAM	TAM	1.99788473893686	10
KCNJ16	juxta_ct	T_NK_cells	T-NK cells	0.0361355501276779	7
KCNJ16	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.31396695602405	10
KCNJ16	para_ct	B_cells	B cells	1.38845740732441	9
KCNJ16	para_ct	Endothelial_cells	Endothelial cells	1.98427391029397	10
KCNJ16	para_ct	Fibroblasts	Fibroblasts	2.08048400074606	10
KCNJ16	para_ct	Hepatocytes	Hepatocytes	2.55525922616729	4
KCNJ16	para_ct	Monocytes	Monocytes	1.92001883747387	10
KCNJ16	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	5.22137227697794	3
KCNJ16	para_ct	PVL	PVL	2.25589775331478	10
KCNJ16	para_ct	TAM	TAM	2.10204521526457	10
KCNJ16	para_ct	T_NK_cells	T-NK cells	0.904520251750275	7
KCNJ16	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.31258489652368	10
KCNJ8	intra	B_cells	B cells	9.15242773153256	9
KCNJ8	intra	Endothelial_cells	Endothelial cells	2.98407277024616	10
KCNJ8	intra	Fibroblasts	Fibroblasts	16.1344156910444	10
KCNJ8	intra	Hepatocytes	Hepatocytes	0.00163329129030204	4
KCNJ8	intra	Monocytes	Monocytes	3.76168056643237	10
KCNJ8	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.614573264501292	3
KCNJ8	intra	PVL	PVL	1.36846659476352	10
KCNJ8	intra	TAM	TAM	10.5793976077948	10
KCNJ8	intra	T_NK_cells	T-NK cells	0.756800365188133	7
KCNJ8	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	11.6068668604653	10
KCNJ8	juxta_ct	B_cells	B cells	14.0373285118344	9
KCNJ8	juxta_ct	Endothelial_cells	Endothelial cells	5.96772701981907	10
KCNJ8	juxta_ct	Fibroblasts	Fibroblasts	21.9274105360946	10
KCNJ8	juxta_ct	Hepatocytes	Hepatocytes	0.00828197107699507	4
KCNJ8	juxta_ct	Monocytes	Monocytes	9.05324935609642	10
KCNJ8	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.845238458424984	3
KCNJ8	juxta_ct	PVL	PVL	2.50859824966832	10
KCNJ8	juxta_ct	TAM	TAM	18.6425290478426	10
KCNJ8	juxta_ct	T_NK_cells	T-NK cells	2.05327923405982	7
KCNJ8	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	18.5961945576202	10
KCNJ8	para_ct	B_cells	B cells	14.4962234254362	9
KCNJ8	para_ct	Endothelial_cells	Endothelial cells	16.0148050788145	10
KCNJ8	para_ct	Fibroblasts	Fibroblasts	16.6266306115178	10
KCNJ8	para_ct	Hepatocytes	Hepatocytes	8.06201615658208	4
KCNJ8	para_ct	Monocytes	Monocytes	16.6114447763671	10
KCNJ8	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	27.5604711293606	3
KCNJ8	para_ct	PVL	PVL	16.2650448951088	10
KCNJ8	para_ct	TAM	TAM	16.2310757304106	10
KCNJ8	para_ct	T_NK_cells	T-NK cells	15.5683767384584	7
KCNJ8	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	17.0365050644864	10
KCNK1	intra	B_cells	B cells	10.9578890381848	9
KCNK1	intra	Endothelial_cells	Endothelial cells	1.13192309323696	10
KCNK1	intra	Fibroblasts	Fibroblasts	27.5276689004146	10
KCNK1	intra	Hepatocytes	Hepatocytes	0.0139675614646205	4
KCNK1	intra	Monocytes	Monocytes	4.17279954846874	10
KCNK1	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.36165362859801	3
KCNK1	intra	PVL	PVL	0.918940033800735	10
KCNK1	intra	TAM	TAM	14.4353080158496	10
KCNK1	intra	T_NK_cells	T-NK cells	0.584155177688582	7
KCNK1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	26.0901568027299	10
KCNK1	juxta_ct	B_cells	B cells	18.1377480443649	9
KCNK1	juxta_ct	Endothelial_cells	Endothelial cells	3.54442304195278	10
KCNK1	juxta_ct	Fibroblasts	Fibroblasts	38.2663301025584	10
KCNK1	juxta_ct	Hepatocytes	Hepatocytes	0.238166649236636	4
KCNK1	juxta_ct	Monocytes	Monocytes	11.376915688356	10
KCNK1	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.903929629536369	3
KCNK1	juxta_ct	PVL	PVL	2.16599554535283	10
KCNK1	juxta_ct	TAM	TAM	28.7128310019302	10
KCNK1	juxta_ct	T_NK_cells	T-NK cells	1.99976038993998	7
KCNK1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	37.9932957638335	10
KCNK1	para_ct	B_cells	B cells	24.9891244058891	9
KCNK1	para_ct	Endothelial_cells	Endothelial cells	31.1187756823591	10
KCNK1	para_ct	Fibroblasts	Fibroblasts	32.5728454425632	10
KCNK1	para_ct	Hepatocytes	Hepatocytes	23.872233442288	4
KCNK1	para_ct	Monocytes	Monocytes	32.179451180444	10
KCNK1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	54.316854981987	3
KCNK1	para_ct	PVL	PVL	30.8466478084488	10
KCNK1	para_ct	TAM	TAM	33.1283651496219	10
KCNK1	para_ct	T_NK_cells	T-NK cells	22.7551708523984	7
KCNK1	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	35.2438489746463	10
KCNK15	intra	B_cells	B cells	0.928941241321905	9
