module	gene	n_sections	mean_delta	median_delta
KCNMA1_KCNMB1	LPP	10	0.0420204797049853	0.0381620739786873
KCNMA1_KCNMB1	NFIL3	10	0.0419063323891831	0.0460029984127931
KCNMA1_KCNMB1	ARID5A	10	0.0417562856010017	0.0445824386569634
KCNMA1_KCNMB1	CDH5	10	0.0417118754352838	0.0208266321025017
KCNMA1_KCNMB1	ANKRA2	10	0.0416724419433831	0.0366328669767341
KCNMA1_KCNMB1	SYNPO	10	0.041632550469133	0.0302407726127105
KCNMA1_KCNMB1	ZNF331	10	0.0414251748893634	0.0467519450437405
KCNMA1_KCNMB1	PPP1CB	10	0.0414219723077704	0.0522807004943631
KCNMA1_KCNMB1	MRGPRF	10	0.041381625155172	-0.00394063404214987
KCNMA1_KCNMB1	CCDC107	10	0.0413380900912746	0.0419787129799547
KCNMA1_KCNMB1	DIAPH2	10	0.0413293628130246	0.0417396961110735
KCNMA1_KCNMB1	FIBIN	10	0.0412255960015098	0.00461256060138057
KCNMA1_KCNMB1	BCL6	10	0.0411908073395131	0.0320123852209457
KCNMA1_KCNMB1	BNC2	10	0.0411131964503861	0.0297740258092469
KCNMA1_KCNMB1	PNRC1	10	0.0410859822074517	0.0384247965071158
KCNMA1_KCNMB1	MS4A6A	10	0.0410140938129891	0.0368974856245816
KCNMA1_KCNMB1	IFITM3	10	0.0409921823085549	0.02754301112619
KCNMA1_KCNMB1	TMEM43	10	0.0409784131457439	0.0298550866978569
KCNMA1_KCNMB1	C3orf70	10	0.040818317889953	0.0383871712892667
KCNMA1_KCNMB1	SAFB	10	0.0408053071008738	0.0236520805653878
KCNMA1_KCNMB1	USP4	10	0.0407134641254582	0.0262396531319972
KCNMA1_KCNMB1	COX7A1	10	0.0406900447178174	0.0192569408802691
KCNMA1_KCNMB1	MEAF6	10	0.0406531215276913	0.0329420498035304
KCNMA1_KCNMB1	DDX17	10	0.0406099031400589	0.0502734918859902
KCNMA1_KCNMB1	USP16	10	0.0406059738988496	0.0350446630864533
KCNMA1_KCNMB1	MEIS3	10	0.0405856955444704	0.0490465949414364
KCNMA1_KCNMB1	PHLDB1	10	0.0404133927809678	0.0425165838317836
KCNMA1_KCNMB1	ELN	10	0.0403904462150807	0.0224183804858638
KCNMA1_KCNMB1	LHFPL6	10	0.0402951910739611	0.0421550517420876
KCNMA1_KCNMB1	KLHL24	10	0.0401214825917815	0.049523379155355
KCNMA1_KCNMB1	ITGA1	10	0.0400062157177663	0.0240973954314752
KCNMA1_KCNMB1	TLN1	10	0.0397382459710159	0.0243695072784129
KCNMA1_KCNMB1	CNN3	10	0.0397014534971557	0.0178624450426683
KCNMA1_KCNMB1	NDUFB9	10	0.0395405325427141	0.0212740975399225
KCNMA1_KCNMB1	H1FX	10	0.0395180216106181	0.0389780901486332
KCNMA1_KCNMB1	ARL17A	10	0.0395057552140412	0.00791455232841366
KCNMA1_KCNMB1	MDM4	10	0.0394414000766236	0.0406839868152027
KCNMA1_KCNMB1	MAN2B1	10	0.0393651663411941	0.0328969898767369
KCNMA1_KCNMB1	BCLAF3	10	0.0393024484924257	0.0223140388808721
KCNMA1_KCNMB1	ACTB	10	0.0392912939958606	0.0575401747742439
KCNMA1_KCNMB1	DCXR	10	0.0392011638754497	0.0149405761114116
KCNMA1_KCNMB1	CCND2	10	0.0391896604620411	0.0369106486883848
KCNMA1_KCNMB1	CASC3	10	0.0390592333889251	0.0269056074711928
KCNMA1_KCNMB1	FGFR1	10	0.0390163540310241	0.0350234992252862
KCNMA1_KCNMB1	ATG14	10	0.0389692391154264	0.0402177214755668
KCNMA1_KCNMB1	UAP1L1	10	0.0389672346422982	0.0297817550771611
KCNMA1_KCNMB1	WBP1L	10	0.0389646276404723	0.0318405895720139
