target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNK6	DDX24	3	0	3	-0.132627163174766	-0.12495185787728	0.18144920772142	0.69391903302128
KCNK6	TTC37	3	0	3	-0.132441505728938	-0.126848229121838	0.18144920772142	0.69391903302128
KCNK6	PITRM1	3	0	3	-0.130956319614423	-0.119934252590134	0.18144920772142	0.69391903302128
KCNK6	IFNAR1	3	0	3	-0.130529450019453	-0.115975470694387	0.18144920772142	0.69391903302128
KCNK6	TPCN1	3	0	3	-0.129595344036012	-0.183906516241498	0.18144920772142	0.69391903302128
KCNK6	DYNC1LI2	3	1	2	-0.129083746827262	-0.206652977493293	0.422678074170635	0.847314317950423
KCNK6	LAMB2	3	0	3	-0.128702405840634	-0.140722390692315	0.18144920772142	0.69391903302128
KCNK6	NR4A2	3	0	3	-0.128173452728665	-0.124477157491128	0.18144920772142	0.69391903302128
KCNK6	DUSP3	3	0	3	-0.127698206076608	-0.170609528091947	0.18144920772142	0.69391903302128
KCNK6	KDM5B	3	0	3	-0.127247953320943	-0.107944180619669	0.18144920772142	0.69391903302128
KCNK6	LETMD1	3	0	3	-0.125856084690552	-0.167097987213265	0.18144920772142	0.69391903302128
KCNK6	ACADM	3	0	3	-0.125785309103719	-0.126713014026866	0.18144920772142	0.69391903302128
KCNK6	FLOT1	3	0	3	-0.125701411614495	-0.15524482348549	0.18144920772142	0.69391903302128
KCNK6	SEC62	3	0	3	-0.125663584160351	-0.11308064388944	0.18144920772142	0.69391903302128
KCNK6	SELENOK	3	0	3	-0.125649505532119	-0.122225351200614	0.18144920772142	0.69391903302128
KCNK6	GLYR1	3	0	3	-0.125559962800524	-0.125495737107092	0.18144920772142	0.69391903302128
KCNK6	FLOT2	3	0	3	-0.125028951542772	-0.134972615766202	0.18144920772142	0.69391903302128
KCNK6	UQCRB	3	0	3	-0.124525277294573	-0.131071741079819	0.18144920772142	0.69391903302128
KCNK6	PDCD6IP	3	0	3	-0.124311555425077	-0.13098819332737	0.18144920772142	0.69391903302128
KCNMA1	AZGP1	3	0	3	-0.212029908418675	-0.19112238907313	0.18144920772142	0.83939775598063
KCNMA1	MT1G	3	0	3	-0.208688024010033	-0.262776295917673	0.18144920772142	0.83939775598063
KCNMA1	ERP27	3	0	3	-0.207623153853867	-0.182348698166799	0.18144920772142	0.83939775598063
KCNMA1	TMEM97	3	0	3	-0.200143691877901	-0.202473647010187	0.18144920772142	0.83939775598063
KCNMA1	PNLIP	3	0	3	-0.197069531815636	-0.218950471495426	0.18144920772142	0.83939775598063
KCNMA1	PLA2G1B	3	0	3	-0.191803565285714	-0.226214990983416	0.18144920772142	0.83939775598063
KCNMA1	NUPR1	3	0	3	-0.182565651529709	-0.18527867521432	0.18144920772142	0.83939775598063
KCNMA1	CLPS	3	0	3	-0.168813493097868	-0.159320645747004	0.18144920772142	0.83939775598063
KCNMA1	CTRL	3	0	3	-0.16621277953854	-0.215183356035288	0.18144920772142	0.83939775598063
KCNMA1	CPB1	3	0	3	-0.166174332570325	-0.218495849631637	0.18144920772142	0.83939775598063
KCNMA1	MT2A	3	0	3	-0.164609945756807	-0.114205339219493	0.18144920772142	0.83939775598063
KCNMA1	PRDX4	3	0	3	-0.162073545007499	-0.148864961404505	0.18144920772142	0.83939775598063
KCNMA1	SNTB1	3	0	3	-0.158182659340223	-0.151180228329559	0.18144920772142	0.83939775598063
KCNMA1	LRPAP1	3	0	3	-0.158031241447901	-0.132460858792584	0.18144920772142	0.83939775598063
