gene	Origin	cc_ischia_10	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNJ15	Normal Pancreas	CC10	9707	3574	36.8187905635109	0.52663026681776	1.43033016228316	1	1.43033016228316
KCNJ15	Pancreas	CC1	8639	581	6.72531543002662	0.0752401898367867	1.11876075731497	1	1.11876075731497
KCNJ15	Pancreas	CC2	5063	436	8.61149516097176	0.111396405293304	1.29357798165138	1	1.29357798165138
KCNJ15	Pancreas	CC3	3317	318	9.58697618329816	0.13023816701839	1.35849056603774	1	1.35849056603774
KCNJ15	Pancreas	CC4	7976	644	8.07422266800401	0.100802407221665	1.24844720496894	1	1.24844720496894
KCNJ15	Pancreas	CC5	7164	626	8.73813512004467	0.107481853713009	1.23003194888179	1	1.23003194888179
KCNJ15	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNJ15	Pancreas	CC7	2572	73	2.83825816485226	0.0338258164852255	1.19178082191781	1	1.19178082191781
KCNJ15	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNJ15	Pancreas	CC9	726	13	1.79063360881543	0.0192837465564738	1.07692307692308	1	1.07692307692308
KCNJ15	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CC2	53	22	41.5094339622642	0.509433962264151	1.22727272727273	1	1.22727272727273
KCNJ16	Normal Pancreas	CC3	36	12	33.3333333333333	0.527777777777778	1.58333333333333	1	1.58333333333333
KCNJ16	Normal Pancreas	CC4	3	1	33.3333333333333	0.333333333333333	1	1	1
KCNJ16	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CC7	21	2	9.52380952380952	0.142857142857143	1.5	1.5	1.5
KCNJ16	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNJ16	Normal Pancreas	CC10	9707	5223	53.8065313691151	0.945915318842073	1.75799349033123	1	1.75799349033123
KCNJ16	Pancreas	CC1	8639	19	0.219932862599838	0.00231508276420882	1.05263157894737	1	1.05263157894737
KCNJ16	Pancreas	CC2	5063	142	2.80466126802291	0.0298242148923563	1.06338028169014	1	1.06338028169014
KCNJ16	Pancreas	CC3	3317	137	4.13023816701839	0.0431112451009949	1.04379562043796	1	1.04379562043796
KCNJ16	Pancreas	CC4	7976	82	1.02808425275827	0.0125376128385155	1.21951219512195	1	1.21951219512195
KCNJ16	Pancreas	CC5	7164	39	0.544388609715243	0.00544388609715243	1	1	1
KCNJ16	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNJ16	Pancreas	CC7	2572	13	0.505443234836703	0.00816485225505443	1.61538461538462	1	1.61538461538462
KCNJ16	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNJ16	Pancreas	CC9	726	1	0.137741046831956	0.00137741046831956	1	1	1
KCNJ16	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	CC2	53	3	5.66037735849057	0.0566037735849057	1	1	1
KCNJ8	Normal Pancreas	CC3	36	2	5.55555555555556	0.0833333333333333	1.5	1.5	1.5
KCNJ8	Normal Pancreas	CC4	3	1	33.3333333333333	0.666666666666667	2	2	2
KCNJ8	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	CC7	21	1	4.76190476190476	0.0476190476190476	1	1	1
KCNJ8	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	CC10	9707	5406	55.69176882662	1.20933347069125	2.17147613762486	2	2.17147613762486
KCNJ8	Pancreas	CC1	8639	924	10.6956823706448	0.126635027202222	1.18398268398268	1	1.18398268398268
KCNJ8	Pancreas	CC2	5063	353	6.97215089867667	0.0744617815524393	1.06798866855524	1	1.06798866855524
KCNJ8	Pancreas	CC3	3317	215	6.48176062707266	0.068736810370817	1.06046511627907	1	1.06046511627907
KCNJ8	Pancreas	CC4	7976	568	7.12136409227683	0.0784854563691073	1.10211267605634	1	1.10211267605634
KCNJ8	Pancreas	CC5	7164	753	10.5108877721943	0.119207146845338	1.13413014608234	1	1.13413014608234
KCNJ8	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNJ8	Pancreas	CC7	2572	352	13.6858475894246	0.167185069984448	1.22159090909091	1	1.22159090909091
KCNJ8	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNJ8	Pancreas	CC9	726	56	7.71349862258953	0.081267217630854	1.05357142857143	1	1.05357142857143
KCNJ8	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNK1	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNK1	Normal Pancreas	CC2	53	11	20.7547169811321	0.377358490566038	1.81818181818182	2	1.81818181818182
KCNK1	Normal Pancreas	CC3	36	12	33.3333333333333	0.527777777777778	1.58333333333333	1.5	1.58333333333333
KCNK1	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNK1	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNK1	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK1	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCNK1	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK1	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
